pt1_dltres,pt2_dltres
14.306948,12.806962
14.445548,11.621744
14.211140,11.600514
14.140106,11.390632
14.217660,11.606831
14.607561,11.439604
14.626956,11.916843
14.437598,11.755305
13.750787,11.896775
13.998234,12.595951
14.090241,12.645007
14.153349,13.244750
14.563522,13.051713
13.694372,12.195069
14.170857,12.005756
14.468390,12.265773
14.734236,12.603275
14.492784,12.702169
14.400402,11.393481
14.863017,11.397593
13.416492,10.888082
14.613795,10.449322
14.098797,10.264053
13.808109,10.223397
14.535949,10.289899
14.098656,11.446181
14.223823,11.604353
13.281590,11.642918
12.434006,8.872041
13.216075,8.095685
13.543415,9.369363
13.328405,9.509630
13.248514,13.747079
12.792395,12.406981
11.957862,12.252423
12.549928,12.148810
12.912513,12.927388
13.301514,13.551230
15.661172,12.679392
14.672072,11.936787
14.820236,11.720706
14.643893,12.114986
13.907132,11.182404
13.496752,11.411610
13.151045,11.436084
13.142569,11.442477
13.836184,11.370780
13.524219,10.804848
13.331807,10.387066
13.682605,10.402406
13.629343,10.629399
13.598413,10.372646
13.558929,10.389111
13.486411,10.285502
14.167596,9.829836
14.510830,11.573309
15.191852,11.617411
14.925736,11.476778
15.006163,12.139030
14.802936,13.007782
14.174094,13.746872
13.901332,12.049310
13.892154,12.142815
14.626166,12.063309
15.172311,11.200710
14.421157,11.941450
14.581663,12.854403
14.279998,13.608791
14.570251,12.103559
15.001815,12.441325
14.595249,13.816604
14.320204,11.602888
14.568486,10.842364
13.711123,11.392761
15.316191,11.397601
13.508614,12.177123
14.255507,13.793281
14.323223,13.496406
14.253682,8.262306
13.938317,8.687493
14.312440,9.152808
14.237326,8.594899
15.446683,8.138016
14.987864,8.815507
14.239584,9.134645
13.772725,11.336124
13.460491,9.927156
13.389726,12.104965
14.256687,13.857311
14.633081,14.821053
12.630755,14.508826
13.526458,15.171239
14.250993,12.667051
14.711513,11.030318
14.628690,10.893703
14.118495,12.201792
14.324469,12.782010
13.583425,13.184785
13.872965,13.471875
13.638938,14.054224
15.562482,13.295548
13.636493,14.477545
13.300638,14.223220
11.806249,13.316936
12.946741,13.400349
13.833187,13.395468
14.128036,12.179500
13.866225,11.679784
13.373878,11.529785
13.863971,13.161646
13.818846,11.937661
13.754152,10.789380
13.760187,10.288146
13.755648,9.266741
13.669589,8.730200
13.457779,8.278291
13.101661,10.433067
14.077160,10.510311
14.607964,11.345058
12.834542,10.301180
13.540762,10.257414
13.789972,9.803430
13.593028,13.016394
13.272923,13.460679
13.052910,12.382266
13.106686,12.397668
13.962738,13.473714
13.135700,13.574987
12.285720,13.485563
13.171401,12.589913
13.184056,10.523006
12.938220,10.556436
13.614539,10.747305
13.257434,10.867935
13.193069,10.352161
12.774055,10.399683
11.970544,10.010130
12.416170,10.750452
12.440409,11.729747
13.766558,11.020698
13.759540,9.868735
13.535569,11.502244
13.851213,11.811662
13.457500,11.260052
12.708030,10.884291
13.542867,11.185524
13.905980,11.511707
14.998870,11.206143
14.305434,11.588190
13.737087,8.429157
14.260997,11.337276
14.497317,10.879887
15.817570,10.855720
15.858808,12.147243
16.156892,10.914685
16.752765,11.791784
15.399489,12.360863
14.958526,15.118964
15.484744,16.584770
14.970364,19.286715
15.386561,19.353132
14.622351,18.770686
14.227081,16.645153
13.780186,14.388193
14.688343,11.761694
14.025180,9.067908
14.386610,9.534378
14.392955,11.337358
14.557458,10.489934
14.364712,9.973141
14.420082,10.336189
14.199816,9.995892
14.162872,6.275417
12.585878,5.522275
14.492039,4.872210
14.953707,5.967349
15.777051,9.381994
14.865198,13.316479
15.353729,14.362995
15.172967,9.708761
15.396165,11.856277
15.632016,11.625026
16.492384,13.853186
14.936937,13.737438
15.908580,13.957757
14.575456,12.391752
14.421738,10.287639
14.447688,10.406546
15.823898,12.447699
15.244786,13.016846
14.534090,14.635497
13.299012,11.551331
13.813093,10.384624
14.357021,11.421639
15.414554,12.089803
14.847188,12.151304
12.857037,9.378213
13.333647,10.770689
13.487770,11.423743
13.932950,11.972951
13.164022,9.931148
13.737009,9.846765
14.140189,10.011760
12.384352,9.249706
13.374056,10.750108
13.438234,10.858690
13.235126,10.809491
13.676226,11.590475
12.976168,10.004605
12.374491,10.605969
12.760617,10.643282
13.464782,10.302759
12.174116,11.563478
13.064584,11.764509
11.965970,12.350026
12.698912,11.839193
11.707721,11.093203
11.490856,10.655358
11.076839,10.108695
10.639114,11.856614
10.666270,11.508420
11.039107,11.186677
10.912389,11.667938
11.423434,12.062604
11.552467,12.811408
11.667710,11.671597
10.457788,11.128217
10.334016,9.535100
11.001119,9.599531
11.833153,10.580196
11.494814,10.441736
11.979653,8.514754
