pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
608.986808,482.986808,559.886393,439.711949,592.100414,437.804296,477.432114,401.375273
609.030000,483.000000,559.582134,440.016208,591.940000,437.960000,477.432114,399.549717
609.090000,482.970000,560.190652,438.494912,592.070000,437.990000,479.866188,399.549717
609.070000,482.980000,560.494912,440.016208,592.110000,437.980000,480.170448,399.549717
609.030000,483.040000,559.277874,439.711949,591.960000,437.900000,480.170448,399.853976
609.040000,482.960000,559.582134,439.711949,592.150000,438.060000,481.387485,400.158236
609.080000,483.000000,560.494912,439.711949,592.060000,437.920000,481.691744,400.158236
609.040000,483.000000,559.277874,440.016208,592.060000,438.000000,483.213041,398.636939
609.080000,482.960000,560.190652,437.886393,592.090000,437.990000,483.517300,398.332680
609.080000,482.960000,560.190652,440.928986,592.090000,437.900000,483.821560,398.332680
609.100000,482.940000,560.190652,439.711949,592.180000,438.060000,484.125819,398.636939
609.090000,482.940000,560.190652,439.711949,592.140000,437.980000,484.125819,398.636939
609.060000,482.950000,560.190652,439.711949,592.130000,437.950000,484.125819,398.636939
609.040000,482.970000,560.190652,439.407690,592.190000,438.040000,484.125819,397.419902
609.030000,482.980000,560.494912,439.711949,592.100000,437.980000,484.125819,397.419902
609.000000,483.000000,560.190652,439.711949,592.150000,437.980000,484.125819,397.419902
609.040000,482.980000,558.973615,440.320468,592.260000,437.990000,484.125819,397.419902
609.040000,482.990000,559.886393,439.711949,592.190000,437.960000,484.125819,397.419902
609.060000,482.910000,561.407690,439.711949,592.230000,438.020000,484.125819,397.419902
609.060000,482.960000,561.711949,440.016208,592.210000,437.980000,484.125819,397.419902
609.080000,482.890000,560.799171,440.016208,592.210000,438.020000,484.125819,397.419902
609.070000,482.950000,559.886393,439.711949,592.210000,438.030000,484.125819,397.724161
609.040000,482.970000,559.886393,439.711949,592.200000,438.110000,484.125819,398.636939
609.020000,482.960000,559.886393,439.711949,592.220000,438.090000,484.125819,398.636939
609.000000,483.020000,560.799171,439.711949,592.180000,438.050000,484.125819,398.636939
609.020000,482.980000,559.886393,440.016208,592.290000,438.170000,484.125819,398.636939
609.090000,482.920000,560.494912,439.711949,592.280000,438.100000,485.951375,398.636939
609.080000,482.930000,559.582134,440.016208,592.330000,438.060000,485.342856,398.332680
609.090000,482.940000,559.582134,440.016208,592.300000,438.130000,485.647116,397.724161
609.120000,482.940000,559.886393,440.624727,592.390000,438.280000,485.342856,397.724161
609.000000,483.000000,561.407690,440.016208,592.450000,438.320000,484.430078,398.028420
609.060000,482.980000,558.973615,440.320468,592.880000,438.100000,484.125819,398.332680
609.020000,482.980000,558.973615,440.320468,592.970000,438.080000,483.517300,398.028420
609.070000,482.950000,560.494912,440.016208,593.040000,438.220000,483.517300,398.028420
609.070000,482.970000,560.494912,440.016208,592.980000,438.220000,484.125819,397.724161
609.090000,482.910000,560.190652,440.016208,593.090000,438.330000,484.125819,397.724161
609.140000,482.970000,560.190652,439.711949,593.060000,438.460000,484.430078,398.941198
609.110000,482.990000,560.190652,440.320468,592.990000,438.940000,483.821560,398.636939
609.030000,483.020000,559.886393,440.320468,593.100000,439.030000,485.647116,399.245458
609.050000,483.040000,560.494912,439.407690,593.010000,439.090000,485.647116,399.245458
609.030000,483.110000,560.494912,440.624727,593.040000,439.100000,485.647116,399.245458
609.040000,482.980000,559.886393,439.407690,593.120000,439.380000,485.647116,399.245458
608.990000,483.120000,559.277874,440.624727,593.010000,439.650000,485.647116,399.245458
609.090000,483.000000,559.886393,440.624727,593.060000,439.930000,484.125819,399.549717
609.010000,483.090000,560.799171,440.624727,593.070000,440.160000,482.908782,401.071014
609.000000,483.160000,555.931022,441.233246,592.990000,440.120000,483.213041,401.375273
609.000000,483.120000,559.277874,440.928986,593.070000,440.290000,483.821560,401.983792
