pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
33.029671,-21.327128,-11.399002,11.086799,-22.750239,12.723788
32.967958,-21.205800,-11.296742,11.048228,-23.042467,12.757093
33.106501,-21.589689,-11.406997,11.537057,-23.422721,12.140924
33.188316,-21.373390,-11.580456,11.602347,-23.468812,12.072253
32.895170,-21.197998,-11.187646,11.574789,-23.455626,12.013169
32.965687,-21.265106,-11.276550,11.849568,-23.556630,11.717702
33.187918,-21.423978,-11.565817,11.887663,-23.642766,11.615670
32.898085,-21.147123,-11.192998,12.171543,-24.129636,11.277608
33.099375,-21.702624,-11.383161,12.233235,-24.226372,11.221585
33.125385,-21.151727,-11.512208,12.289509,-24.291385,11.144722
33.117556,-21.372260,-11.452539,12.371370,-24.255659,11.063417
33.115985,-21.373927,-11.456278,12.361860,-24.274082,11.055902
33.111587,-21.377463,-11.468421,12.359209,-24.280207,11.054710
33.106473,-21.432983,-11.464894,12.363750,-24.451550,11.134608
33.179442,-21.435254,-11.582680,12.345634,-24.474820,11.109443
33.103728,-21.380137,-11.495480,12.354786,-24.466967,11.125685
32.828661,-21.037991,-11.103893,12.375191,-24.448169,11.160736
33.038131,-21.317796,-11.379415,12.361559,-24.463730,11.140035
33.397196,-21.612349,-11.866257,12.370523,-24.448313,11.148957
33.473234,-21.607089,-11.984204,12.365767,-24.457544,11.145174
33.258747,-21.442108,-11.668702,12.366862,-24.451454,11.142461
33.041595,-21.318663,-11.364509,12.369358,-24.401388,11.125027
33.037505,-21.320729,-11.377569,12.376398,-24.244927,11.066490
33.034049,-21.325528,-11.384121,12.379510,-24.244831,11.074359
33.247680,-21.491634,-11.697964,12.371096,-24.257178,11.064102
33.037268,-21.267458,-11.398723,12.394508,-24.221706,11.091624
33.186980,-21.434038,-11.554681,12.744356,-24.542741,10.593495
32.973631,-21.207737,-11.271590,12.632107,-24.486591,10.795880
32.975517,-21.204607,-11.268780,12.683067,-24.629592,10.731298
33.056901,-21.146259,-11.382817,12.644631,-24.541010,10.833744
33.393220,-21.553909,-11.909821,12.482237,-24.322442,11.083462
32.831810,-21.034669,-11.096430,12.498290,-24.188510,11.304584
32.825512,-21.041312,-11.111355,12.394591,-24.123447,11.517540
33.187375,-21.377785,-11.577676,12.411229,-24.091205,11.530708
33.188002,-21.374855,-11.579529,12.515418,-24.251666,11.362149
33.117639,-21.323160,-11.466240,12.538542,-24.217681,11.390381
33.124778,-21.361192,-11.440351,12.604268,-24.059697,11.222382
33.125875,-21.252901,-11.478814,12.484878,-23.943800,11.349296
33.042681,-21.204750,-11.411346,12.864954,-24.123616,10.847104
33.181862,-21.478256,-11.567875,12.850178,-24.128624,10.813670
33.191291,-21.250505,-11.632698,12.855926,-24.122399,10.822753
33.035220,-21.374350,-11.365629,12.878194,-24.067319,10.829567
32.899141,-21.027566,-11.248032,12.865527,-24.043548,10.775217
33.054067,-21.142469,-11.399610,12.590152,-23.687982,11.171584
33.259221,-21.313916,-11.738668,12.374655,-23.204079,11.408679
32.125091,-20.286781,-10.178351,12.419779,-23.224809,11.286508
32.903293,-20.970692,-11.256780,12.560921,-23.191006,11.102657
33.037625,-21.182911,-11.463503,12.572682,-23.151543,11.096355
32.592753,-20.741617,-10.959016,12.937633,-23.323188,10.525437
32.880602,-20.974238,-11.340745,12.459356,-23.652524,9.266216
33.022039,-21.084205,-11.553083,12.519181,-24.530508,7.580119
32.678037,-20.637413,-11.064071,13.071596,-24.194000,8.707190
32.825412,-20.668381,-11.307656,12.917554,-23.913022,9.218663
32.843571,-20.583669,-11.361986,13.063424,-23.872083,9.559066
32.522762,-20.070923,-10.944707,12.666017,-23.586326,9.213985
32.686253,-20.188479,-11.172359,12.370272,-23.478697,8.967161
32.830450,-20.300177,-11.368361,12.046147,-23.259211,8.853177
33.040114,-20.469861,-11.688197,12.255186,-22.935758,9.422527
32.470623,-19.908322,-10.927210,12.304305,-22.366520,9.730399
32.469311,-19.897168,-10.948616,12.277853,-22.102386,9.772337
32.533935,-19.626588,-11.199267,12.254041,-21.783883,9.537340
32.108816,-19.895687,-11.032689,12.186190,-21.539143,9.233702
31.927436,-19.890901,-11.225591,12.071059,-21.505406,8.904406
31.924151,-19.479681,-11.705745,11.941091,-21.438659,8.531658
32.056434,-18.808323,-11.607353,11.741137,-21.227595,8.178820
31.477030,-18.991796,-11.863795,11.420094,-20.989648,8.034421
31.149902,-18.986947,-12.156006,11.879813,-20.052740,9.408584
30.858186,-18.100906,-11.052178,11.900493,-19.527830,9.858736
30.457760,-17.651029,-11.756591,11.757246,-19.237702,10.084312
29.870416,-16.987684,-11.577209,11.563402,-19.049592,10.274918
29.558677,-16.536363,-11.336965,11.557559,-19.064656,10.274163
29.511083,-16.536759,-11.511499,11.527407,-19.076681,10.485242
29.059705,-16.217441,-11.021577,11.354645,-19.004345,10.809253
28.601187,-15.938266,-10.823667,11.262041,-19.084977,11.127236
28.495487,-16.039154,-11.063289,11.262793,-19.197643,11.185420
28.607356,-16.001068,-11.394882,11.259357,-19.146342,11.129814
28.595954,-15.943901,-11.459007,11.254622,-19.201414,11.122233
28.178102,-15.618079,-10.868428,11.354905,-19.284215,10.902441
28.177190,-15.622448,-10.865568,11.361916,-19.297839,10.932389
28.387836,-15.676490,-11.190510,11.364608,-19.335617,10.973631
28.384876,-15.678173,-11.198816,11.344961,-19.331032,10.920359
28.315523,-15.783776,-11.047804,11.317414,-19.174596,10.754477
28.681618,-16.046811,-11.489873,11.252196,-19.151667,10.570592
28.733623,-16.009258,-11.354229,11.192977,-18.624568,10.173412
29.059580,-16.062848,-11.382848,11.079527,-18.543168,9.837779
29.583049,-16.401725,-11.381301,10.906897,-18.198468,9.482879
30.077298,-16.478218,-10.929853,10.798134,-17.970043,9.096703
31.092719,-16.991632,-10.978417,10.714941,-17.755066,9.013731
32.171983,-17.522319,-10.878649,10.711053,-17.670629,8.925088
32.844783,-17.837665,-10.723724,10.704252,-17.492094,8.816562
33.198397,-17.653709,-10.139656,10.887782,-17.305477,8.425051
33.433129,-18.447443,-10.859011,11.012423,-17.183154,8.145246
32.412324,-17.132463,-9.242833,11.023774,-16.916959,8.056092
32.675014,-17.553782,-9.648434,11.023116,-16.885516,8.024098
32.883872,-17.787735,-9.914337,10.412754,-17.082612,7.228527
32.908334,-18.096317,-9.995284,9.890558,-16.908223,7.424302
32.903606,-18.101186,-10.006403,9.794323,-17.063902,7.528212
32.981660,-17.884595,-10.183678,9.894242,-17.171859,7.324557
33.051498,-18.048234,-10.245614,10.109060,-17.227798,7.332719
33.046448,-18.048897,-10.264222,10.217730,-17.145047,7.527504
33.053088,-18.052274,-10.233490,10.208643,-17.243256,7.544789
33.195461,-18.215490,-10.412048,10.210768,-17.240274,7.547308
33.192005,-18.220200,-10.418540,10.202539,-17.250700,7.536489
33.184768,-18.225415,-10.438997,10.205412,-17.261280,7.553710
33.174987,-18.285563,-10.447224,10.141362,-17.214561,7.627189
33.181033,-18.122251,-10.487321,10.140824,-17.217565,7.628676
33.184177,-18.119002,-10.479888,10.139450,-17.234107,7.640858
33.187021,-18.122866,-10.463075,10.134866,-17.333730,7.671142
33.191749,-18.123648,-10.443490,10.068244,-17.439176,7.804028
33.193321,-18.122024,-10.439774,10.013023,-17.314281,7.876949
33.200567,-18.122470,-10.410869,9.844916,-17.122034,8.131834
33.196800,-18.128630,-10.416412,9.843264,-17.149130,8.153120
33.193976,-18.075681,-10.445985,9.837086,-17.183679,8.170137
33.187365,-18.077978,-10.468352,9.883111,-17.496484,8.174200
33.115496,-18.136013,-10.323926,9.931619,-17.712786,8.145963
33.172494,-18.363129,-10.401320,9.936360,-17.721925,8.166244
33.182904,-18.365986,-10.356653,9.887999,-17.459020,8.176610
33.181969,-18.370363,-10.353845,9.836905,-17.421621,8.289993
33.179773,-18.374910,-10.355688,9.834799,-17.415553,8.279091
33.182308,-18.380238,-10.337989,9.827338,-17.430524,8.274482
33.140939,-18.482136,-10.348689,9.827047,-17.441079,8.283604
33.142512,-18.480507,-10.344974,9.827069,-17.432028,8.275216
33.145359,-18.484368,-10.328199,9.825993,-17.438046,8.278153
33.363747,-18.650074,-10.608190,9.885531,-17.490662,8.200002
33.293907,-18.648543,-10.482723,9.939685,-17.583837,8.120787
33.292980,-18.658579,-10.471502,9.952156,-17.576469,8.145019
33.302100,-18.655905,-10.439843,9.874945,-17.577861,8.229704
33.305260,-18.663958,-10.415587,9.874994,-17.741690,8.307262
33.372500,-18.769456,-10.515681,9.870041,-17.806238,8.330127
33.374069,-18.767822,-10.511960,9.871093,-17.809275,8.335558
33.372187,-18.770915,-10.514744,9.870823,-17.810783,8.336285
33.374389,-18.772024,-10.504493,9.867323,-17.830377,8.345743
33.371563,-18.773833,-10.512871,9.869183,-17.828892,8.348992
33.370938,-18.776751,-10.510998,9.990733,-17.929941,8.194357
33.370946,-18.782411,-10.502593,9.988308,-17.943504,8.200915
33.437215,-19.001432,-10.556297,9.985457,-17.923831,8.175519
33.434078,-19.004708,-10.563741,9.988875,-17.931428,8.191104
33.352788,-18.950574,-10.960810,9.927391,-17.889184,8.274447
33.310037,-19.150902,-10.833559,9.923943,-17.890650,8.267217
33.250215,-19.266005,-10.897910,9.932455,-17.878676,8.277307
33.310037,-19.150902,-10.833559,9.937788,-17.866661,8.279440
33.238858,-19.094645,-10.734032,9.927930,-17.886170,8.272990
33.238858,-19.094645,-10.734032,9.930705,-17.934203,8.299809
33.191288,-19.203728,-10.759237,9.987959,-17.973385,8.203091
33.186373,-19.046031,-10.834323,9.993774,-17.976481,8.220459
33.177547,-19.428001,-10.715122,10.000320,-17.911935,8.201539
33.176287,-19.428180,-10.719769,9.992874,-17.835330,8.161563
33.121110,-19.148781,-10.654195,10.001355,-17.832419,8.180024
33.246753,-19.265082,-10.912823,9.991825,-17.832299,8.156114
33.241729,-19.271465,-10.923068,9.948190,-17.752595,8.249066
33.250215,-19.266005,-10.897910,9.942292,-17.693973,8.230203
33.042918,-18.879206,-10.661573,9.994583,-17.797774,8.156041
33.609669,-19.498644,-11.400917,10.010037,-17.764790,8.163817
33.244682,-19.105487,-10.979597,10.245901,-17.920217,7.816103
33.110830,-18.993322,-10.746969,10.244316,-17.920200,7.812106
33.100094,-19.052372,-10.760843,10.252747,-17.926314,7.839040
33.157975,-19.162302,-10.891823,10.238988,-17.932201,7.810008
33.083684,-19.115008,-10.791352,10.246776,-17.897620,7.797055
32.873063,-18.934894,-10.500745,10.238482,-17.926168,7.803061
32.862656,-18.943410,-10.528623,10.239055,-17.914118,7.793168
32.870319,-18.697226,-10.857957,10.243303,-17.908134,7.798215
32.870319,-18.697226,-10.857957,10.233121,-17.947209,7.809386
32.672875,-18.200145,-10.635594,10.252104,-17.885617,7.799157
32.584053,-18.395916,-10.750057,10.256825,-17.894710,7.819565
31.711575,-18.257116,-11.523402,10.275479,-17.925042,7.869288
30.849393,-17.206437,-10.985389,10.355412,-17.963056,7.827390
30.722454,-16.949433,-11.484535,10.599717,-18.203652,7.525954
30.221940,-16.653443,-11.132785,10.582310,-18.275890,7.524437
30.183237,-16.661656,-11.264359,10.534091,-18.255995,7.638671
29.852963,-16.351861,-10.802131,10.476636,-18.169898,7.717830
30.052514,-16.566944,-11.121718,10.473821,-18.150258,7.692321
30.077230,-16.326752,-11.145795,10.472979,-18.101950,7.644928
30.113534,-16.306039,-11.041325,10.294772,-17.781920,7.783635
30.867285,-16.820408,-11.069240,10.068267,-17.008999,7.831712
31.496637,-17.378964,-10.907140,9.986505,-16.639398,7.634282
32.487442,-17.691519,-10.441826,10.092462,-15.743456,6.254004
33.698142,-17.863235,-9.947278,10.131674,-14.645057,5.010509
34.638435,-18.068466,-9.404917,9.852538,-14.447134,4.137284
35.054147,-18.960055,-8.864864,9.609948,-13.780630,3.193616
35.409119,-18.899794,-8.007292,9.535710,-13.499491,2.076460
36.386828,-19.408871,-7.811993,9.377396,-13.128110,1.198507
36.768044,-19.546121,-6.876828,9.300611,-12.292089,0.580487
37.230153,-19.922298,-6.543259,9.319825,-11.825155,0.321769
36.966795,-20.184252,-5.436019,9.710404,-12.014617,-0.243173
37.369748,-20.625261,-5.593728,9.799465,-11.902780,-0.127408
37.504276,-20.860876,-5.690028,9.797906,-11.893741,-0.140737
37.487757,-20.856741,-5.763220,9.767969,-11.900077,-0.211782
37.371037,-20.638564,-5.874395,9.610886,-11.813330,-0.116354
37.172046,-19.967103,-5.830410,9.341657,-11.672886,-0.263737
37.167583,-20.036745,-5.912595,9.199253,-11.776364,-0.524758
37.123177,-19.931771,-5.835662,9.125276,-11.687514,-0.703366
37.110476,-19.931060,-5.887901,9.140258,-11.883362,-0.601279
36.970235,-19.652187,-5.771710,9.232008,-11.876570,-0.405736
36.911309,-19.701348,-5.582143,9.361252,-11.969767,-0.078527
36.900388,-19.818329,-5.562019,9.270725,-12.031974,0.790499
36.771157,-19.633718,-5.727322,9.275341,-12.376478,1.568051
35.755122,-18.779391,-6.404724,9.277311,-12.489815,2.200252
34.682814,-17.769768,-6.926766,9.219630,-12.467318,2.828416
34.216136,-16.303054,-7.228715,9.050118,-12.441137,3.702518
33.554176,-15.910929,-7.885862,8.964312,-12.564109,4.611867
