pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
648.929011,496.004071,621.623746,438.463476,641.626787,480.993944,544.037616,434.812364
648.970000,496.000000,621.167357,438.463476,642.000000,481.040000,544.950394,434.812364
648.960000,496.010000,620.710968,439.832643,642.020000,480.970000,544.950394,434.355975
649.040000,495.960000,620.710968,440.289032,642.030000,480.970000,545.406783,432.986808
649.020000,495.970000,620.254579,440.289032,642.060000,480.990000,545.406783,432.074030
649.030000,495.990000,618.885412,441.201810,642.030000,480.950000,545.406783,433.443197
648.930000,496.020000,618.885412,441.201810,642.010000,480.980000,546.319561,432.530419
648.980000,496.080000,618.429023,441.201810,641.970000,480.990000,546.319561,432.986808
648.900000,496.230000,622.080135,439.376254,641.980000,481.010000,545.863172,433.899586
648.860000,496.070000,619.341801,438.919865,642.020000,481.010000,545.863172,433.899586
648.870000,496.020000,619.341801,438.919865,642.130000,480.950000,545.863172,433.899586
648.850000,496.000000,619.341801,438.919865,642.160000,480.980000,545.863172,432.986808
648.860000,495.980000,619.341801,438.919865,642.140000,481.010000,545.406783,434.355975
648.930000,496.070000,619.341801,438.919865,642.150000,480.950000,544.950394,434.355975
648.900000,496.030000,619.341801,438.919865,642.090000,480.960000,544.950394,434.355975
648.890000,496.020000,619.798190,440.745421,642.100000,480.960000,546.319561,434.812364
648.740000,495.950000,619.341801,438.919865,642.120000,480.990000,545.406783,434.812364
648.960000,496.180000,619.341801,438.919865,642.150000,480.980000,545.406783,434.812364
648.930000,496.120000,620.254579,440.745421,642.140000,480.980000,545.406783,434.812364
648.960000,496.130000,620.254579,440.745421,642.140000,480.950000,544.950394,434.812364
648.950000,496.050000,620.254579,440.745421,642.110000,480.980000,544.494005,434.812364
648.860000,496.130000,620.254579,440.745421,642.090000,480.950000,544.494005,434.812364
648.850000,496.020000,620.254579,440.745421,642.080000,480.950000,544.494005,434.812364
648.850000,495.990000,620.254579,440.745421,642.090000,480.980000,544.494005,433.899586
646.089257,496.815429,620.254579,440.745421,642.090000,480.970000,544.494005,433.899586
645.990000,496.930000,620.710968,441.658199,642.100000,481.010000,544.494005,433.899586
646.070000,496.960000,620.710968,441.658199,642.110000,481.020000,544.494005,433.899586
644.466541,497.221108,621.167357,441.201810,642.140000,481.030000,544.494005,433.899586
643.640000,496.960000,621.167357,441.201810,642.100000,481.020000,544.494005,433.899586
643.650000,497.000000,621.167357,441.201810,642.100000,481.070000,545.863172,434.355975
643.700000,497.000000,621.167357,441.201810,642.090000,481.060000,545.863172,434.355975
643.880000,497.040000,621.167357,441.201810,642.060000,481.140000,545.863172,434.355975
643.900000,497.040000,621.167357,441.201810,642.030000,481.300000,545.863172,434.355975
643.940000,497.040000,621.167357,441.201810,642.050000,481.370000,544.950394,434.355975
644.010000,497.020000,621.167357,439.832643,642.040000,481.410000,545.406783,437.094309
643.990000,497.000000,621.167357,439.376254,641.970000,481.630000,544.950394,437.094309
644.010000,497.020000,621.167357,439.376254,641.900000,482.290000,545.406783,437.550698
643.930000,497.050000,621.167357,439.376254,641.880000,482.900000,545.406783,438.007087
643.920000,497.070000,622.536524,438.463476,641.870000,483.490000,545.406783,438.007087
643.910000,497.060000,620.254579,441.201810,641.880000,483.540000,546.319561,438.463476
643.950000,497.060000,620.254579,441.201810,641.860000,483.520000,545.863172,439.376254
643.880000,497.020000,620.254579,441.201810,641.970000,483.570000,545.863172,438.463476
643.970000,497.020000,620.710968,440.289032,642.060000,483.350000,545.863172,438.463476
644.030000,497.000000,622.080135,438.919865,642.010000,483.020000,545.863172,438.007087
643.970000,496.990000,622.080135,438.463476,641.970000,482.920000,545.863172,438.007087
643.850000,497.130000,621.167357,438.463476,641.970000,482.850000,544.494005,438.007087
644.060862,490.730242,618.885412,441.201810,641.930000,482.820000,544.494005,436.637920
643.980000,489.760000,617.059856,444.852922,641.990000,482.770000,544.494005,436.181531
643.970000,489.830000,616.147078,444.396533,641.920000,482.850000,544.494005,434.812364
644.090000,490.200000,614.321522,446.678478,641.980000,482.840000,544.494005,434.812364
644.210000,490.170000,614.321522,446.678478,642.050000,482.860000,544.494005,434.812364
644.340000,490.070000,612.952355,447.591256,642.100000,482.750000,544.494005,434.812364
644.440000,490.050000,612.952355,447.591256,642.120000,482.740000,544.494005,434.812364
