pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
59.140537,-27.511940,-20.656217,41.221104,-19.729734,11.972675
59.073367,-27.220733,-21.243688,40.383003,-17.937209,13.084285
58.821707,-26.350965,-21.285808,40.457109,-17.867373,12.981779
58.666927,-26.364385,-21.676091,40.427797,-17.727878,12.972766
58.622683,-26.441447,-21.868292,40.382390,-17.816206,12.861738
58.271375,-26.289164,-21.923594,40.308847,-17.958697,12.736689
58.070029,-26.287827,-22.311758,41.195326,-16.764061,14.189529
57.950867,-26.500160,-22.752738,41.268102,-16.770538,14.145642
57.212073,-25.361319,-22.281456,41.389042,-17.002000,13.895814
57.201884,-25.602634,-22.839000,41.523940,-17.293276,13.709499
57.201011,-25.820241,-23.446818,41.802810,-17.580995,13.846223
57.149119,-25.889545,-23.833552,41.409193,-16.989860,14.716333
56.936955,-25.780754,-23.806895,41.639902,-16.953319,14.908352
56.807439,-25.593935,-23.861690,41.899190,-16.948320,15.099995
56.492075,-25.243917,-23.870357,42.149400,-16.868710,15.110090
56.411833,-25.127652,-24.304074,42.361860,-16.959537,14.962905
56.168534,-25.063569,-24.467107,42.579911,-17.140861,14.856872
56.004251,-24.813606,-24.276221,42.762075,-17.295980,14.777467
56.028891,-24.762539,-24.269323,42.868534,-17.198542,14.986917
56.097852,-24.754687,-24.460734,42.945561,-17.027828,15.070832
56.069578,-24.803659,-24.552642,43.015177,-16.964213,15.161943
56.014179,-24.896690,-24.758584,43.016701,-16.733910,14.947540
55.940521,-25.018549,-25.048662,43.002785,-16.719197,14.819960
55.474625,-24.451580,-24.796067,43.041697,-16.496932,14.669212
55.474226,-24.429208,-24.992657,43.110535,-16.328335,14.506118
55.566978,-24.371336,-25.173151,43.069493,-16.311608,14.451534
55.719347,-24.520491,-25.410037,43.068751,-16.343625,14.401398
55.958300,-24.807183,-25.848158,43.082794,-16.401148,14.484437
55.956473,-24.801094,-25.939950,43.013668,-16.431163,14.474649
55.549164,-24.375708,-25.457404,43.004901,-16.429192,14.459418
55.403544,-23.882775,-25.452967,42.969016,-16.402243,14.341709
55.388964,-23.755497,-25.760555,43.059176,-16.676557,14.317387
55.433580,-23.473912,-25.808476,43.063439,-16.689860,14.404567
55.030609,-22.878742,-25.226491,42.950553,-16.604102,14.522864
55.264494,-22.983515,-25.635768,42.855811,-16.365733,14.588205
55.668584,-23.452420,-26.253953,42.897806,-16.308252,14.543635
55.752433,-23.538027,-26.406409,42.909522,-16.154956,14.448952
55.769868,-23.504011,-26.391299,42.870493,-15.941950,14.251862
55.361427,-23.103749,-25.780792,42.741867,-15.884350,13.885173
55.375289,-23.068546,-25.842672,42.242357,-15.560975,13.960725
54.956493,-22.572740,-25.231415,41.817642,-15.216290,13.807577
55.456750,-22.975312,-25.945042,41.116385,-15.328033,12.781965
55.951985,-23.535909,-26.541154,40.915032,-14.873081,12.818854
56.142939,-24.206669,-26.440072,40.231176,-13.831474,11.880556
56.876099,-24.968314,-27.074830,39.785759,-12.709000,10.961780
56.923191,-24.897393,-26.787113,39.342049,-11.987373,10.105763
56.843233,-24.860657,-26.655584,38.695137,-11.433609,10.578291
56.770068,-24.745571,-26.544943,37.864255,-10.604794,8.711083
56.620998,-24.521345,-26.330548,37.247992,-9.933294,8.238755
56.612951,-24.542692,-26.282399,37.046526,-9.703666,7.968014
56.572181,-24.835723,-26.052006,36.771128,-9.511591,7.817341
56.528488,-25.373319,-25.868694,36.600433,-9.439398,7.833898
56.658659,-25.139487,-25.489732,36.513013,-9.119170,7.619670
56.857638,-25.614890,-25.164399,36.653152,-8.539018,7.578820
57.287410,-26.075315,-25.109310,36.081330,-8.514235,5.855879
57.748342,-26.211585,-25.265615,35.109597,-8.134437,3.508195
58.227061,-26.127227,-25.471751,35.028286,-8.223078,3.349731
58.351587,-25.896579,-25.089572,34.395143,-7.778874,2.933040
59.482614,-27.479007,-23.859434,33.654321,-7.276866,1.838089
59.652843,-27.755258,-23.651576,32.794608,-6.818191,0.805571
59.411982,-27.338207,-23.243393,31.987125,-6.476079,0.443827
59.258673,-26.671324,-22.903178,31.634466,-6.659790,-0.398133
59.270262,-26.193593,-22.866415,31.358474,-6.690068,-0.814728
59.310026,-25.774638,-22.775162,31.142378,-6.381914,-0.304292
58.637565,-23.927943,-21.818273,31.239001,-6.262061,0.599462
57.945006,-21.896520,-21.168049,31.122633,-6.502871,1.664587
56.565157,-20.172189,-19.314537,31.120193,-6.708285,2.803053
56.192241,-19.355109,-21.359200,31.009881,-7.131452,3.862470
54.253106,-17.127313,-20.833907,30.886017,-7.574747,4.958741
51.784172,-15.329820,-22.327692,30.786005,-8.056505,6.075428
49.336898,-12.913593,-21.136554,30.545311,-8.719818,6.849358
48.349504,-12.706508,-21.990922,30.609409,-9.046314,7.424600
