pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
931.735955,649.617175,561.723397,559.558492,928.654093,608.525682,507.533122,532.463354
932.200000,649.740000,562.550000,559.870000,928.120000,609.040000,507.600000,532.950000
931.960000,649.880000,561.400000,560.020000,927.670000,608.670000,506.140000,532.320000
932.410000,649.460000,560.870000,560.090000,927.330000,608.670000,505.760000,531.370000
932.620000,648.930000,561.730000,559.620000,926.850000,608.250000,505.710000,532.840000
933.250000,648.490000,561.430000,559.810000,925.860000,608.170000,504.690000,532.940000
934.260000,648.290000,561.430000,559.810000,924.990000,608.340000,503.860000,533.160000
934.350000,648.670000,560.840000,559.930000,921.463082,607.498395,502.770000,533.210000
934.540000,648.680000,558.712826,560.562016,919.650000,607.170000,501.630000,533.160000
934.160000,648.790000,558.870000,560.950000,917.353933,610.580257,500.508457,537.480973
929.681380,647.562600,555.702255,560.562016,914.400000,612.610000,499.050000,538.060000
929.681380,648.589888,552.691684,562.569063,912.820000,614.600000,497.660000,539.280000
931.310000,648.610000,552.990000,562.890000,912.920000,615.240000,496.070000,541.100000
934.150000,646.890000,555.702255,559.558492,913.180000,614.750000,495.170000,541.540000
934.630000,645.860000,555.702255,556.547921,909.135634,612.634831,494.140000,541.120000
935.080000,644.630000,554.950000,556.090000,911.190209,611.607544,492.760000,537.870000
936.070000,642.730000,555.160000,555.100000,911.920000,610.140000,493.483791,536.477449
937.160000,640.660000,552.691684,553.537350,910.162921,608.525682,493.720000,534.310000
937.360000,638.750000,551.910000,552.290000,909.360000,606.100000,493.760000,531.810000
937.830000,636.840000,551.320000,551.120000,909.140000,603.720000,490.473221,527.445736
938.470000,635.110000,551.960000,549.950000,908.108347,602.361958,489.830000,526.440000
936.872392,633.180578,549.681113,548.519732,906.990000,601.270000,488.860000,525.060000
935.860000,633.660000,549.681113,548.519732,906.200000,602.350000,487.980000,525.710000
933.790530,639.344302,549.680000,549.820000,907.081059,606.471108,489.469697,527.445736
931.670000,641.340000,549.630000,551.110000,908.108347,607.498395,492.480268,528.449260
929.870000,643.650000,550.684637,557.551445,908.700000,609.010000,493.110000,529.500000
927.370000,645.950000,550.684637,559.558492,908.430000,611.750000,492.480268,531.459831
927.130000,647.730000,550.970000,561.640000,907.990000,614.690000,494.487315,537.480973
927.610000,648.830000,551.190000,563.690000,907.081059,613.662119,495.510000,538.900000
927.930000,649.720000,550.270000,564.620000,908.090000,613.000000,495.290000,537.730000
928.590000,650.030000,551.750000,564.840000,908.680000,616.040000,497.497886,538.484496
928.790000,649.810000,554.698732,565.579634,909.280000,616.420000,499.010000,538.980000
928.310000,649.710000,554.698732,561.565539,909.990000,614.740000,500.940000,536.690000
928.030000,649.100000,555.120000,561.200000,910.420000,613.690000,501.511980,538.484496
928.310000,648.440000,556.060000,560.550000,910.100000,613.490000,502.300000,538.500000
928.510000,647.740000,556.910000,560.130000,910.000000,613.180000,502.990000,538.360000
929.650000,646.850000,557.060000,559.720000,911.050000,612.690000,503.760000,537.090000
930.980000,645.960000,558.070000,558.830000,912.050000,612.010000,504.260000,536.740000
932.230000,644.850000,559.920000,557.970000,911.190209,610.580257,505.526075,538.484496
933.790000,643.530000,562.160000,556.770000,910.990000,611.830000,505.526075,538.484496
934.780000,642.360000,563.730444,554.540874,910.820000,613.130000,506.890000,539.020000
934.290000,642.420000,564.280000,554.370000,910.080000,614.160000,507.990000,539.460000
933.940000,642.410000,564.620000,554.400000,909.010000,615.170000,508.640000,540.190000
933.960000,642.500000,564.840000,554.300000,908.010000,616.670000,508.890000,541.410000
933.920000,643.110000,565.080000,554.220000,906.900000,618.390000,508.970000,543.040000
934.000000,643.700000,565.280000,554.180000,905.890000,620.110000,509.080000,544.940000
934.170000,643.830000,563.730444,555.544397,904.740000,621.870000,507.533122,546.512685
935.320000,643.660000,564.030000,556.370000,903.660000,623.490000,508.536646,549.523256
936.872392,640.371589,565.737491,556.547921,902.730000,624.980000,506.529598,550.526779
937.730000,639.010000,565.737491,553.537350,896.808186,630.098716,507.140000,552.370000
937.899679,641.398876,565.840000,553.800000,895.710000,631.220000,506.760000,553.820000
937.800000,642.550000,564.780000,554.340000,894.753612,630.098716,506.529598,550.526779
936.790000,643.700000,562.890000,555.750000,894.680000,629.800000,505.760000,548.840000
935.490000,644.700000,560.800000,556.930000,896.808186,624.962279,502.515504,548.519732
934.260000,645.360000,559.010000,557.360000,895.780899,624.962279,502.080000,547.820000
934.170000,644.990000,558.800000,557.170000,895.730000,624.150000,501.530000,546.780000
932.800000,644.890000,558.760000,557.140000,895.590000,623.610000,501.860000,546.400000
926.599518,646.535313,556.705779,558.554968,893.726324,623.934992,502.010000,546.880000
922.720000,648.150000,554.450000,560.840000,892.170000,624.730000,500.508457,551.530303
913.244783,651.671750,546.670543,564.576110,887.562600,621.880417,495.490839,550.526779
909.135634,653.726324,539.920000,567.370000,892.699037,617.771268,490.473221,546.512685
908.108347,651.671750,536.635307,570.597252,895.560000,616.610000,486.610000,543.450000
911.190209,654.753612,539.645877,573.607822,893.726324,610.580257,489.469697,543.502114
913.244783,653.726324,540.649401,572.604299,895.780899,610.580257,489.469697,540.491543
914.910000,652.910000,540.649401,571.600775,896.720000,608.940000,489.640000,535.720000
914.420000,651.930000,540.649401,568.590204,890.644462,612.634831,487.462650,537.480973
917.353933,650.644462,540.649401,567.586681,887.562600,611.607544,487.850000,539.000000
917.020000,649.350000,538.642354,566.583157,884.480738,609.552970,484.452079,542.498591
919.408507,645.508026,537.638830,567.586681,882.426164,612.634831,482.070000,540.230000
924.544944,649.617175,540.649401,567.586681,874.207865,618.798555,481.441508,542.498591
924.544944,647.562600,537.638830,564.576110,874.207865,613.662119,479.434461,543.502114
925.640000,646.880000,535.631783,566.583157,881.398876,606.471108,477.427414,540.491543
928.654093,642.426164,536.635307,563.572586,881.398876,612.634831,481.441508,540.491543
930.520000,639.340000,539.645877,560.562016,877.289727,621.880417,483.448555,546.512685
930.708668,641.398876,539.380000,559.050000,877.289727,620.853130,483.448555,546.512685
930.708668,637.289727,540.649401,557.551445,876.262440,613.662119,483.448555,546.512685
930.708668,638.317014,539.660000,556.900000,875.235152,608.525682,483.448555,540.491543
929.780000,638.100000,539.210000,556.330000,880.371589,605.443820,483.448555,536.477449
927.626806,639.344302,539.210000,558.180000,884.480738,611.607544,484.452079,539.488020
926.910000,640.030000,541.652925,560.562016,890.644462,611.607544,487.462650,540.491543
927.620000,640.830000,541.652925,560.562016,893.460000,612.840000,489.780000,540.960000
928.390000,641.520000,543.659972,560.562016,891.671750,615.716693,491.920000,540.910000
929.250000,641.710000,546.670543,560.562016,893.726324,616.743981,490.473221,541.495067
930.660000,641.470000,546.670543,560.562016,888.589888,619.825843,495.490839,544.505638
932.900000,640.690000,551.688161,559.558492,888.589888,618.798555,495.490839,545.509161
933.910000,640.090000,552.691684,559.558492,888.450000,619.320000,497.497886,548.519732
934.240000,639.360000,552.691684,559.558492,888.150000,620.100000,498.501409,549.523256
935.210000,639.120000,552.691684,559.558492,888.080000,621.110000,498.501409,550.526779
936.460000,639.010000,552.691684,559.558492,888.030000,622.100000,498.501409,550.526779
937.870000,638.890000,555.702255,557.551445,888.030000,623.040000,497.497886,551.530303
938.340000,638.720000,555.702255,557.551445,887.490000,623.700000,496.494362,554.540874
938.600000,638.170000,555.702255,556.547921,886.930000,623.670000,496.494362,549.523256
939.960000,636.030000,555.702255,553.537350,889.617175,623.934992,496.494362,549.523256
940.960000,633.910000,554.698732,551.530303,889.120000,623.990000,496.494362,549.523256
938.926966,634.207865,553.890000,551.560000,887.110000,624.040000,495.510000,549.020000
938.390000,634.080000,551.940000,552.230000,886.000000,624.250000,494.450000,548.990000
938.460000,634.000000,551.420000,552.140000,885.360000,624.580000,494.310000,549.060000
938.140000,634.140000,551.840000,552.040000,885.180000,624.830000,494.170000,549.000000
935.845104,637.289727,551.650000,553.090000,884.050000,624.740000,493.770000,548.790000
935.130000,639.790000,550.120000,555.260000,882.930000,625.220000,492.000000,548.800000
934.817817,639.344302,547.650000,556.940000,884.480738,622.907705,489.950000,548.660000
935.250000,639.700000,546.410000,557.160000,885.880000,621.390000,490.473221,548.519732
936.400000,639.240000,546.700000,556.290000,887.250000,620.010000,490.473221,548.519732
936.660000,638.660000,546.020000,555.870000,891.671750,615.716693,490.473221,542.498591
936.460000,637.660000,545.140000,555.090000,894.790000,612.060000,490.473221,537.480973
936.872392,634.207865,548.677590,554.540874,897.830000,608.140000,489.469697,534.470402
939.954254,633.180578,548.677590,552.533827,899.890048,601.334671,493.483791,528.449260
941.640000,630.990000,552.691684,549.523256,896.808186,599.280096,493.483791,525.438689
943.100000,628.920000,549.681113,546.512685,896.010000,596.170000,494.487315,525.438689
942.008828,623.934992,547.674066,540.491543,893.726324,593.116372,491.476744,523.431642
941.880000,621.580000,547.770000,538.530000,889.617175,590.034510,488.466173,526.442213
942.340000,620.290000,547.180000,537.380000,890.644462,594.143660,488.466173,526.442213
941.820000,619.260000,545.180000,536.460000,887.562600,597.225522,487.840000,525.060000
940.240000,618.230000,542.656448,538.484496,884.990000,597.370000,486.910000,524.110000
939.010000,617.390000,541.190000,537.840000,882.260000,597.940000,485.910000,524.020000
938.590000,616.780000,540.510000,537.050000,880.000000,598.670000,484.810000,523.950000
938.350000,615.020000,539.970000,535.690000,882.426164,592.089085,482.445032,522.428118
938.050000,613.480000,539.060000,534.090000,883.820000,586.910000,477.427414,521.424595
937.750000,612.260000,538.080000,533.310000,884.930000,582.040000,476.423890,520.421071
937.610000,611.330000,537.460000,533.220000,879.344302,590.034510,475.060000,519.100000
937.580000,610.750000,535.631783,532.463354,877.289727,593.116372,476.423890,520.421071
938.070000,610.210000,534.290000,531.720000,876.262440,597.225522,476.670000,520.100000
938.660000,610.150000,534.760000,531.320000,881.398876,592.089085,476.423890,520.421071
938.900000,610.880000,535.250000,532.380000,880.371589,591.061798,476.423890,518.414024
934.817817,607.498395,532.621212,531.459831,879.344302,587.979936,475.900000,516.290000
940.981541,605.443820,537.638830,527.445736,875.235152,590.034510,475.100000,515.190000
940.981541,596.198234,534.628259,518.414024,872.060000,589.710000,476.423890,517.410500
939.954254,596.198234,533.320000,515.700000,871.126003,591.061798,472.409796,509.382311
937.899679,599.280096,532.621212,520.421071,870.100000,590.340000,474.416843,514.399930
937.899679,594.143660,532.621212,518.414024,867.016854,586.952648,474.980000,514.110000
937.899679,592.089085,532.810000,516.560000,872.153291,585.925361,475.170000,512.600000
938.100000,589.590000,534.628259,513.396406,872.153291,582.843499,474.930000,510.970000
937.899679,591.061798,534.430000,512.800000,872.153291,582.843499,474.500000,510.580000
937.899679,595.170947,535.100000,514.780000,873.180578,586.952648,474.416843,512.392882
940.981541,596.198234,537.290000,516.070000,873.180578,592.089085,474.416843,515.403453
943.036116,594.143660,538.770000,516.220000,878.317014,592.089085,474.416843,516.406977
946.117978,592.089085,540.000000,514.390000,879.650000,592.300000,474.380000,516.110000
942.008828,589.007223,540.770000,512.390000,881.398876,586.952648,477.427414,511.389359
942.008828,586.952648,540.070000,510.530000,879.344302,583.870787,479.434461,509.382311
941.140000,583.820000,540.180000,507.570000,876.262440,582.843499,475.420366,507.375264
940.981541,578.734350,535.631783,504.364693,874.207865,582.843499,479.434461,503.361170
938.926966,577.707063,532.380000,501.980000,872.153291,577.707063,472.409796,505.368217
935.845104,576.679775,529.160000,501.080000,863.934992,582.843499,472.409796,505.368217
932.763242,578.734350,527.400000,501.240000,863.934992,582.843499,472.409796,506.371741
931.830000,580.160000,525.140000,502.050000,859.825843,582.843499,467.392178,508.378788
930.720000,581.690000,524.593023,506.371741,859.825843,589.007223,466.388654,509.382311
930.740000,581.740000,523.880000,505.750000,859.825843,587.979936,467.392178,508.378788
930.740000,581.650000,521.980000,505.730000,859.825843,589.007223,467.392178,510.385835
928.654093,575.652488,520.578929,501.354123,857.771268,592.089085,465.385130,512.392882
925.572231,578.734350,520.000000,501.250000,853.662119,592.089085,463.378083,515.403453
923.517657,578.734350,518.720000,502.080000,847.498395,590.034510,460.367512,513.396406
921.463082,574.625201,514.557787,503.361170,845.443820,593.116372,459.363989,515.403453
914.272071,572.570626,514.557787,503.361170,841.334671,593.116372,457.356942,516.406977
912.217496,572.570626,509.540169,501.354123,837.225522,592.089085,452.339323,515.403453
908.750000,571.070000,505.500000,499.400000,835.170947,590.034510,450.332276,520.421071
905.026485,572.570626,501.340000,498.810000,832.850000,588.090000,448.000000,522.300000
900.917335,573.597913,501.511980,500.350599,825.925361,589.007223,448.325229,519.417548
896.808186,573.597913,500.600000,501.040000,825.925361,587.979936,446.960000,518.170000
894.753612,572.570626,498.010000,502.310000,823.870787,587.979936,445.290000,517.130000
893.726324,573.597913,495.460000,502.260000,824.898074,589.007223,442.304087,520.421071
891.680000,574.130000,493.010000,502.170000,820.788925,587.979936,440.470000,520.370000
888.589888,571.543339,491.410000,501.500000,820.788925,582.843499,439.293517,520.421071
890.644462,568.461477,492.140000,499.060000,822.843499,580.788925,441.300564,514.399930
889.617175,564.352327,493.483791,502.357646,820.788925,578.734350,440.297040,515.403453
889.617175,564.352327,491.476744,507.375264,819.761637,574.625201,440.297040,511.389359
888.589888,565.379615,488.466173,501.354123,819.761637,574.625201,439.293517,508.378788
886.535313,565.379615,486.459126,501.354123,817.707063,573.597913,436.282946,509.382311
887.562600,565.379615,485.455603,501.354123,816.679775,573.597913,433.960000,508.610000
891.671750,565.379615,484.452079,497.340028,821.816212,572.570626,433.272375,510.385835
891.671750,565.379615,483.260000,496.720000,821.816212,569.488764,432.268851,506.371741
891.671750,567.434189,482.950000,496.990000,821.816212,569.488764,431.230000,504.380000
893.726324,568.461477,483.750000,496.960000,823.870787,566.406902,434.275899,504.364693
893.726324,568.461477,484.110000,497.090000,822.843499,570.516051,434.580000,504.040000
892.699037,570.516051,484.600000,496.910000,822.843499,570.516051,434.660000,504.180000
892.699037,567.434189,483.490000,496.740000,822.843499,570.516051,433.670000,504.120000
891.671750,565.379615,482.950000,495.990000,822.843499,570.516051,432.970000,504.010000
891.671750,567.434189,482.380000,495.290000,824.898074,571.543339,432.420000,503.880000
891.671750,567.434189,482.270000,495.370000,824.898074,565.379615,432.590000,503.290000
892.980000,568.110000,482.750000,495.520000,823.870787,565.379615,432.940000,502.640000
893.980000,569.470000,483.740000,496.920000,824.898074,570.516051,433.620000,502.420000
895.390000,572.490000,484.920000,498.480000,826.952648,570.516051,433.272375,506.371741
898.862761,575.652488,491.476744,498.343552,831.061798,573.597913,433.110000,508.470000
900.917335,576.679775,492.020000,499.070000,831.061798,576.679775,433.272375,508.378788
898.862761,582.843499,490.473221,499.347075,832.089085,579.761637,433.040000,509.180000
898.340000,587.400000,493.483791,505.368217,832.089085,579.761637,433.130000,510.600000
898.862761,586.952648,491.476744,512.392882,834.143660,580.788925,433.272375,514.399930
899.890048,590.034510,493.483791,517.410500,837.225522,577.707063,435.279422,514.399930
902.971910,591.061798,494.660000,519.650000,838.252809,582.843499,435.279422,516.406977
902.971910,593.116372,495.650000,520.350000,838.252809,583.870787,435.880000,517.470000
902.971910,595.170947,495.450000,520.720000,838.252809,583.870787,435.790000,517.160000
903.999197,596.198234,495.910000,521.370000,838.500000,584.270000,436.282946,517.410500
903.999197,596.198234,497.380000,522.360000,842.361958,585.925361,436.750000,517.050000
907.081059,600.307384,498.690000,523.720000,844.230000,585.970000,437.040000,516.940000
907.081059,601.334671,499.610000,524.170000,845.600000,585.690000,440.297040,516.406977
907.081059,602.361958,500.920000,522.820000,842.361958,582.843499,440.297040,516.406977
907.081059,601.334671,501.200000,522.330000,844.416533,586.952648,440.970000,516.360000
908.108347,601.334671,500.960000,522.630000,848.525682,582.843499,442.304087,519.417548
908.108347,601.334671,500.800000,523.180000,851.870000,579.950000,439.293517,519.417548
909.135634,601.334671,500.730000,523.870000,854.790000,577.030000,439.293517,519.417548
910.162921,601.334671,501.180000,523.670000,849.552970,584.898074,438.990000,519.550000
910.162921,600.307384,502.120000,523.560000,850.580257,584.898074,439.010000,518.660000
911.190209,599.280096,502.730000,522.720000,850.920000,583.890000,439.080000,517.750000
911.190209,599.280096,502.730000,521.960000,851.390000,583.090000,439.200000,516.820000
911.190209,598.252809,502.880000,521.310000,851.920000,582.660000,439.770000,516.070000
911.190209,598.252809,502.980000,521.270000,852.030000,582.900000,440.120000,515.750000
911.190209,602.361958,501.511980,522.428118,851.760000,583.280000,441.040000,515.910000
911.190209,602.361958,500.920000,524.400000,849.552970,586.952648,440.297040,518.414024
909.135634,605.443820,501.040000,526.470000,850.580257,586.952648,442.304087,519.417548
909.135634,605.443820,501.130000,527.170000,851.090000,588.450000,442.304087,524.435166
908.770000,606.250000,500.960000,527.250000,851.700000,588.170000,443.307611,520.421071
909.135634,608.525682,500.508457,528.449260,851.670000,587.950000,443.307611,520.421071
908.790000,609.630000,500.508457,529.452784,851.670000,587.930000,444.311135,520.421071
908.960000,609.330000,501.210000,529.190000,851.830000,587.960000,445.314658,517.410500
909.030000,608.700000,502.130000,528.920000,852.020000,588.180000,445.940000,516.780000
909.135634,608.525682,503.050000,528.990000,851.880000,588.160000,446.890000,516.790000
