pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
33.515804,-9.068278,-16.472055,14.135501,-10.624110,3.078794
33.561615,-8.944451,-16.465375,14.058037,-10.697602,3.048361
33.497678,-8.956859,-16.577140,14.081529,-10.712368,3.026450
33.509090,-8.946048,-16.659822,14.131082,-10.746522,2.993813
33.532431,-9.011194,-16.749770,14.208956,-10.812584,2.949451
33.500291,-8.991269,-16.760937,14.307212,-10.908713,2.850548
33.466464,-8.999457,-16.818813,14.312798,-10.899551,2.831965
33.405996,-8.981089,-16.848900,14.320131,-10.884057,2.836846
33.364568,-8.967636,-16.880689,14.332331,-10.903169,2.855638
33.353898,-8.956704,-16.900161,14.351184,-10.920739,2.842177
33.318802,-8.974054,-16.974785,14.369222,-10.923879,2.840233
33.339895,-8.994346,-17.029388,14.414211,-10.822891,2.638395
33.272884,-9.018343,-17.110768,14.438067,-10.820584,2.498139
33.193109,-8.987209,-17.088894,14.562074,-11.016149,2.395134
33.104676,-8.960809,-17.077126,14.587842,-11.154703,2.447465
33.023889,-8.960235,-17.120875,14.611107,-11.302087,2.495422
32.952972,-8.862593,-17.205266,14.651919,-11.471532,2.534134
32.910631,-8.766608,-17.268538,15.646562,-10.771300,4.055352
32.861777,-8.765106,-17.308312,15.675229,-10.820158,4.018878
32.815428,-8.751328,-17.359056,15.757685,-10.793113,4.070209
32.763097,-8.772331,-17.476983,15.792764,-10.805110,4.055255
32.689634,-8.720978,-17.569734,15.829063,-10.825343,4.053879
32.600556,-8.705251,-17.606732,15.968428,-10.907778,3.908698
32.555019,-8.731174,-17.706179,16.039691,-10.920389,3.873322
32.644927,-8.688267,-17.641639,16.081016,-10.928105,3.777330
33.123449,-8.547150,-17.260511,15.980534,-10.525905,2.657024
34.419201,-8.571439,-16.855214,16.053300,-10.747054,-0.126878
35.776075,-9.258394,-16.357300,15.813453,-9.534425,-2.150390
36.723334,-9.602891,-15.830627,15.088250,-8.306228,-1.938114
37.531114,-10.085165,-15.403497,14.670251,-6.668528,-5.123288
38.847607,-10.922954,-16.442294,15.144427,-7.658632,-5.723604
39.523882,-11.305780,-16.701042,15.553435,-6.741724,-6.795965
39.119149,-10.935198,-15.456714,15.465240,-7.118429,-7.789093
39.317073,-11.223631,-15.365183,15.701942,-6.953017,-8.162679
39.402531,-11.498620,-15.363750,16.084784,-6.736626,-7.766749
39.394650,-11.630016,-15.472666,16.436053,-6.498634,-6.867257
39.316380,-11.701761,-15.734581,16.820949,-6.262290,-6.244030
39.366765,-11.788485,-15.901969,17.228591,-6.247043,-5.566466
39.865003,-11.746125,-16.656932,17.716026,-6.087729,-5.084159
40.115351,-11.999842,-17.108516,18.171195,-6.246430,-3.705878
39.796786,-11.883974,-17.374725,18.769143,-6.419718,-1.901392
39.228724,-11.607010,-17.992221,18.939529,-6.823547,-1.416140
37.651043,-10.591961,-17.853330,19.174374,-7.308530,-0.606609
36.302750,-9.905481,-18.119301,19.444455,-8.026624,0.504241
34.896600,-9.065907,-18.207268,20.021626,-8.643001,2.150462
33.592479,-8.203854,-18.079934,20.607596,-8.542056,3.456540
32.664843,-7.609122,-18.058089,21.215036,-8.820980,4.736121
