pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
23.829482,-6.944459,-8.659507,-1.171297,-4.379078,-15.778257
23.794369,-6.865150,-8.620951,-1.230167,-4.408260,-15.740973
23.759240,-6.786651,-8.584185,-1.288198,-4.437365,-15.703656
23.724094,-6.708962,-8.549208,-1.345388,-4.466391,-15.666307
23.688931,-6.632084,-8.516023,-1.401739,-4.495340,-15.628926
23.653753,-6.556016,-8.484627,-1.457250,-4.524211,-15.591512
23.618559,-6.480759,-8.455021,-1.511921,-4.553004,-15.554065
23.583350,-6.406313,-8.427205,-1.565751,-4.581719,-15.516587
23.548128,-6.332677,-8.401180,-1.618742,-4.610357,-15.479075
23.512893,-6.259851,-8.376944,-1.670892,-4.638917,-15.441532
23.477648,-6.187837,-8.354498,-1.722202,-4.667399,-15.403956
23.442398,-6.116632,-8.333841,-1.772671,-4.695803,-15.366347
23.407145,-6.046238,-8.314972,-1.822299,-4.724129,-15.328706
23.371896,-5.976655,-8.297893,-1.871085,-4.752378,-15.291032
23.336657,-5.907882,-8.282601,-1.919030,-4.780549,-15.253327
23.301436,-5.839920,-8.269096,-1.966132,-4.808642,-15.215588
23.266245,-5.772768,-8.257377,-2.012390,-4.836657,-15.177817
23.231095,-5.706427,-8.247443,-2.057804,-4.864595,-15.140014
23.195999,-5.640897,-8.239291,-2.102372,-4.892454,-15.102179
23.160975,-5.576177,-8.232922,-2.146093,-4.920236,-15.064311
23.126041,-5.512267,-8.228332,-2.188965,-4.947940,-15.026411
23.091218,-5.449168,-8.225518,-2.230987,-4.975567,-14.988478
23.056530,-5.386880,-8.224479,-2.272157,-5.003115,-14.950513
23.022003,-5.325403,-8.225211,-2.312471,-5.030586,-14.912516
22.987669,-5.264736,-8.227710,-2.351927,-5.057979,-14.874487
22.953558,-5.204879,-8.231972,-2.390523,-5.085294,-14.836425
22.919708,-5.145833,-8.237992,-2.428255,-5.112532,-14.798332
22.886158,-5.087598,-8.245764,-2.465119,-5.139692,-14.760206
22.852950,-5.030174,-8.255283,-2.501111,-5.166773,-14.722048
22.820130,-4.973560,-8.266541,-2.536227,-5.193778,-14.683859
22.787747,-4.917757,-8.279532,-2.570462,-5.220704,-14.645637
22.755853,-4.862764,-8.294246,-2.603811,-5.247552,-14.607384
22.724501,-4.808582,-8.310675,-2.636267,-5.274323,-14.569099
22.693751,-4.755211,-8.328808,-2.667826,-5.301016,-14.530783
22.663661,-4.702651,-8.348635,-2.698480,-5.327631,-14.492435
22.634295,-4.650901,-8.370143,-2.728222,-5.354169,-14.454056
22.605716,-4.599962,-8.393320,-2.757045,-5.380628,-14.415645
22.577992,-4.549834,-8.418152,-2.784942,-5.407010,-14.377204
22.551190,-4.500516,-8.444623,-2.811903,-5.433314,-14.338731
