pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
4.930158,6.184852,9.706283,4.976445,5.954504,9.172206
4.853519,6.105599,8.938717,5.096891,5.957270,8.818629
4.554753,5.719879,9.429025,4.846571,6.221243,9.309980
4.914526,5.795057,9.964362,5.076829,5.813676,8.846620
4.421543,5.845599,9.935239,4.929129,5.803065,8.932968
4.729461,5.644263,8.631069,5.313380,6.106150,8.818380
4.421476,5.972949,9.987615,4.551778,6.247764,9.381707
4.429917,5.854601,8.747839,4.932851,5.792862,9.297085
4.758620,5.220067,9.059162,4.814975,6.055094,9.180348
4.300719,5.766603,9.103419,4.944165,6.158040,9.339316
4.270034,5.530771,8.869358,4.743084,6.300751,8.766629
4.368863,5.820080,8.844454,5.051217,6.015853,8.898503
4.688225,5.690437,9.427094,4.487803,5.950705,7.983196
4.721492,5.740142,9.468844,5.178984,6.190343,9.876973
5.049978,6.010258,9.053857,4.503745,5.633898,8.491271
4.802003,5.790297,9.392748,5.319144,6.178850,9.180575
4.900330,5.641216,9.075592,5.370939,6.097179,8.839439
4.409027,5.550284,9.512390,5.088489,6.220615,9.372639
4.699387,5.641698,8.742447,5.074325,6.090794,9.245313
5.020743,6.106342,9.196319,5.050640,5.791324,8.337017
4.582017,5.868904,9.570865,4.831030,5.735639,8.672782
4.663708,6.324176,9.612739,4.834430,6.214894,9.456907
4.605286,6.141323,8.801420,4.902439,5.348693,8.876784
4.789489,5.366703,8.980069,4.822777,6.504545,9.409162
4.877450,5.953260,8.879513,4.913411,5.680395,9.475117
4.175327,6.207944,9.769495,5.024403,6.468626,9.396343
4.498761,6.249880,9.225350,4.778348,5.985961,8.597338
4.428179,6.060395,8.902114,5.219898,5.906076,8.834826
4.720477,5.679922,9.096946,4.865797,6.271637,8.954296
4.721549,5.586289,8.749942,5.176804,6.110002,9.617258
4.488280,6.110471,8.829426,4.792425,6.076692,9.091370
4.722670,5.864955,9.064446,4.588244,5.877782,9.531855
4.372561,5.960921,9.534410,4.556858,6.073595,8.688230
4.453345,5.995069,9.781222,5.092761,5.898822,8.938506
5.071325,5.832131,9.608613,4.594514,5.551957,8.884910
4.622009,5.553055,9.365389,5.054243,6.386060,8.850049
4.284838,6.066368,9.047865,4.774949,6.204765,8.962349
4.120155,5.852869,8.808164,4.755803,5.573306,9.423471
4.780229,5.557196,8.929538,4.992121,6.277046,10.081033
4.802327,6.234867,10.259114,5.223552,6.219321,9.259757
4.573266,5.747868,9.096721,4.630261,5.835880,8.741622
4.420466,5.828231,9.569223,5.041664,5.728191,9.078611
4.808804,5.888122,8.850268,4.816208,5.852647,8.994859
4.702044,5.807057,9.156117,4.623340,6.555387,9.104881
4.975875,5.770753,9.212249,5.289598,6.270230,9.542244
4.270316,5.232073,8.799395,5.035144,5.768753,8.958654
4.633098,5.836088,9.344322,5.106320,6.083342,8.772539
4.491263,5.844309,8.793643,4.957105,6.051554,8.941990
4.757802,5.470117,9.366794,4.967586,6.348735,9.079840
4.724492,6.312727,9.838975,4.452711,5.541317,8.949175
4.723024,5.873188,9.238457,5.176573,6.619564,9.539342
4.266086,5.239997,9.315427,4.698974,6.106063,9.411546
4.733274,5.737077,9.494211,4.715776,5.914243,9.981986
4.735336,5.204396,9.426218,4.851449,6.013969,8.705388
5.190256,5.947546,9.087805,5.229511,6.115169,8.998581
5.064297,6.599322,9.803960,4.524846,5.757998,9.238315
4.775448,5.745638,8.537933,5.147253,6.327914,9.371091
4.545946,5.778911,9.068824,5.049075,6.150276,9.429848
4.403700,5.923394,9.483758,4.417949,5.979202,9.529097
4.902216,5.857053,10.300382,5.211862,6.206435,9.391530
4.743901,6.499261,9.815561,5.258002,6.354980,8.851875
4.777724,5.658227,8.555844,5.182437,6.412084,9.708211
4.617769,5.521001,9.762959,5.235389,6.067248,10.034538
4.523633,5.551882,9.374026,4.852506,6.013670,9.236316
4.752146,5.564613,9.479815,5.338747,6.352512,9.669420
4.695890,5.780104,9.359394,4.742684,6.113758,9.820730
4.525244,5.551640,8.915888,4.816755,6.069043,8.710421
4.927545,5.953407,10.157561,4.998502,6.075095,8.979924
4.550508,5.156024,9.225790,5.084189,6.150933,8.859749
4.773109,5.559392,9.084711,5.194146,5.963727,9.025761
4.829321,5.482403,8.945908,4.907264,5.788305,8.882062
5.081228,5.994783,9.052088,4.885213,6.376599,9.284253
4.913746,5.686444,8.831753,4.905117,6.199739,8.923107
4.544350,5.450822,9.184129,5.101218,6.107823,9.568242
4.457157,5.596936,8.739455,5.116929,5.580797,8.819283
4.788499,5.602943,8.271936,4.939722,6.031191,9.624735
4.347363,6.111384,8.724012,5.209220,6.227260,9.205357
4.664192,5.417386,8.864095,4.756312,5.847590,8.413451
4.987413,5.757913,9.895644,5.066221,6.305615,8.961639
4.744489,5.840680,9.605121,5.175243,5.798570,8.444395
4.494465,6.146613,9.205539,5.189323,5.792944,8.636502
4.510024,5.428224,9.266140,5.023623,5.871577,9.091106
4.423397,5.699287,8.815084,5.053383,5.602496,9.372252
4.612263,5.827524,8.479099,5.006819,5.938176,9.428587
4.773386,5.818179,9.011586,4.565112,6.553054,9.804921
4.609606,5.972848,9.064544,4.558937,6.162246,9.279014
4.591767,6.180898,9.562740,5.041343,6.055360,9.456615
4.072401,6.010474,8.729598,5.209573,5.832881,10.080228
4.656785,5.230684,8.781939,4.725469,6.504508,9.245163
4.573686,6.162136,9.707303,5.124470,6.057987,9.296556
4.643552,5.363402,9.828986,5.147649,6.171041,9.894674
4.558561,5.786482,9.834484,4.701793,5.739485,9.627481
4.652708,5.877058,9.226267,5.037937,5.786661,9.491099
4.531758,6.245800,9.380707,5.474423,6.234754,9.177476
4.406618,5.493399,8.793215,5.008229,6.232138,9.768670
4.525029,5.517926,9.279943,5.022938,6.143467,9.728381
4.443326,5.808197,9.545698,4.777192,5.971539,9.355960
4.610502,5.882385,9.248384,4.942715,5.900586,9.279100
4.470574,6.074318,9.557687,5.081519,6.298404,9.834262
4.797686,5.921006,9.146308,4.871036,6.320976,9.505871
4.707443,5.626848,9.393619,5.076788,6.374182,9.937424
4.290223,5.951633,9.968221,4.910722,6.183148,9.453482
4.381687,5.822267,8.940908,4.689097,5.550595,8.619958
4.497220,5.845719,9.024937,4.464942,5.694200,8.787386
4.630027,6.419802,10.533367,5.133154,6.177730,8.900239
4.470098,6.396104,9.675476,4.926117,5.818757,9.216757
4.682575,5.932227,8.501461,5.140376,5.945881,9.898678
4.635015,6.143008,9.469119,5.032479,5.673049,9.902220
4.496813,6.090974,9.366147,4.776818,6.082998,9.267356
4.865678,5.766414,9.871480,4.742887,6.170979,9.407152
4.295678,5.181042,9.165262,4.728782,5.922496,8.876693
4.403845,5.509594,8.945942,4.870309,6.659892,9.331978
4.214695,5.570307,9.436804,5.045490,5.736165,9.766984
5.016156,5.811399,9.699775,5.101363,6.068682,9.468868
4.368066,6.361171,10.007206,4.656193,5.699229,9.637353
4.525222,5.861815,9.370099,4.877322,5.769985,8.490608
4.841867,5.780284,9.316729,4.918080,6.397238,10.047656
4.487681,5.838568,8.573899,5.206568,5.993227,9.024345
4.778269,5.797734,9.101812,5.088822,5.648810,8.899117
4.468811,5.765522,9.215247,4.879253,5.981697,9.297057
4.505884,5.917155,8.993031,4.576218,5.720246,8.839798
4.415139,5.653144,9.025015,5.369467,5.886827,9.536153
4.528794,5.436011,9.306263,5.210172,5.978847,9.206398
4.645958,5.753029,8.785473,5.051863,6.057660,9.647524
4.500309,6.001712,9.378580,5.003503,5.618083,9.203007
4.510833,5.680350,9.874784,4.804290,6.847646,9.170492
4.636958,5.546047,9.160709,5.349814,6.376674,9.540661
4.539911,6.007842,9.672666,4.604548,6.792984,9.841343
4.608456,5.848462,9.487222,5.249707,6.138112,9.834427
4.851856,6.062803,9.088798,5.064717,6.250801,9.162708
4.739705,5.783029,9.292742,5.041341,5.883375,9.965865
4.765064,5.487598,8.607473,4.719724,5.887700,8.744228
4.710944,5.765937,9.434056,5.158068,6.072869,9.332871
4.229134,6.053108,9.204960,4.960503,5.963517,9.496136
5.035989,5.849449,9.816761,4.868315,6.118874,8.978516
4.783102,5.765816,9.185785,5.316025,6.021325,9.637719
4.737287,6.003275,9.295081,4.841555,6.134858,8.894418
4.332605,6.099840,8.277012,5.257468,6.272131,9.422026
