pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
47.264211,-15.318200,-25.666597,24.757456,-16.110874,-7.062799
47.302834,-15.247287,-25.669745,24.891413,-16.053889,-7.203154
47.331995,-15.175921,-25.666079,25.018138,-15.997364,-7.340732
47.351693,-15.104102,-25.655597,25.137631,-15.941300,-7.475535
47.361931,-15.031830,-25.638299,25.249891,-15.885696,-7.607561
47.362718,-14.959105,-25.614187,25.354919,-15.830553,-7.736811
47.354064,-14.885930,-25.583259,25.452714,-15.775870,-7.863284
47.335991,-14.812305,-25.545518,25.543277,-15.721647,-7.986982
47.308531,-14.738235,-25.500964,25.626608,-15.667886,-8.107903
47.271735,-14.663724,-25.449600,25.702707,-15.614584,-8.226049
47.225675,-14.588780,-25.391427,25.771575,-15.561743,-8.341418
47.170455,-14.513411,-25.326450,25.833213,-15.509363,-8.454012
47.106217,-14.437629,-25.254674,25.887625,-15.457442,-8.563830
47.033149,-14.361452,-25.176106,25.934814,-15.405983,-8.670873
46.951493,-14.284897,-25.090753,25.974786,-15.354983,-8.775141
46.861554,-14.207991,-24.998628,26.007547,-15.304444,-8.876634
46.763702,-14.130761,-24.899743,26.033105,-15.254364,-8.975352
46.658385,-14.053242,-24.794114,26.051473,-15.204745,-9.071298
46.546135,-13.975478,-24.681760,26.062662,-15.155585,-9.164470
46.427571,-13.897514,-24.562704,26.066688,-15.106885,-9.254871
46.303408,-13.819408,-24.436973,26.063569,-15.058645,-9.342501
46.174462,-13.741221,-24.304597,26.053325,-15.010863,-9.427362
46.041650,-13.663026,-24.165611,26.035979,-14.963541,-9.509454
45.905996,-13.584900,-24.020055,26.011559,-14.916677,-9.588780
45.768623,-13.506932,-23.867976,25.980093,-14.870271,-9.665342
45.630757,-13.429218,-23.709425,25.941615,-14.824323,-9.739143
45.493712,-13.351864,-23.544459,25.896161,-14.778833,-9.810184
45.358881,-13.274982,-23.373142,25.843773,-14.733799,-9.878469
45.227718,-13.198695,-23.195546,25.784494,-14.689221,-9.944002
45.101718,-13.123134,-23.011750,25.718373,-14.645099,-10.006786
44.982387,-13.048436,-22.821839,25.645464,-14.601432,-10.066825
44.871214,-12.974747,-22.625908,25.565824,-14.558219,-10.124125
44.769634,-12.902222,-22.424060,25.479515,-14.515459,-10.178691
44.678986,-12.831019,-22.216406,25.386604,-14.473152,-10.230529
44.600472,-12.761304,-22.003069,25.287161,-14.431295,-10.279645
44.535120,-12.693248,-21.784177,25.181262,-14.389889,-10.326047
44.483749,-12.627027,-21.559871,25.068989,-14.348932,-10.369742
44.446935,-12.562820,-21.330301,24.950426,-14.308422,-10.410740
44.424990,-12.500809,-21.095627,24.825665,-14.268359,-10.449048
44.417941,-12.441182,-20.856019,24.694803,-14.228740,-10.484678
44.425512,-12.384124,-20.611657,24.557944,-14.189565,-10.517640
44.447122,-12.329824,-20.362733,24.415199,-14.150831,-10.547945
44.481880,-12.278472,-20.109446,24.266686,-14.112536,-10.575608
44.528590,-12.230256,-19.852009,24.112533,-14.074679,-10.600640
44.585764,-12.185366,-19.590642,23.952876,-14.037258,-10.623057
44.651640,-12.143987,-19.325577,23.787864,-14.000270,-10.642875
44.724214,-12.106306,-19.057055,23.617654,-13.963714,-10.660110
44.801267,-12.072506,-18.785326,23.442415,-13.927586,-10.674780
44.880414,-12.042765,-18.510649,23.262332,-13.891884,-10.686904
44.959146,-12.017261,-18.233294,23.077601,-13.856605,-10.696503
