pt1_dltres,pt2_dltres
0.349477,1.167894
0.313707,0.666244
0.354194,0.658287
0.309666,0.679125
0.363494,0.352764
0.307114,0.398796
1.867286,0.432796
2.002869,0.380209
1.913111,0.321161
1.988227,0.283796
0.483626,0.191721
0.396867,0.170825
0.467037,0.184465
0.393723,0.141133
0.490695,0.154187
0.706972,0.157467
0.670719,0.086322
0.454728,0.047040
0.458204,0.023132
0.441020,0.004029
1.905728,1.589536
1.928818,1.501417
1.926373,1.480814
1.905484,0.219215
3.743809,0.217683
3.345323,0.268594
3.321459,0.336669
3.147945,0.867095
3.100527,0.896809
4.231648,0.833986
2.702152,0.844993
2.652930,0.816061
2.608560,2.054447
2.512054,0.582406
2.318767,0.563509
2.194278,0.455355
2.081342,1.712754
1.979996,1.567783
1.755921,1.635002
1.612978,1.598637
1.394743,0.056592
1.150463,0.107362
1.072875,0.200681
2.373525,0.180924
2.184934,0.179736
1.958666,0.191754
0.433895,0.196793
1.745207,0.190107
1.600926,1.279367
1.710417,2.644114
1.733297,1.390320
3.190966,1.276514
3.182259,1.318069
1.767130,2.797024
1.207553,1.450188
1.209488,1.500103
1.235206,2.114671
1.221151,0.896722
1.284298,2.180353
1.450323,2.000383
1.541119,2.239059
1.200015,2.563844
1.758990,3.782221
3.340719,2.666055
3.387552,2.706737
3.577836,1.289348
3.577061,1.259464
4.701369,1.255149
4.710096,1.240857
4.704313,4.082273
4.097053,1.721148
1.306465,3.449626
0.230817,1.554211
1.798985,0.642279
2.574184,0.806314
2.731363,0.861189
2.331860,1.040641
1.568547,1.095062
1.458903,1.338419
1.511004,1.384122
1.493932,1.440348
1.483997,1.469518
1.494345,2.071824
1.614705,2.142055
1.627261,2.100023
1.590287,2.017902
1.580117,1.946337
1.580381,1.891003
1.589821,1.446628
1.577674,1.159250
3.382480,1.088999
2.849498,1.110197
2.879253,1.041266
2.858381,0.985171
2.514194,2.452728
1.748897,0.848998
2.105811,0.259005
2.126219,0.089742
2.076952,0.036305
3.444072,1.423572
3.508361,1.392505
3.498824,1.356979
3.931891,1.281496
3.914885,1.236109
2.516275,1.149036
2.329053,1.038113
2.207560,0.992790
2.074958,0.929085
2.128225,2.346893
2.129924,2.323428
1.938101,2.975104
1.907078,2.968421
1.906719,2.829457
2.047770,2.951003
0.930430,1.385363
1.333884,1.266826
1.638359,1.222620
1.677777,1.226419
1.679211,2.680373
2.501820,2.615950
2.470467,2.546712
3.576557,2.529760
3.561855,2.482663
3.532799,1.075902
4.676990,0.898704
4.324368,2.284961
4.589125,2.371877
4.013530,2.361906
3.178635,0.888864
2.410897,0.974988
2.420696,0.956637
2.418399,0.845863
2.414888,0.772779
2.411903,2.189403
2.413834,2.241736
2.401751,0.938160
2.408934,0.869659
1.810290,0.733973
0.688111,0.793304
0.693186,0.797857
0.691429,0.826750
0.688266,0.747046
0.713216,0.659633
0.786224,0.650549
0.207601,0.574706
0.196344,0.597189
0.195289,0.587214
0.202126,2.041064
0.192474,2.054452
1.272948,2.044965
1.396700,2.067058
1.378000,2.041657
1.321751,1.976909
1.018474,0.659412
0.753757,0.385187
0.753003,0.210249
0.751037,0.207573
0.758723,1.260676
0.485292,1.205380
0.485113,1.239022
0.534414,1.204898
0.533341,1.250528
0.534414,1.254678
0.533520,1.281661
0.531912,0.190743
0.531376,0.212151
0.533520,0.181753
0.536916,0.214370
0.635672,1.218192
0.901708,0.276116
0.542287,0.361390
0.644509,0.346527
0.646143,0.276672
0.585760,0.271544
0.586667,0.284922
0.589206,0.308450
0.590184,0.320136
0.615320,0.342643
0.618223,0.323463
0.623484,0.342973
0.624462,0.353885
0.624462,0.311148
0.623555,0.289082
0.629653,0.306621
0.622648,0.314765
0.623011,0.320732
0.624028,0.326905
0.625590,0.332470
0.626497,0.330867
1.994641,0.298433
1.994822,0.286336
1.995911,0.316350
1.995185,0.296151
1.997001,0.248289
2.006186,0.179175
1.997696,0.108787
2.006489,2.833499
1.531614,1.952366
0.616965,3.676953
0.132932,4.589566
0.044992,3.487200
0.077402,3.208660
0.059724,2.968056
0.025859,0.454453
1.370353,0.559629
1.478336,0.568075
1.489178,1.995181
1.453090,0.388735
1.462700,0.366739
2.859297,0.304071
2.960737,0.310885
3.233627,0.617324
3.147487,0.643844
3.147866,0.645372
3.158839,0.648989
3.159247,2.121187
3.184847,0.512168
3.260483,0.470777
3.261242,0.508161
2.088733,0.478246
1.813919,1.836618
1.805605,1.891366
1.814109,1.837055
1.814678,1.824628
1.815815,0.464543
1.814488,0.459114
1.814678,0.498535
1.813540,0.463577
1.812593,0.460079
1.813161,0.455132
1.821097,2.203792
2.095152,2.215076
2.103088,2.249133
2.369254,2.218505
2.360938,0.791363
2.343206,0.774790
2.344534,2.185695
2.344723,2.216595
2.342638,2.264538
2.332615,2.245967
2.272163,2.263939
2.252331,2.223026
2.242688,0.803446
1.916504,0.774348
1.916504,0.837989
1.906672,0.850985
1.903450,0.848810
1.600276,1.014077
1.315127,1.085568
1.311529,1.128199
1.009349,1.144120
1.388345,1.162573
3.633914,1.312125
3.749728,1.428005
0.234859,1.610475
0.207551,1.743026
0.208858,0.382712
0.200934,0.330490
0.203546,1.953503
0.231447,0.485441
0.234433,0.212190
0.237330,0.210141
0.883438,1.649291
2.005880,1.580142
2.004759,0.040899
2.004199,0.057123
2.903628,0.079788
2.902881,0.061705
2.902134,0.070619
3.501671,0.069390
3.501110,0.092174
3.501110,0.100456
3.492996,0.104822
3.491315,0.120149
3.498681,1.332492
3.499989,1.313426
3.500737,1.296118
3.492810,1.290604
3.489072,1.315567
2.048437,0.159348
1.962083,0.154177
1.997066,1.138106
1.994306,1.383242
1.993017,1.400758
1.993017,1.409821
1.991545,1.406393
1.990257,1.370899
1.989888,1.360190
1.987312,1.314891
1.987128,1.320619
1.987312,1.348378
1.986944,1.376804
1.987128,1.370804
1.987496,1.356771
1.987680,1.418669
1.987680,1.413495
1.993020,1.373042
1.992467,1.329077
1.991363,1.281326
1.983447,1.303053
1.991179,1.338924
1.989523,1.363875
1.989155,1.340085
1.988235,1.353456
1.988603,1.337714
1.981239,1.352963
1.987499,1.333125
1.986579,1.346197
1.978663,1.359997
1.979215,1.385858
1.979399,1.352730
1.978847,1.316702
1.987499,1.330667
1.987683,1.322344
1.985107,1.283311
1.982350,2.856964
1.981614,2.791998
1.981062,2.866580
1.981798,1.212191
1.981430,1.222253
1.982166,0.463887
1.981430,1.273908
1.981062,1.210056
1.980326,2.809660
1.971676,2.807177
1.971492,2.820249
1.979590,2.825474
1.980326,2.858433
1.980142,2.852177
1.979222,2.808538
1.979774,1.189757
1.979774,1.201654
1.981062,1.186804
1.982166,1.183978
1.983086,1.238163
1.983270,1.188671
1.982350,1.130702
1.974251,1.015280
0.491495,2.614598
0.448408,2.648640
0.492945,0.903294
0.500307,1.003012
0.493307,0.880364
0.493488,2.513983
0.493670,2.482318
0.494938,0.873264
0.502120,0.814790
0.503388,0.810547
0.503751,0.772736
1.938536,0.718286
2.634651,2.314071
2.636308,2.329866
2.584207,2.289547
2.582551,2.264961
2.581630,2.245317
2.582919,2.256202
2.591203,2.257214
2.584575,2.258285
1.991547,0.566226
1.690794,0.503748
1.689138,0.491639
1.687482,0.477338
1.689506,0.485032
1.682142,0.484427
1.682694,0.476152
1.715495,0.494380
1.707396,2.000580
1.707580,2.004295
1.707948,1.102451
1.708316,1.398278
1.707948,1.389123
1.708132,1.369395
2.009594,1.343875
3.505805,1.329247
2.606618,1.327382
2.307556,2.827215
2.007938,2.847880
2.008306,2.755997
2.010882,2.729768
2.011066,2.739942
2.011803,2.719074
2.011066,0.371621
2.009778,0.544795
2.016222,0.516996
2.009226,0.509070
2.010514,1.980537
0.787953,1.970697
0.788504,1.966466
0.787217,1.963429
0.785562,1.961532
0.785010,1.955838
0.785010,0.519609
0.783171,0.501919
0.783906,0.501399
0.785010,0.501416
0.785194,0.523949
0.785929,0.540449
0.786297,0.553391
0.785194,0.564582
0.784826,0.559332
0.785929,0.550728
0.661677,0.564293
0.935080,0.559533
0.933610,0.556480
0.935080,0.560709
0.935815,0.535535
0.941523,0.557501
0.934529,0.565530
0.934529,0.557401
0.935815,0.556026
0.935080,0.550529
0.934345,0.564457
0.933059,0.577383
0.933794,0.597415
0.933426,0.589913
0.940421,0.568048
0.934713,0.573249
0.935448,0.567538
0.933794,0.576193
0.934161,0.567522
0.939502,0.567886
0.930118,0.572007
0.930853,0.565713
0.930486,0.563961
0.929751,2.034631
0.920550,2.056856
0.920183,2.037867
0.928280,2.029011
0.929751,0.576866
0.931405,0.574740
0.930670,0.586726
0.929934,0.578729
0.929015,2.059332
0.929934,2.061089
0.930853,2.015690
0.931589,2.013816
0.930670,2.011444
0.928464,2.029111
0.921286,2.039756
0.928096,2.065561
0.920550,2.050478
0.921102,2.065636
0.920734,2.043616
0.919815,2.026108
0.919999,2.035195
0.921286,2.015545
0.929199,2.023394
0.930118,2.045647
0.930486,2.050108
0.931405,2.045811
0.933610,0.572477
0.936550,0.571622
0.937286,0.583342
0.935080,2.171029
0.929199,0.859035
0.918170,0.643451
1.095716,2.032346
2.767783,1.770226
3.441102,1.699625
3.313759,1.554602
3.987793,1.864572
4.436559,2.040432
4.740309,0.474027
3.284339,1.792929
