pt1_dltres,pt2_dltres
9.584010,9.404258
10.586507,7.853576
9.932802,6.856370
1.242177,8.882703
1.735634,8.857935
1.177332,9.096747
1.539231,8.984717
4.792848,8.612082
2.232477,8.455615
1.607680,8.540631
0.461710,8.480092
0.293333,7.614093
0.004715,8.087200
0.451384,8.801166
1.365931,8.884219
2.198255,6.329535
2.420058,9.017412
1.820203,8.833317
1.219427,8.624634
0.352737,8.456173
0.549437,7.798792
0.954502,9.433805
1.698068,8.012857
2.926461,8.159607
0.114009,8.288414
2.009380,8.730202
1.932261,8.880263
2.813966,9.263677
0.411907,9.701758
0.815760,8.769237
0.861050,8.325136
3.001459,16.935651
0.348112,27.417046
1.418417,11.016067
0.688193,14.569272
1.514089,12.416681
1.151026,9.664621
0.806448,7.555502
0.482363,9.919052
0.136180,9.171763
0.072346,10.693559
0.139673,12.485389
0.459376,13.050623
0.522505,12.799178
0.944035,12.618997
1.417262,10.134685
1.229725,15.236101
0.669761,14.294162
0.406368,14.654776
0.141784,13.277833
0.283479,14.811919
0.391894,13.395790
0.607714,15.736074
0.716832,18.085636
0.877700,18.836467
0.752773,18.977087
0.289513,18.033119
0.345551,19.439745
0.779793,18.472208
1.150921,18.381149
1.066098,17.753112
0.278693,17.872932
0.535687,17.904077
0.532876,17.514815
0.283947,19.049778
0.033814,18.318840
0.084772,18.325908
0.236390,18.170422
0.766222,18.936790
0.872840,18.645476
0.813064,18.640959
0.876953,18.219182
0.874436,18.199851
0.878013,18.875845
0.717113,18.831564
0.435818,19.729838
2.123220,20.904453
0.098745,20.464543
0.862180,20.443893
0.990882,20.193720
0.954944,22.453127
0.982994,23.016750
0.985693,22.054106
0.956145,19.902795
1.062323,17.578377
0.985594,19.098957
0.948071,20.297982
0.841876,19.614124
0.869767,19.554278
0.698273,20.329653
0.262638,20.204096
0.392240,23.901924
0.350215,21.638621
0.332622,20.194504
0.319805,20.469800
0.352104,20.900024
0.293278,19.733683
0.284689,19.683591
0.231768,19.706293
0.368505,19.694328
0.550947,19.749436
0.343722,20.245118
0.237911,20.735559
0.237498,20.757088
0.184599,20.135405
0.182878,20.891286
0.210378,20.541475
0.158179,20.554523
0.184179,18.683723
0.132621,18.740235
0.253667,18.719414
0.291436,18.593010
0.132629,18.543965
0.197036,18.238769
0.356737,18.243255
0.314151,18.189944
0.150502,18.769779
0.139647,18.266979
0.097555,18.519717
0.152251,18.408915
0.190716,19.911935
0.378706,18.325358
1.425590,18.005393
0.237754,16.555373
3.238219,17.437385
0.988211,17.897194
0.540960,18.513887
0.543937,18.665881
0.638984,18.715311
0.450412,20.477140
0.981698,18.649282
0.964122,18.329520
0.960727,16.684515
0.902392,17.433383
0.993858,16.941870
0.830175,16.921282
0.252321,15.371868
0.359397,15.786248
0.516762,16.507121
0.494971,16.730802
0.556689,16.761896
0.612274,17.686745
0.908462,17.653421
1.404590,14.671663
2.088531,12.250691
2.667377,16.627395
2.986017,15.273338
0.290051,15.502535
1.094981,14.033151
1.669071,11.956231
2.290527,12.238217
2.714015,12.809299
2.865400,13.093913
2.794069,13.941910
2.824530,13.530730
0.535365,11.375602
0.298254,12.711257
1.361716,12.141971
0.334182,11.379823
0.118761,12.446471
0.239853,12.488663
0.104950,12.430017
0.584938,12.382072
0.133819,11.589567
1.991376,11.371672
2.801724,10.469071
3.421431,11.564438
1.848044,10.812167
1.555655,10.301562
1.727584,9.970294
1.954949,10.181375
2.051204,10.122736
2.127096,10.493760
2.172202,10.669258
2.574004,10.569793
2.971558,11.180429
2.413702,11.266463
2.248039,11.566411
2.177967,11.409426
2.230228,11.995138
2.549581,13.568726
2.867242,12.785118
3.581033,11.568463
3.218022,11.850426
0.727601,11.710025
0.167946,13.417253
0.748402,13.031586
1.176660,13.023188
1.871101,12.847234
2.988353,12.976033
5.515495,12.922262
1.554086,12.708540
0.241199,12.270938
1.424279,12.092531
2.780163,13.133551
1.447296,12.839603
0.121409,13.345671
1.156312,13.566039
2.022006,14.069227
0.377563,14.052487
0.770136,13.827415
2.131363,13.571772
0.314797,13.281745
2.372362,14.660125
8.484899,13.647472
16.775482,13.862654
15.690046,13.876536
16.433830,14.002684
13.887465,13.773818
21.698785,13.678075
9.103882,12.922342
4.891617,12.630087
0.948653,12.026691
0.900302,17.118541
1.388179,17.197457
1.174490,17.965391
0.939284,18.510748
0.984380,19.237959
0.065539,19.760315
0.037280,19.908990
0.246365,21.382646
0.440701,19.720180
0.410526,21.278717
0.554122,20.256423
0.265376,18.068819
0.014188,17.427062
0.106303,17.854994
0.096786,16.566103
0.319440,13.602546
1.174197,14.353955
0.731929,14.632067
1.000704,15.027516
1.192314,14.859306
1.091036,14.043189
1.178034,14.369461
1.015237,13.792407
1.001633,13.707604
0.982198,14.545484
0.909254,14.109559
1.042702,14.174656
1.037829,15.457446
1.044713,14.883129
0.900738,15.663294
0.565155,15.125760
0.503298,15.362604
0.429955,15.097538
0.421048,14.652005
0.373554,14.767905
0.528065,16.036706
0.518740,16.376465
0.549654,14.632268
0.472813,15.647545
0.503084,15.739965
0.650118,14.804153
0.580613,15.323782
0.803591,15.362499
0.528719,15.249253
0.177558,15.876030
0.025171,15.895717
0.125750,15.624361
0.242219,15.447314
0.371148,15.642627
0.618219,14.794820
0.604040,15.282439
0.660693,15.080648
0.684161,15.250236
0.661416,14.509945
0.592907,15.295373
0.348288,15.605750
0.331229,15.361503
0.078388,15.100227
0.213043,15.041650
0.130345,14.875349
0.047073,15.221241
0.127004,15.144062
0.214164,15.172717
0.205520,15.380706
0.195359,14.962541
0.145855,15.149671
0.185925,14.630504
0.422460,14.653865
0.519059,14.734383
0.174980,14.876216
0.197762,15.020345
0.473285,15.170695
0.496852,15.093234
0.272821,15.266949
0.340921,15.193465
0.237024,15.257854
0.376792,15.193465
0.383504,15.290753
0.404348,15.163767
0.388461,14.869847
0.344679,14.946007
0.346308,14.736618
0.380306,14.172301
0.495936,15.093659
0.590913,14.841962
0.474067,14.546740
0.431867,16.029354
0.380731,15.029167
0.523127,14.784683
0.673637,15.019779
0.092561,15.087486
0.295040,15.097499
1.013929,14.060683
1.756813,15.370777
2.512220,14.646864
0.465392,14.561891
0.564186,14.746514
1.465959,14.756439
1.117158,14.537819
2.840814,14.569744
2.486137,14.604065
2.816858,14.530513
3.842261,14.558111
1.235192,14.630612
1.333367,14.480640
1.221690,14.234135
0.785394,15.166668
0.384947,14.976887
1.577718,14.802378
2.229778,15.130854
2.799306,15.073548
1.158431,15.346090
0.121621,14.779591
0.662882,14.899484
1.289265,14.892763
1.078885,14.793384
3.005906,14.866587
1.375473,14.224961
0.326509,14.144351
0.361835,14.439774
1.196752,14.447543
2.003431,14.411819
2.648907,14.541951
1.328848,14.583364
3.300414,14.718840
0.191978,14.675000
1.658986,14.638929
0.085156,14.538831
0.991136,14.633932
2.266774,14.111881
0.954371,13.167401
2.616573,13.970052
0.571035,14.787324
2.553381,15.003565
2.457184,14.832319
0.837950,15.015527
6.079339,15.382494
3.268316,14.472977
2.134019,13.559014
1.106037,14.162596
0.355715,14.643516
0.544468,15.153304
1.183282,14.822011
2.035550,15.130536
2.820126,15.058714
0.617286,15.271773
0.659506,14.758983
1.006447,14.671984
1.091176,13.789679
0.895706,13.581306
1.724308,13.741120
1.954897,15.112936
1.972949,13.546639
2.050267,13.596999
1.979709,13.938920
2.000470,13.987462
2.011410,14.031292
2.029540,13.960834
2.094132,14.102426
2.109799,14.158388
2.085244,14.054459
2.044863,15.430502
2.042806,14.343757
2.014112,14.246272
1.852738,14.179515
1.802804,15.062197
1.597060,15.051899
1.595586,13.904808
1.478132,13.833998
1.325196,13.829887
1.301527,14.253248
1.337838,13.863390
1.397183,13.795635
1.393105,14.436081
1.509823,12.599053
1.405932,13.733766
1.359622,13.366989
1.369919,14.541250
1.462160,14.391932
0.905602,14.012757
1.339319,13.984440
1.374882,14.293996
1.104645,14.338342
1.050305,14.293986
0.905242,14.330006
1.103947,15.101650
1.093203,14.318108
0.950313,14.783482
0.839159,14.998677
0.789696,14.685451
0.836926,13.924861
0.936904,14.889034
1.092770,14.467950
0.886841,14.627886
0.801342,14.691251
0.916545,14.468723
0.815163,14.326143
0.973041,14.367220
0.918549,14.400601
0.890156,13.903676
1.060310,13.977148
0.875422,16.447398
1.116215,14.450829
0.919944,14.427566
1.175596,14.740129
1.108380,14.711470
1.057369,14.773824
0.792528,14.795403
0.890285,14.810584
0.986564,14.902960
0.881722,15.334841
0.810321,14.947875
1.070901,15.166870
0.981685,14.280510
0.669253,15.247558
0.102402,15.165121
0.410695,16.605973
0.098750,15.710981
0.041606,13.515376
0.349357,13.871139
0.327756,13.647682
0.287953,12.884174
0.242270,13.424597
0.375405,15.238509
0.432324,15.086066
0.403392,15.060548
0.364957,15.186134
0.346872,15.196141
0.405657,13.597469
0.355735,12.467464
0.352355,14.522540
0.284821,13.939534
0.319617,14.377623
0.292961,15.942889
0.235195,15.781635
0.172687,16.320867
0.353940,16.335121
0.367087,15.265633
0.383999,14.042768
0.397498,14.153753
0.388749,13.566219
0.328406,13.493770
0.371687,14.320406
0.384985,13.873933
0.393640,13.722603
0.375562,13.830118
0.401447,13.873596
0.331372,13.750914
0.384163,13.932479
0.299540,14.010239
0.316855,13.496914
0.337979,13.503991
0.406834,13.859524
0.461523,14.002172
0.218910,13.276831
0.369864,13.225276
0.423726,13.287534
0.346405,13.658434
0.291510,14.734161
0.220814,14.730876
0.284610,14.350596
0.227355,14.422730
0.106105,14.427622
0.124098,14.305940
0.113961,14.398971
0.285883,14.417697
0.405986,14.125943
0.435788,14.152486
0.201734,14.202376
0.284634,14.318340
0.249537,14.877625
0.202471,14.713093
0.146643,14.413073
0.359281,14.125731
0.187135,14.319586
0.213159,14.274392
0.259305,14.325298
0.279608,13.701110
0.252016,13.771676
0.294729,13.727863
0.271395,13.792033
0.237989,13.487481
0.240345,13.532629
0.233469,13.373670
0.287557,14.438845
0.279575,14.394019
0.298065,13.766586
0.303601,13.409914
