pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
743.315884,297.684116,472.990975,350.824910,635.190132,277.504212,366.643402,341.507822,NaN,NaN,NaN,NaN
741.880000,298.060000,472.700000,350.500000,633.649819,275.963899,360.482150,339.454071,NaN,NaN,NaN,NaN
742.080000,297.880000,472.810000,350.550000,633.649819,275.963899,358.428400,338.427196,NaN,NaN,NaN,NaN
741.100000,297.880000,472.260000,350.090000,633.180000,276.970000,357.310000,337.610000,NaN,NaN,NaN,NaN
741.160000,297.710000,472.450000,349.710000,633.080000,275.760000,356.970000,337.610000,NaN,NaN,NaN,NaN
747.632972,297.528279,472.470000,349.270000,633.120000,276.160000,357.760000,337.190000,NaN,NaN,NaN,NaN
746.440000,296.990000,472.850000,350.130000,633.240000,275.330000,358.428400,337.400321,NaN,NaN,NaN,NaN
746.060000,296.980000,472.770000,351.410000,633.050000,278.460000,359.050000,338.370000,NaN,NaN,NaN,NaN
743.920000,297.020000,472.060000,352.580000,633.090000,279.680000,359.830000,339.290000,NaN,NaN,NaN,NaN
743.620000,297.080000,472.990975,350.824910,632.800000,281.680000,360.120000,340.100000,NaN,NaN,NaN,NaN
742.540000,297.030000,472.640000,351.370000,632.740000,282.110000,360.600000,341.140000,NaN,NaN,NaN,NaN
742.150000,296.970000,473.390000,352.180000,633.649819,282.125150,360.990000,343.540000,NaN,NaN,NaN,NaN
741.770000,297.070000,475.301444,350.824910,634.280000,284.590000,361.180000,346.620000,NaN,NaN,NaN,NaN
739.990000,296.990000,476.519053,348.695949,633.649819,279.044525,362.535901,350.749699,NaN,NaN,NaN,NaN
740.050000,296.980000,471.384677,349.722824,633.649819,283.665463,362.535901,350.749699,NaN,NaN,NaN,NaN
738.930000,297.040000,469.000000,350.420000,633.880000,284.700000,364.589651,348.695949,NaN,NaN,NaN,NaN
739.010000,297.030000,469.060000,351.010000,633.990000,285.470000,365.616526,347.669073,NaN,NaN,NaN,NaN
737.840000,297.040000,469.190000,352.220000,632.860000,285.550000,367.020000,347.080000,NaN,NaN,NaN,NaN
737.390000,296.980000,473.438428,349.722824,632.580000,286.110000,367.670277,347.669073,NaN,NaN,NaN,NaN
734.680000,297.040000,473.438428,349.722824,632.650000,286.820000,368.270000,348.590000,NaN,NaN,NaN,NaN
733.270000,297.050000,473.010000,349.630000,632.860000,287.240000,368.710000,348.890000,NaN,NaN,NaN,NaN
733.720000,297.070000,472.890000,349.400000,632.540000,287.490000,368.360000,348.590000,NaN,NaN,NaN,NaN
734.900000,297.070000,473.040000,349.120000,632.050000,287.280000,367.750000,347.900000,NaN,NaN,NaN,NaN
735.090000,297.030000,473.080000,349.100000,631.290000,285.990000,366.900000,346.810000,NaN,NaN,NaN,NaN
735.950000,297.060000,473.540000,349.040000,631.300000,285.520000,367.290000,346.470000,NaN,NaN,NaN,NaN
735.840000,297.060000,473.460000,348.970000,631.250000,285.090000,367.200000,346.280000,NaN,NaN,NaN,NaN
735.820000,297.070000,473.270000,349.070000,631.980000,285.200000,367.630000,346.560000,NaN,NaN,NaN,NaN
734.700000,297.070000,472.980000,349.160000,632.120000,284.980000,367.460000,346.750000,NaN,NaN,NaN,NaN
733.020000,297.090000,472.850000,349.350000,631.770000,285.340000,365.616526,363.072202,NaN,NaN,NaN,NaN
731.530000,297.050000,467.277176,352.803450,631.130000,285.980000,370.750903,349.722824,NaN,NaN,NaN,NaN
