pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z
30.102298,-16.670547,1.800650,7.156384,-19.782474,-1.409212,NaN,NaN,NaN
29.945658,-16.794876,1.544743,6.232792,-19.661381,-0.606904,NaN,NaN,NaN
29.974879,-16.793736,1.575959,5.975350,-19.563215,-0.256456,NaN,NaN,NaN
29.821131,-16.886133,1.478784,5.803745,-19.502011,-0.197975,NaN,NaN,NaN
29.848136,-16.947780,1.480732,5.740262,-19.573926,-0.103985,NaN,NaN,NaN
30.407203,-16.324492,2.817145,5.846094,-19.654153,-0.225637,NaN,NaN,NaN
30.346707,-16.447186,2.516969,5.931936,-19.750959,-0.271392,NaN,NaN,NaN
30.304614,-16.358347,2.415623,6.025288,-19.492258,-0.590929,NaN,NaN,NaN
30.032139,-16.398873,2.058038,6.139393,-19.379995,-0.794066,NaN,NaN,NaN
30.122336,-16.684800,1.895155,6.171007,-19.203216,-1.020318,NaN,NaN,NaN
29.985059,-16.715564,1.718789,6.230977,-19.122259,-1.160160,NaN,NaN,NaN
30.045403,-16.758010,1.498516,6.362022,-18.839504,-1.121069,NaN,NaN,NaN
30.252658,-17.108326,1.147651,6.468770,-18.309458,-1.248525,NaN,NaN,NaN
30.250344,-17.624845,0.656493,6.530434,-18.536145,-1.424609,NaN,NaN,NaN
29.611378,-17.013712,1.465672,6.577108,-18.176882,-1.657855,NaN,NaN,NaN
29.216871,-16.824826,1.597994,6.863081,-18.467137,-1.923273,NaN,NaN,NaN
29.231588,-16.766943,1.587865,7.008248,-18.593246,-2.069746,NaN,NaN,NaN
29.147881,-16.786296,1.293833,7.085347,-18.889036,-2.490792,NaN,NaN,NaN
29.640238,-17.495762,0.595438,7.148547,-18.878941,-2.691933,NaN,NaN,NaN
29.408005,-17.775168,0.042935,7.237900,-18.786106,-2.835828,NaN,NaN,NaN
29.233070,-17.888486,-0.171374,7.316013,-18.746277,-2.894509,NaN,NaN,NaN
29.256645,-17.849937,-0.055270,7.246340,-18.753673,-2.904961,NaN,NaN,NaN
29.376667,-17.767926,0.167766,7.124161,-18.825922,-2.872280,NaN,NaN,NaN
29.397597,-17.756945,0.202553,6.936943,-19.023751,-2.786950,NaN,NaN,NaN
29.529606,-17.715771,0.302886,6.981714,-19.129174,-2.811565,NaN,NaN,NaN
29.510047,-17.726059,0.295535,6.961526,-19.177027,-2.779571,NaN,NaN,NaN
29.484602,-17.699055,0.318599,7.080777,-19.111041,-2.720778,NaN,NaN,NaN
29.351966,-17.779124,0.135740,7.069647,-19.079813,-2.662140,NaN,NaN,NaN
29.191688,-17.922490,-0.190124,6.825505,-17.338219,-2.945108,NaN,NaN,NaN
28.364613,-17.200901,0.306093,7.409007,-19.129466,-3.505090,NaN,NaN,NaN
27.976545,-16.855618,0.226564,6.961861,-18.734029,-3.266957,NaN,NaN,NaN
28.177168,-17.323795,-0.174153,6.149246,-18.421174,-2.363976,NaN,NaN,NaN
28.262074,-18.126105,-0.786677,6.723948,-18.766492,-3.335884,NaN,NaN,NaN
27.416882,-17.080889,0.358203,6.821996,-18.543853,-3.995292,NaN,NaN,NaN
27.505221,-15.394345,0.025801,6.460073,-17.550001,-4.114795,NaN,NaN,NaN
28.217947,-14.329625,-0.465153,6.283483,-17.461586,-4.107268,NaN,NaN,NaN
28.920428,-12.412349,-0.723410,5.957696,-17.419401,-3.447486,NaN,NaN,NaN
28.405053,-14.674554,-0.940977,6.309355,-17.831499,-3.831705,NaN,NaN,NaN
27.972376,-16.347117,-0.322351,6.294446,-16.984694,-3.812830,NaN,NaN,NaN
27.909899,-15.285585,-0.640277,6.445575,-16.818193,-3.957545,NaN,NaN,NaN
27.855221,-14.343478,-0.781066,6.584964,-16.899250,-4.100285,NaN,NaN,NaN
27.369315,-15.717486,-0.788696,6.578470,-16.903209,-4.118141,NaN,NaN,NaN
27.292119,-16.128984,-0.556684,6.823474,-17.569300,-4.270219,NaN,NaN,NaN
27.206797,-16.171419,-0.674073,6.417749,-17.764154,-3.618995,NaN,NaN,NaN
27.002320,-17.091893,-0.771970,6.084002,-16.336394,-4.392595,NaN,NaN,NaN
26.802400,-18.240800,-0.831558,6.650323,-16.445987,-5.178557,NaN,NaN,NaN
27.774501,-15.839535,-0.833238,6.320955,-16.899385,-5.085564,NaN,NaN,NaN
28.079937,-13.305398,-0.847625,6.577073,-16.295713,-5.756961,NaN,NaN,NaN
28.866602,-11.418607,-1.528893,6.670394,-16.385795,-5.574512,NaN,NaN,NaN
28.482843,-14.054701,-1.924263,7.024698,-16.682306,-5.691162,NaN,NaN,NaN
27.943793,-17.070529,-1.899548,7.093445,-16.993695,-5.419053,NaN,NaN,NaN
28.485768,-15.550550,-2.647701,7.236522,-16.920270,-5.257022,NaN,NaN,NaN
28.854777,-14.496436,-2.876352,7.264240,-17.028896,-5.130049,NaN,NaN,NaN
29.173732,-13.141051,-2.790909,7.296336,-17.023091,-5.053726,NaN,NaN,NaN
29.193228,-11.344662,-2.549790,7.359130,-17.083259,-5.116847,NaN,NaN,NaN
28.723004,-14.770128,-2.057279,7.486157,-17.057414,-5.206191,NaN,NaN,NaN
28.238655,-17.835639,-2.102608,7.316998,-16.762003,-4.828580,NaN,NaN,NaN
