pt1_dltres,pt2_dltres,pt3_dltres
1.376193,4.568128,NaN
0.904023,3.849716,NaN
1.070522,2.993343,NaN
0.742762,1.634052,NaN
0.616616,2.483574,NaN
0.246370,1.958589,NaN
1.292009,2.746108,NaN
2.184320,1.213725,NaN
2.972694,1.028530,NaN
1.803077,0.179344,NaN
2.221100,0.627734,NaN
2.891007,2.289821,NaN
2.043870,2.654491,NaN
0.783148,9.621469,NaN
1.106009,6.300758,NaN
1.396039,4.274554,NaN
1.811272,3.079838,NaN
2.683169,2.743206,NaN
1.344034,2.805361,NaN
1.384361,2.978554,NaN
1.323976,2.912750,NaN
1.127918,2.507229,NaN
0.909950,2.145695,NaN
0.922206,2.270099,NaN
0.867735,2.398891,NaN
0.816777,2.569961,NaN
0.864698,2.698961,NaN
0.939117,2.973217,NaN
1.097478,13.941481,NaN
3.129824,4.590192,NaN
5.051866,4.340163,NaN
3.828023,1.099042,NaN
1.203957,4.389881,NaN
1.271654,2.355416,NaN
1.136489,8.385746,NaN
2.975171,7.853337,NaN
0.950816,3.955039,NaN
9.614863,2.905580,NaN
1.096746,7.097086,NaN
0.122405,9.912794,NaN
0.592076,9.930601,NaN
0.240683,9.897197,NaN
1.069953,7.864738,NaN
6.331457,5.596456,NaN
4.940140,3.654608,NaN
0.768074,1.483660,NaN
2.658553,5.041346,NaN
0.919066,9.002684,NaN
0.183639,5.708022,NaN
6.347478,2.714993,NaN
0.539951,0.234696,NaN
2.282944,0.226588,NaN
3.001596,0.007492,NaN
3.201020,0.755321,NaN
1.356741,1.368800,NaN
4.784079,1.575261,NaN
6.517507,1.683690,NaN
0.981286,1.109884,NaN
0.649842,1.143792,NaN
0.225415,2.197506,NaN
0.886283,2.590892,NaN
1.917210,1.957121,NaN
1.352770,1.549887,NaN
0.219189,0.513903,NaN
1.995564,1.416211,NaN
5.878737,2.178116,NaN
0.818171,1.703007,NaN
2.835634,1.617027,NaN
1.673249,1.790029,NaN
1.816467,1.651877,NaN
0.177484,1.760364,NaN
0.239578,1.662913,NaN
0.294624,0.508072,NaN
0.943632,0.682415,NaN
1.596874,1.034400,NaN
2.299516,1.012175,NaN
1.217345,0.261322,NaN
1.380365,0.133549,NaN
1.138690,1.585162,NaN
2.331792,0.594336,NaN
1.857080,0.287876,NaN
0.317938,0.716588,NaN
0.265490,0.244137,NaN
0.880502,0.142998,NaN
1.740529,0.119204,NaN
2.532750,0.537240,NaN
0.635537,1.218268,NaN
1.697286,1.235970,NaN
2.663136,1.200629,NaN
2.845431,1.481821,NaN
0.230684,1.456311,NaN
0.969804,1.034652,NaN
0.984851,0.637711,NaN
1.705520,0.167815,NaN
2.351544,0.313492,NaN
1.161433,0.721844,NaN
1.268686,0.207379,NaN
2.252922,0.122063,NaN
2.801875,0.202596,NaN
3.171176,0.480219,NaN
1.826644,0.522988,NaN
0.979940,1.137736,NaN
0.257108,2.102575,NaN
0.030897,2.586379,NaN
2.986279,2.961985,NaN
0.850678,2.660550,NaN
0.453614,2.481673,NaN
1.840084,2.262226,NaN
2.660633,2.186156,NaN
0.757608,2.479149,NaN
2.319020,2.983669,NaN
3.350114,2.330531,NaN
0.033164,2.374746,NaN
1.594002,0.537950,NaN
0.737638,1.019145,NaN
3.711104,0.157215,NaN
3.432977,0.801128,NaN
0.065876,0.535818,NaN
0.348111,0.483364,NaN
0.704233,0.146725,NaN
1.030087,0.312912,NaN
1.560179,0.480789,NaN
1.086129,0.877805,NaN
0.579076,0.815655,NaN
0.539006,0.927296,NaN
0.100157,1.619082,NaN
0.003218,1.591918,NaN
0.811541,1.576792,NaN
0.417636,1.527671,NaN
1.933824,1.073804,NaN
4.967866,2.469094,NaN
1.722943,0.846325,NaN
3.262915,1.610228,NaN
1.056340,0.752377,NaN
0.467887,1.925690,NaN
2.890584,0.355213,NaN
0.720753,2.132760,NaN
8.633438,0.135137,NaN
2.471557,0.425724,NaN
3.992547,0.177657,NaN
2.482373,0.579660,NaN
0.828052,0.587100,NaN
0.719428,0.594228,NaN
1.310161,0.389924,NaN
0.941150,1.313733,NaN
0.993086,1.491953,NaN
0.890710,1.135752,NaN
1.084706,2.350475,NaN
1.790085,0.743074,NaN
2.302195,0.513012,NaN
2.550086,1.284208,NaN
2.576442,1.261737,NaN
2.384188,1.268106,NaN
2.397344,1.179460,NaN
2.215114,1.438897,NaN
1.734485,0.678835,NaN
0.874063,0.972204,NaN
0.453633,4.201721,NaN
2.701623,1.851555,NaN
2.479128,15.689160,NaN
4.004351,20.179959,NaN
0.679168,5.433163,NaN
0.722776,2.374015,NaN
1.782808,4.378729,NaN
2.609436,0.748944,NaN
0.320384,0.514135,NaN
1.278498,0.041038,NaN
4.325115,3.875646,NaN
5.058260,3.946742,NaN
8.648960,3.359231,NaN
4.715360,2.805092,NaN
1.901843,1.975727,NaN
1.109407,1.588970,NaN
1.481128,1.134079,NaN
3.398836,0.698990,NaN
4.797892,2.275667,NaN
3.890635,0.263460,NaN
2.851194,1.285964,NaN
3.393410,2.276931,NaN
10.556678,1.796161,NaN
13.244389,3.228445,NaN
14.834203,6.495062,NaN
13.316872,3.183481,NaN
15.646728,8.188875,NaN
13.857389,6.644701,NaN
7.081231,6.954499,NaN
0.956433,4.682862,NaN
8.883724,3.549128,NaN
5.418509,9.078646,NaN
11.898703,11.139424,NaN
2.563745,6.939859,NaN
4.162744,2.986708,NaN
3.006545,1.799544,NaN
1.152318,0.904660,NaN
1.461626,1.428680,NaN
0.955993,2.422521,NaN
1.251010,0.521873,NaN
1.855113,0.157965,NaN
2.162683,0.708676,NaN
2.562281,1.127863,NaN
2.412477,1.297010,NaN
1.743686,1.962460,NaN
1.185949,1.343142,NaN
0.028265,2.505894,NaN
1.986175,4.215681,NaN
0.620255,1.312961,NaN
0.106990,0.571051,NaN
0.486786,0.925472,NaN
1.948328,1.599516,NaN
2.558386,3.376269,NaN
1.250767,3.721058,NaN
1.647853,0.839009,NaN
1.720891,1.246800,NaN
3.548782,0.645089,NaN
1.057947,1.769502,NaN
8.435410,1.825430,NaN
5.949792,0.648330,NaN
4.024465,8.496669,NaN
3.669933,13.739070,NaN
1.678602,0.697160,NaN
1.569093,4.562353,NaN
1.142270,4.831957,NaN
1.152368,6.829318,NaN
0.780399,1.789104,NaN
0.302424,5.171164,NaN
0.068490,3.458312,NaN
0.126957,7.399765,NaN
0.098756,7.953740,NaN
0.288130,2.527657,NaN
0.816319,1.214133,NaN
1.358666,0.449697,NaN
2.104120,1.410564,NaN
2.623185,2.546940,NaN
2.911533,6.283237,NaN
4.088095,5.043370,NaN
4.472945,5.380263,NaN
6.618858,6.123455,NaN
7.601615,7.706060,NaN
2.939160,9.173219,NaN
1.959613,2.417950,NaN
2.270607,4.718297,NaN
1.244561,9.301267,NaN
1.229374,0.600805,NaN
2.209229,1.378362,NaN
2.628133,9.459136,NaN
2.876261,11.042871,NaN
2.317026,0.887918,NaN
2.349913,2.729988,NaN
1.300127,2.509200,NaN
0.906398,4.703231,NaN
1.008640,5.533747,NaN
1.385890,7.883548,NaN
0.957044,4.290934,NaN
1.466108,0.939376,NaN
0.943151,2.439738,NaN
2.067628,3.924144,NaN
1.783204,1.441186,NaN
1.497760,2.630527,NaN
0.093112,3.526692,NaN
0.923023,6.662492,NaN
0.925637,5.025239,NaN
0.748662,7.878553,NaN
0.045354,3.411424,NaN
0.418557,4.735391,NaN
3.573444,1.990646,NaN
2.400069,3.710792,NaN
1.622361,3.411424,NaN
1.465379,2.036004,NaN
1.811218,2.638193,NaN
0.923409,2.760768,NaN
1.489637,2.793049,NaN
2.439716,6.838655,NaN
1.398551,5.773525,NaN
0.310685,10.919259,NaN
4.449305,4.332199,NaN
0.646579,2.823803,NaN
0.972731,0.697992,NaN
0.355676,2.669214,NaN
1.007311,1.418308,NaN
0.493629,0.675998,NaN
0.676372,3.365528,NaN
0.830251,2.215015,NaN
0.962396,2.801658,NaN
0.837877,4.255948,NaN
0.711279,2.932411,NaN
2.082035,5.125939,NaN
2.649029,7.177258,NaN
0.917679,1.881602,NaN
0.901981,1.461450,NaN
0.707926,3.801038,NaN
1.584196,2.509977,NaN
2.544010,0.483919,NaN
1.233757,0.678808,NaN
2.056658,0.575183,NaN
2.708978,2.843453,NaN
3.451147,0.968186,NaN
0.932063,1.538557,NaN
0.406706,2.211648,NaN
6.300322,2.978459,NaN
7.438909,3.049150,NaN
6.524732,3.734760,NaN
5.919176,2.328798,NaN
4.483757,2.821332,NaN
2.081614,3.832508,NaN
1.253605,3.286850,NaN
0.689479,1.234812,NaN
1.663980,1.470100,NaN
2.031745,2.186606,NaN
0.884190,4.058315,NaN
0.103665,0.173423,NaN
0.427707,0.981886,NaN
1.814896,1.052861,NaN
1.167645,2.619198,NaN
0.825263,0.271427,NaN
2.660938,3.452972,NaN
1.393455,1.295690,NaN
1.368383,2.718300,NaN
2.022224,1.364215,NaN
0.610279,0.634373,NaN
1.228667,0.397388,NaN
3.976198,0.467188,NaN
0.127233,0.420132,NaN
0.536900,0.473147,NaN
0.751234,0.583786,NaN
0.064350,0.722560,NaN
1.417495,0.828675,NaN
2.037381,2.706191,NaN
4.922764,3.487750,NaN
0.489001,4.242566,NaN
4.536917,5.665158,NaN
3.272791,6.155406,NaN
1.733693,7.411455,NaN
1.537933,0.758956,NaN
2.359693,3.511260,NaN
1.474786,1.032988,NaN
1.977664,3.014369,NaN
0.865850,1.412119,NaN
1.877161,1.097738,NaN
0.371654,0.814803,NaN
0.402143,1.365777,NaN
0.090703,3.486519,NaN
0.033351,2.678843,NaN
5.143954,2.585928,NaN
4.085290,1.889686,NaN
4.305264,1.292697,NaN
3.194949,0.959015,NaN
1.644258,0.926573,NaN
1.936320,0.876862,NaN
2.738159,0.829379,NaN
2.946286,0.682180,NaN
2.369767,0.600299,NaN
2.609597,0.655026,NaN
2.972947,0.689469,NaN
2.940770,0.863074,NaN
20.187368,0.163785,NaN
19.901564,3.170333,NaN
8.632621,1.482043,NaN
0.280922,0.784181,NaN
0.910963,0.886286,NaN
0.825557,1.973976,NaN
0.677890,2.311908,NaN
0.857190,0.389059,NaN
1.332544,0.582459,NaN
1.319661,1.306150,NaN
5.485314,1.616117,NaN
2.187660,1.699644,NaN
0.654490,2.312940,NaN
1.890823,2.893887,NaN
0.743832,2.021476,NaN
1.561677,1.345304,NaN
0.762596,0.804183,NaN
0.419361,2.076025,NaN
2.096894,0.597277,NaN
6.720381,2.430525,NaN
1.467743,1.371289,NaN
8.147137,0.666314,NaN
8.418427,0.592704,NaN
6.106723,0.686353,NaN
18.781059,1.220935,NaN
4.881989,0.736414,NaN
0.605745,0.513598,NaN
1.837356,0.467114,NaN
5.101311,0.795525,NaN
0.032932,1.472699,NaN
0.063321,1.958184,NaN
0.257551,1.694573,NaN
0.493241,2.019830,NaN
0.670459,5.281472,NaN
0.730420,12.034944,NaN
1.299478,8.496669,NaN
1.598999,5.106657,NaN
2.875633,8.531988,NaN
6.044371,5.739294,NaN
4.122759,1.731741,NaN
6.622190,0.865131,NaN
1.306737,0.951387,NaN
11.871279,0.593237,NaN
3.224716,0.464675,NaN
4.381044,3.864743,NaN
4.566408,2.669552,NaN
1.573686,1.623744,NaN
9.065248,1.575736,NaN
22.293472,2.848464,NaN
30.276825,3.300527,NaN
24.566752,3.735303,NaN
10.503401,4.149629,NaN
8.389193,0.049591,NaN
7.915752,0.990060,NaN
3.610205,0.237714,NaN
0.022312,3.502669,NaN
0.695978,1.769499,NaN
1.163921,1.443269,NaN
1.403554,1.835144,NaN
1.788443,0.156639,NaN
1.821602,0.182164,NaN
2.579662,0.303608,NaN
2.534280,0.555170,NaN
3.321621,0.764356,NaN
1.764515,1.149673,NaN
2.111848,1.156692,NaN
2.031787,0.750475,NaN
0.579642,0.429400,NaN
0.681963,0.220250,NaN
1.060598,0.182104,NaN
0.855027,0.423742,NaN
8.666807,0.056360,NaN
6.459352,0.499894,NaN
1.557815,1.088301,NaN
1.608895,1.505070,NaN
1.841915,0.707181,NaN
2.656382,0.627218,NaN
4.537433,0.424377,NaN
3.012530,2.381293,NaN
3.428702,1.551284,NaN
2.636237,3.709203,NaN
1.056588,2.438837,NaN
8.135055,1.806515,NaN
2.236715,1.429589,NaN
1.226686,1.054156,NaN
1.517007,0.759388,NaN
2.318451,0.712760,NaN
2.845521,0.058946,NaN
1.365652,0.099541,NaN
0.228094,0.193507,NaN
0.172110,2.129497,NaN
1.732763,2.981040,NaN
1.267639,1.586011,NaN
11.575396,0.380180,NaN
1.367771,2.619008,NaN
1.017161,0.683199,NaN
0.641379,0.221350,NaN
1.307645,1.760204,NaN
2.860396,1.274074,NaN
1.674751,2.886144,NaN
9.488074,2.387789,NaN
6.491825,2.687462,NaN
3.366303,0.117392,NaN
2.570920,4.301952,NaN
6.353711,3.993130,NaN
12.029854,2.955995,NaN
8.291578,1.647646,NaN
5.832076,0.597046,NaN
8.931581,3.255075,NaN
9.496422,1.643115,NaN
14.536130,2.949317,NaN
14.602993,0.383962,NaN
4.892098,5.305716,NaN
9.382868,8.465170,NaN
14.727083,10.329828,NaN
22.792350,15.194164,NaN
18.336225,10.936050,NaN
19.467442,3.510322,NaN
22.356879,2.577925,NaN
12.056341,0.831582,NaN
5.498970,0.482717,NaN
11.347767,0.151146,NaN
15.134051,3.201519,NaN
21.735116,1.951300,NaN
22.427166,4.358075,NaN
36.610422,2.968224,NaN
44.589052,2.471097,NaN
45.237384,2.262203,NaN
45.237384,0.723140,NaN
39.700735,1.580501,NaN
42.407646,5.867068,NaN
39.566081,1.160825,NaN
35.234069,0.965199,NaN
42.686751,0.099610,NaN
38.266018,0.306865,NaN
41.173150,0.827074,NaN
38.926605,5.705724,NaN
38.856367,0.564244,NaN
30.145282,0.236273,NaN
29.439909,0.092036,NaN
22.618841,5.044788,NaN
13.171500,0.108982,NaN
1.188490,9.126188,NaN
11.862131,9.003867,NaN
18.479504,4.615353,NaN
17.803398,22.212011,NaN
24.716526,NaN,NaN
