pt1_dltres,pt2_dltres
0.515639,0.457820
0.035713,0.184418
3.460619,0.247009
1.635783,2.558496
1.928409,1.625864
1.267248,4.075721
1.768559,5.176689
1.308348,4.958480
1.947103,6.034895
2.193781,7.872931
1.678201,6.031018
1.224898,6.353573
0.297212,8.183480
6.285748,5.334565
8.649285,3.531072
10.141898,3.332858
15.972066,4.377529
21.054112,7.610320
24.475042,7.744713
3.344302,5.601207
2.603244,4.030145
0.027866,5.271199
1.490083,6.600182
2.720542,6.276274
0.679832,7.219831
0.409102,7.313705
0.876169,8.136584
0.687631,7.088491
1.179131,7.342541
1.793340,7.180837
2.584221,9.834288
1.639349,6.086322
1.702186,10.280765
2.300029,11.687179
2.507106,4.834609
4.860216,4.499706
4.562152,2.522288
3.079185,5.524566
0.400483,7.623012
0.373225,9.442128
0.492259,4.162443
2.339951,4.343146
4.078457,3.285830
2.046784,10.061919
1.585862,9.330634
0.409002,9.202532
0.911595,11.012005
0.078510,11.207580
0.035930,10.509842
0.334680,8.860112
0.895077,8.678465
3.018406,8.608109
1.923821,10.214136
2.057358,11.798986
2.857994,13.418348
0.943939,12.075090
2.476383,11.413050
0.989203,11.513024
3.257884,7.935763
4.402475,4.036971
4.374050,2.554099
7.178145,0.292453
7.191234,2.137560
5.531907,3.516692
4.544066,4.205096
5.766946,6.903199
1.441153,5.642210
0.494514,6.589048
0.600859,8.970422
0.308289,6.808829
0.918247,7.169496
0.979379,6.688059
0.524867,4.099320
3.820494,11.300424
0.148750,2.377453
1.064775,0.743702
1.561932,0.300505
2.154962,1.359796
2.359986,1.995547
2.224879,2.479175
2.304565,2.811923
1.816131,0.950147
1.508525,1.729953
4.495688,0.040046
2.483629,1.276015
1.114881,0.743363
0.162463,2.171386
0.754708,4.452716
3.607794,1.531962
0.872152,1.279537
0.329242,0.170130
0.020619,0.157694
0.686495,1.109080
0.852155,4.764926
0.418885,0.984074
1.033590,1.051077
0.665464,2.442976
1.388488,1.517710
1.460496,1.666684
2.973361,1.894145
0.597848,1.743916
1.981735,5.461200
2.947028,3.107516
4.446935,6.071144
3.638602,10.373583
2.750696,10.561764
0.360467,3.503604
0.061533,0.407568
2.632115,0.097901
2.358674,0.362765
