pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
854.782190,198.910951,538.865624,235.657708,799.436110,115.300189,406.741008,161.722690
855.060000,198.990000,539.070000,236.000000,798.900000,114.950000,406.741008,161.722690
855.160000,199.010000,539.610000,236.000000,798.410000,117.010000,406.741008,161.722690
855.330000,199.020000,539.580000,236.010000,797.770000,116.990000,403.318091,165.830191
855.150000,199.020000,538.700000,236.010000,796.850000,117.000000,402.633507,166.514775
854.950000,199.010000,538.430000,236.010000,795.990000,117.000000,399.210590,167.883942
855.790000,197.040000,538.160000,234.050000,795.060000,117.010000,399.210590,167.883942
856.330000,195.010000,538.020000,232.040000,793.990000,117.010000,399.210590,167.883942
857.200000,192.970000,537.140000,230.010000,793.170000,115.000000,399.895173,163.091857
856.910000,192.990000,536.120000,228.000000,792.140000,113.020000,401.264340,161.722690
856.610000,193.000000,538.865624,228.127290,792.380000,111.000000,401.948924,161.722690
858.220000,191.000000,540.060000,227.980000,792.640000,111.000000,401.948924,161.722690
859.080000,190.970000,539.860000,227.960000,793.930000,110.990000,401.948924,161.722690
859.460000,190.960000,540.020000,227.970000,794.970000,113.000000,401.948924,161.722690
859.930000,190.980000,540.830000,227.950000,796.330000,113.020000,398.526006,163.776441
860.120000,190.980000,540.870000,227.950000,786.657218,118.951301,400.579757,163.776441
860.030000,190.990000,540.510000,227.960000,779.240000,121.010000,400.640000,163.990000
860.640000,191.020000,541.603958,228.811873,771.840000,125.010000,400.670000,163.980000
863.780000,189.010000,543.710000,229.000000,775.703882,129.904637,399.895173,171.991443
865.100000,187.000000,542.288541,227.442706,776.770000,132.070000,399.210590,176.783527
863.310000,186.980000,539.900000,226.910000,786.048699,122.602413,401.948924,175.414360
862.230000,186.990000,538.410000,226.920000,779.354994,120.168338,401.948924,175.414360
861.290000,186.990000,538.120000,225.060000,776.440000,118.040000,399.210590,172.676026
861.550000,185.030000,539.650000,223.020000,779.354994,117.125745,399.210590,170.622276
862.160000,183.000000,540.230000,220.960000,780.750000,114.990000,400.579757,169.937692
862.620000,181.000000,540.640000,220.940000,780.130000,112.980000,401.948924,169.253109
863.000000,178.990000,540.919374,217.173954,779.880000,110.980000,402.633507,167.199358
