pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
55.301858,-21.341506,-4.054398,45.942217,-16.786201,27.076655
55.093563,-21.358008,-4.289679,46.204440,-16.809814,27.605717
55.116656,-21.435076,-4.064459,46.269232,-16.965232,27.751569
55.137492,-21.465524,-3.970427,46.277919,-16.984837,27.562520
55.002649,-21.053399,-3.826801,46.384077,-16.717043,27.327541
54.691006,-20.471321,-3.355689,46.400360,-16.600115,27.156236
54.916798,-20.550435,-3.463790,46.476598,-16.684808,27.025535
54.962210,-20.534723,-3.206265,45.097955,-15.928654,28.929952
55.289912,-21.324032,-3.410303,44.818450,-16.737819,28.957812
55.773440,-22.205119,-3.488328,46.016728,-17.497181,28.736838
56.050520,-22.848046,-3.479888,46.056275,-17.889293,29.217407
56.340387,-22.956864,-3.273201,45.675561,-18.208234,30.461267
56.410427,-22.536463,-2.841431,45.679516,-19.022330,30.723457
56.330025,-22.028335,-2.455748,45.857406,-20.094518,30.620643
55.885962,-21.327562,-2.144477,45.778567,-20.540831,30.698773
55.930810,-21.249953,-2.030349,45.710487,-20.296531,30.657590
55.859943,-21.018875,-1.935080,45.508213,-20.228424,30.756715
55.888320,-20.911197,-1.893548,45.247990,-20.151606,30.545738
55.905391,-20.883196,-1.848027,44.640691,-19.382483,30.496925
55.929538,-20.725283,-1.951575,44.321999,-19.179962,30.071544
55.945733,-20.694617,-1.914209,44.317798,-18.714479,29.602214
55.913541,-20.749714,-1.996802,44.346542,-17.964608,27.228397
55.929929,-20.722266,-1.953902,44.149367,-17.229832,27.189274
55.940659,-20.705476,-1.924139,42.123240,-15.353347,26.566703
55.709978,-20.108081,-1.752228,41.242441,-14.753250,25.361024
55.364368,-19.246700,-1.194375,40.155051,-13.908219,24.601871
55.020827,-18.385841,-0.635986,38.545099,-13.773884,23.650953
54.222066,-16.857765,0.284454,36.233809,-12.798632,23.681668
53.766077,-16.560181,1.286299,35.998483,-12.832842,24.121263
53.654756,-16.714190,1.993501,36.104296,-12.379818,23.716839
53.727918,-16.981456,2.343396,35.638744,-12.719171,23.953112
53.675347,-17.089237,2.893066,34.943560,-13.144195,23.165609
53.671176,-17.191815,3.410172,34.261332,-13.428243,22.717424
53.748611,-17.409653,3.784615,33.600571,-13.492827,22.227985
53.920844,-17.667683,4.109777,32.713039,-12.246768,21.307307
54.075346,-17.698119,4.764778,32.113869,-12.201171,20.424571
53.955401,-17.430433,5.854468,31.710651,-11.926959,18.996859
54.215963,-17.582449,6.526288,31.284919,-12.306470,18.771861
54.201708,-17.581351,6.530102,30.829076,-12.323574,18.392464
54.078176,-17.718944,6.340243,30.603679,-12.522192,17.672924
53.710322,-17.492259,6.267517,30.321648,-12.584803,17.283700
52.945431,-16.453433,5.781524,29.901949,-12.384177,16.804110
52.461808,-16.155375,5.220853,29.660322,-12.056432,15.998817
52.236326,-15.369678,5.636450,29.342425,-12.027912,15.401745
51.985516,-15.068488,6.100289,29.016133,-12.530011,14.950293
51.994816,-15.096229,6.748097,28.735043,-12.993981,14.579733
51.964581,-14.898719,7.078043,28.408596,-13.070834,14.122414
51.606955,-14.838420,6.449241,26.540399,-11.243762,14.132860
50.324867,-14.481948,7.242686,25.670575,-12.945316,14.535377
49.757667,-14.050621,7.747884,25.764130,-12.951701,14.864837
50.025125,-14.323474,7.407404,25.731182,-12.619660,15.078865
50.192387,-14.353388,7.385897,25.706421,-12.582921,15.026921
50.395963,-14.229526,7.375207,25.771297,-12.531764,14.679859
50.565944,-13.879674,7.622489,25.459815,-12.973628,13.966299
50.477447,-13.251822,7.852186,25.689963,-12.441043,12.522665
50.468783,-12.673725,8.366108,25.636937,-11.733534,12.601478
50.118539,-13.097857,8.521891,25.438006,-11.811097,12.823359
50.492870,-13.978403,8.486279,25.394729,-11.918452,13.080985
50.747530,-14.742996,9.493163,25.931796,-12.660431,12.645951
50.698816,-15.067776,9.983445,25.901686,-12.930527,12.896926
50.646672,-15.497652,10.051647,26.091334,-12.611220,12.733876
50.688301,-15.699913,10.077978,25.946905,-12.516087,12.478716
50.409672,-16.527803,9.485580,26.446255,-12.733103,9.141954
50.468419,-16.811106,9.739319,26.729860,-12.520863,8.528980
50.550090,-16.272066,9.348956,26.294424,-11.999854,9.046629
49.034586,-12.872517,14.775292,25.152063,-11.441104,10.666259
48.558096,-13.240648,13.304982,25.021087,-11.428557,10.954159
48.558096,-13.240648,13.304982,24.995408,-11.142554,10.738574
48.605531,-12.871873,13.448118,25.005021,-11.097822,10.744418
48.578198,-12.966324,13.132662,24.308152,-12.367516,10.681584
48.607485,-12.883104,13.230467,23.854037,-13.255303,11.410260
49.120228,-13.242047,13.995419,24.148186,-12.781109,11.908074
49.099742,-13.884295,13.527282,24.321504,-12.655117,11.945916
48.902520,-14.182299,13.415580,24.406131,-12.654002,11.283088
49.100483,-13.927980,13.550448,24.289081,-12.738307,10.427980
48.388746,-13.996519,11.914242,24.147173,-12.711110,9.794105
48.486928,-12.826273,12.805259,23.606692,-12.201210,9.802760
48.188020,-12.251323,12.934807,23.490435,-12.240292,9.244757
48.447853,-12.933062,12.007865,23.055903,-12.360236,8.652260
48.692464,-13.186237,12.631413,22.889815,-11.749105,8.386637
47.317512,-11.744842,13.447995,22.516459,-11.789046,9.197805
46.961771,-11.970958,13.761202,22.176899,-11.824735,10.094651
47.006318,-12.204053,14.112594,22.483814,-11.747060,11.061491
47.043316,-12.271433,14.351939,22.564829,-12.111187,11.539741
47.440525,-12.980690,14.835352,23.193955,-12.682431,11.143665
47.518746,-12.985248,15.171518,23.518524,-12.939215,10.783304
47.739080,-13.180101,15.236721,23.741893,-13.353633,10.500645
47.664660,-12.374242,14.802763,23.416943,-13.479199,10.983374
48.019339,-12.977486,14.435037,22.934504,-12.488445,11.436913
47.777494,-12.557855,14.599860,22.879625,-12.455674,11.273813
48.009663,-12.435345,14.707685,22.889985,-12.297238,11.222669
48.010105,-12.443132,14.702880,22.908057,-12.274981,11.261223
