pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
859.110309,295.642198,625.335205,355.141463,837.597594,226.961149,504.106054,286.665937,841.394748,233.375249,578.387503,292.354008
859.030000,296.000000,625.610000,354.970000,839.876965,230.950049,509.975930,290.934938,841.400000,233.010000,581.893162,295.859668
852.949057,299.749699,624.650622,357.879797,840.040000,230.950000,510.290000,290.990000,842.817749,239.778750,583.207785,298.927120
850.800000,301.980000,618.489370,361.987298,840.446808,231.519891,510.509555,293.069438,842.400000,242.000000,584.522407,303.309194
846.850000,304.030000,618.850000,364.170000,838.167436,236.648477,513.711305,297.338439,841.020000,246.100000,584.522407,306.376646
844.140000,307.970000,618.489370,374.309801,837.800000,241.000000,514.980000,300.910000,840.260000,248.100000,584.084199,310.320513
835.492178,313.099077,609.589785,377.048135,838.167436,242.916748,507.841429,306.410066,838.340000,252.010000,582.331370,315.140795
830.850000,317.010000,603.428533,382.524803,836.457908,246.335805,504.106054,310.679066,836.580000,254.050000,578.825710,320.399284
829.330927,326.448456,602.430000,386.720000,835.888065,251.464390,503.572429,313.347192,830.010746,265.392755,573.129013,327.410604
830.357802,326.448456,612.328119,388.001471,856.972249,252.604075,517.980306,311.746317,837.125748,263.969755,582.331370,326.534189
839.599679,320.287204,619.858537,383.893970,860.391306,249.754861,530.253683,312.813567,842.817749,263.969755,584.960614,325.219566
841.653430,319.260329,621.227704,383.893970,865.519891,248.615176,530.253683,314.414442,847.086749,261.835254,589.342689,323.028529
836.519053,321.314079,617.120203,385.263137,867.229420,243.486590,533.989059,307.477316,849.932750,259.700754,593.724763,321.275699
833.580000,323.000000,612.328119,386.632304,869.508791,238.927848,537.724435,301.607440,848.509750,258.277754,592.848348,321.713907
830.220000,323.020000,612.328119,386.632304,870.240000,236.930000,546.262436,301.073815,849.050000,257.930000,592.848348,321.713907
833.438428,321.314079,616.435620,390.055221,878.626276,245.196119,554.040000,303.030000,847.086749,260.412254,593.724763,322.590322
833.438428,324.394705,617.804787,394.162722,884.440000,250.970000,553.199562,307.477316,845.320000,262.010000,593.286556,324.343151
834.465303,327.475331,617.804787,394.162722,886.604075,240.637376,555.334063,299.472940,844.420000,264.000000,593.286556,327.410604
839.599679,326.448456,626.019789,388.001471,889.453290,243.486590,562.804814,304.275565,849.932750,262.546754,598.983253,323.028529
844.734055,322.340955,636.973125,382.524803,891.162818,247.475490,562.804814,305.876441,851.355750,263.969755,603.730000,319.000000
847.630000,318.050000,636.973125,382.524803,893.442189,240.637376,562.804814,303.208315,852.067250,261.835254,608.930000,315.070000
848.870000,315.970000,641.080626,379.786469,894.390000,236.820000,567.073815,297.872064,852.640000,259.980000,612.567683,315.579003
850.770000,313.990000,649.295628,374.994384,890.592975,237.218320,567.607440,296.271189,853.380000,258.020000,614.460000,314.020000
852.490000,314.000000,647.926461,376.363551,888.310000,237.020000,564.405689,294.136689,852.067250,256.854753,611.253061,314.264380
851.922182,319.260329,641.765209,376.363551,885.600000,240.960000,556.401313,297.872064,849.932750,257.566253,607.309194,319.522870
852.360000,321.050000,636.973125,380.471052,884.324704,241.777062,549.920000,299.890000,849.980000,259.910000,605.118157,322.590322
853.150000,321.070000,632.865624,383.209386,883.500000,242.110000,552.132312,299.472940,849.880000,261.990000,603.803535,322.590322
854.240000,321.030000,636.973125,379.786469,879.765962,241.207219,550.531437,304.809190,852.778750,257.566253,603.803535,322.590322
855.120000,319.040000,645.188127,375.678968,879.765962,243.486590,550.531437,307.477316,854.740000,255.930000,606.870987,320.837492
856.160000,316.970000,645.872710,375.678968,879.170000,243.030000,550.531437,309.611816,854.201751,257.566253,609.500231,320.837492
857.100000,314.990000,647.190000,374.100000,878.780000,242.950000,548.930562,307.477316,853.780000,257.990000,609.500231,320.837492
857.190000,313.000000,649.295628,372.940634,878.520000,242.980000,551.065062,305.876441,852.930000,258.070000,609.500231,320.837492
856.690000,315.000000,647.090000,372.940000,880.905647,242.346905,555.334063,303.208315,852.090000,258.010000,609.938439,320.399284
856.040000,315.050000,647.450000,372.970000,884.324704,238.927848,560.136689,300.006565,854.913251,257.566253,610.814854,317.331832
855.210000,314.980000,651.349378,370.886883,889.453290,241.207219,566.006565,295.737564,856.336251,256.854753,613.882306,315.579003
853.970000,314.980000,652.718545,370.886883,891.732661,241.207219,567.607440,295.737564,856.770000,255.060000,617.387965,313.826173
852.420000,316.970000,650.664795,374.309801,889.453290,238.358005,566.950000,294.000000,855.930000,254.920000,616.073343,315.140795
850.860000,318.990000,649.080000,376.090000,887.860000,237.960000,566.710000,293.900000,854.900000,254.930000,615.196928,316.017210
