pt1_dltres,pt2_dltres,pt3_dltres
4.754877,9.260600,9.205166
5.937529,10.660987,9.312850
1.708859,8.910934,11.402550
7.301568,11.502069,8.787180
5.784693,11.483022,7.221823
6.144704,8.954206,6.668755
6.231699,8.807878,6.449169
5.177162,8.996596,1.380908
2.971231,8.257225,7.931830
3.036787,9.070696,5.902139
3.706605,9.012800,10.140005
3.740271,8.985753,11.251394
2.050459,7.542899,9.725983
2.089147,10.297944,12.212221
0.550140,9.145187,12.219799
2.152916,8.560812,12.242105
4.061200,9.104986,10.799994
4.327718,6.898035,12.281927
2.820944,5.339800,11.259315
6.714419,4.039731,7.152393
4.713529,5.203752,10.747245
5.240076,6.025587,12.636230
4.373122,7.352947,13.692453
3.810951,8.361054,11.470622
3.751247,8.735032,12.944802
5.351349,4.487948,12.983804
7.744059,8.526589,12.969649
6.278232,11.201599,12.610797
6.147387,10.124150,6.904587
5.608240,9.543343,6.904587
7.406959,8.969013,6.370978
5.514109,10.456312,7.978177
6.198533,9.689197,7.978177
6.552601,11.186300,6.108028
5.913630,5.182129,6.045163
5.610228,6.398530,6.040733
5.581552,8.944231,7.663765
6.666256,10.550581,9.114005
6.987814,9.212303,10.594515
8.935227,8.765177,9.267677
8.908673,9.111186,10.705444
7.389457,9.087518,6.147688
8.306948,9.413108,6.989814
10.432427,8.427771,7.029351
9.779431,8.488373,7.124071
8.400035,6.777119,7.542392
9.123987,6.862600,9.515356
8.074820,9.852720,8.905226
9.604118,10.994981,8.905226
10.441092,9.917264,9.504857
8.856123,10.811357,10.620338
9.411357,6.786869,10.583970
4.222860,7.795635,8.848249
4.897796,4.458737,7.676672
4.570468,6.345462,8.614721
5.965562,6.424905,9.312521
6.757277,17.196309,11.006209
7.281732,10.810215,11.052725
7.257085,11.426972,10.021664
4.517904,12.878996,9.420364
6.006098,11.753033,6.235394
6.765580,12.076030,8.113371
6.670090,8.906847,12.967229
6.021429,11.699741,4.522588
3.486252,11.738111,5.048875
5.795052,4.949443,1.952237
6.320068,8.578996,1.968638
7.433044,5.169671,3.147738
4.516698,6.903082,8.973487
9.034145,5.953892,8.973487
7.960544,5.121034,8.980674
8.902705,5.365686,8.918729
8.359530,6.447799,8.907435
8.088428,6.545642,8.962039
8.214306,6.004812,7.475060
10.147322,5.016893,6.284343
8.721257,5.853090,7.056932
