pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z
26.438506,-14.916331,-12.078298,6.292248,-14.287950,9.115745,16.949831,-19.399776,0.721840
26.517548,-14.858274,-12.100262,6.290355,-14.309889,9.004979,16.994215,-19.487177,0.560266
26.326601,-14.847662,-11.705904,6.219694,-14.330442,8.958012,17.056526,-19.548206,0.473964
26.605035,-15.113928,-11.897034,6.235836,-14.227023,8.732578,17.061361,-19.553659,0.466210
26.362353,-14.907348,-11.598493,6.001952,-14.364484,8.859704,16.782445,-19.581571,0.752152
26.316357,-14.628784,-11.594104,5.851173,-14.288887,8.942174,16.635507,-19.661062,0.958702
25.934851,-14.628494,-11.046416,5.677676,-14.131876,8.785496,16.464979,-19.699139,0.897020
25.846472,-14.591654,-11.026128,5.419885,-14.114328,8.783628,16.249574,-19.681981,0.886378
25.636901,-14.470422,-10.852643,4.983030,-13.994586,8.566702,15.965674,-19.593068,0.962040
25.415915,-14.344289,-10.695968,4.636865,-14.008653,8.483316,15.720433,-19.537293,1.005916
25.440923,-14.354463,-10.712169,4.449207,-13.585390,8.039781,15.561232,-19.591541,0.908192
25.432706,-14.341718,-10.692820,4.346105,-13.448350,7.874630,15.364990,-19.684480,0.722384
25.355260,-14.242902,-10.547345,4.104923,-13.468288,7.640860,15.265203,-19.684301,0.324472
25.448054,-14.368148,-10.363220,3.959576,-13.233544,7.285498,15.090792,-19.681684,-0.032119
25.587874,-14.578695,-10.296707,3.836341,-12.714845,6.991462,14.965607,-19.600103,-0.264078
25.346029,-14.546540,-10.278766,3.679893,-12.481348,6.603330,14.829424,-19.434502,-0.774377
25.413445,-14.696987,-10.514696,3.281452,-11.791043,6.361285,14.797734,-19.349353,-1.378099
25.358022,-14.635904,-10.430724,3.108451,-11.338171,5.959481,14.661230,-19.149150,-1.815841
25.346061,-14.801018,-10.701585,2.971026,-10.916171,5.727973,15.064402,-18.385580,-1.077829
25.797237,-15.047831,-11.544431,2.888378,-10.622278,5.442935,14.959885,-18.066244,-1.312804
25.962245,-13.874309,-10.580196,2.678728,-10.398743,5.036536,14.540164,-17.448033,-1.687924
25.930171,-12.891115,-11.097425,1.690604,-10.074205,4.892059,13.889917,-16.853766,-1.962797
25.617438,-12.528487,-10.821364,1.101684,-10.825734,2.978974,13.444310,-16.455966,-2.125682
25.241072,-12.481151,-10.283333,0.838192,-11.398126,2.436422,13.953875,-16.964316,-2.266736
25.249252,-12.651353,-10.202070,1.063366,-11.596708,2.519266,14.263939,-17.176670,-2.200779
25.514956,-13.279453,-10.443190,1.801034,-11.253143,2.817181,14.552018,-17.222901,-2.239546
25.092958,-13.432910,-9.994580,2.713853,-11.613731,2.795168,14.577094,-17.250187,-1.935246
24.812531,-13.724694,-9.755100,2.710468,-11.804881,3.183140,14.405621,-17.404430,-1.468444
24.579605,-13.696875,-9.380727,2.723262,-11.746196,2.886045,14.441450,-17.499983,-1.258366
25.320572,-13.437696,-10.544813,2.710581,-11.972273,2.551926,14.403570,-17.422085,-1.478373
25.055538,-12.452563,-11.036874,2.541006,-11.966784,1.827423,14.485654,-17.145515,-2.126891
24.890026,-12.418832,-11.766105,2.507546,-11.770642,1.392053,14.535050,-16.953090,-2.557270
25.142023,-12.504210,-11.906965,2.544618,-11.175169,0.861698,14.602116,-16.637550,-2.786203
25.427544,-12.584329,-11.994200,2.867061,-10.738567,0.013782,14.588412,-16.462414,-2.850821
25.332648,-12.681476,-12.150727,2.923309,-10.335939,-0.471129,14.514068,-16.129872,-3.061159
25.090531,-12.422908,-12.998441,2.572788,-9.962687,-0.098836,14.353750,-15.877122,-2.593420
24.255815,-12.052788,-14.112051,2.574091,-9.230958,-0.043712,14.072045,-15.625169,-3.088679
23.819800,-11.634925,-14.088316,2.435583,-9.187836,0.332551,13.975546,-15.494705,-3.251089
23.869427,-11.726512,-14.195397,2.616238,-8.858895,0.165139,14.139402,-15.434394,-3.143261
24.323247,-11.870815,-14.428783,2.839576,-8.316381,-0.022972,14.145839,-15.191365,-3.119345
24.045559,-11.921070,-14.541453,1.757575,-9.913393,-2.646566,14.049406,-15.192871,-3.155567
24.185001,-11.860720,-14.421744,1.666418,-10.031963,-2.470115,13.998337,-15.163435,-3.104042
