pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
380.185319,573.346570,219.033962,587.987298,348.352186,544.594063,167.352959,579.957407,NaN,NaN,NaN,NaN
380.760000,572.980000,218.420000,588.000000,347.650000,544.980000,166.640000,580.010000,NaN,NaN,NaN,NaN
381.020000,571.580000,218.030000,587.900000,346.670000,544.890000,166.130000,580.060000,NaN,NaN,NaN,NaN
381.450000,570.880000,217.180000,587.800000,345.430000,544.810000,164.630000,580.020000,NaN,NaN,NaN,NaN
381.770000,570.030000,216.980000,587.630000,344.050000,544.870000,164.090000,580.310000,NaN,NaN,NaN,NaN
382.010000,568.710000,215.430000,587.700000,342.190935,543.567188,161.267772,586.042593,NaN,NaN,NaN,NaN
382.890000,566.470000,213.970000,587.440000,331.922182,541.513438,161.267772,586.042593,NaN,NaN,NaN,NaN
383.490000,562.860000,215.611044,584.564380,332.949057,542.540313,158.833697,586.042593,NaN,NaN,NaN,NaN
383.650000,559.850000,213.557294,581.141463,329.868432,541.513438,158.833697,581.174444,NaN,NaN,NaN,NaN
383.540000,556.280000,208.765209,579.087712,328.510000,541.930000,157.190000,580.830000,NaN,NaN,NaN,NaN
379.158444,554.862816,205.940000,577.110000,326.810000,541.170000,155.182585,576.306295,NaN,NaN,NaN,NaN
376.550000,554.920000,206.711459,577.033962,326.040000,540.900000,150.314436,577.523332,NaN,NaN,NaN,NaN
375.970000,554.990000,205.740000,577.270000,326.090000,540.980000,146.663324,578.740369,NaN,NaN,NaN,NaN
376.020000,554.910000,204.950000,577.040000,325.980000,541.130000,146.663324,581.174444,NaN,NaN,NaN,NaN
374.024067,555.889691,203.930000,576.970000,323.810000,540.770000,145.820000,580.890000,NaN,NaN,NaN,NaN
374.150000,554.150000,203.050000,576.460000,322.260000,540.920000,145.130000,579.420000,NaN,NaN,NaN,NaN
374.370000,552.060000,202.060000,573.670000,321.290000,540.940000,144.990000,579.200000,NaN,NaN,NaN,NaN
374.920000,551.880000,201.060000,572.710000,320.626554,538.432812,144.660000,578.870000,NaN,NaN,NaN,NaN
374.270000,550.110000,200.040000,571.240000,320.850000,537.740000,144.140000,579.090000,NaN,NaN,NaN,NaN
374.730000,549.880000,195.758123,572.926461,320.350000,537.400000,145.446287,579.957407,NaN,NaN,NaN,NaN
373.930000,548.100000,194.370000,572.880000,317.770000,537.380000,144.730000,580.020000,NaN,NaN,NaN,NaN
374.180000,545.870000,192.335205,570.188127,315.930000,537.680000,144.100000,580.270000,NaN,NaN,NaN,NaN
371.980000,541.890000,188.980000,568.290000,313.260000,538.170000,145.446287,581.174444,NaN,NaN,NaN,NaN
364.782190,542.540313,185.489370,567.449793,308.120000,539.790000,144.229249,583.608519,NaN,NaN,NaN,NaN
363.770000,542.940000,182.240000,566.960000,306.980000,541.230000,143.700000,584.680000,NaN,NaN,NaN,NaN
362.130000,543.980000,184.120203,569.503543,306.940000,543.120000,142.850000,585.580000,NaN,NaN,NaN,NaN
360.130000,545.140000,182.751036,572.926461,303.700000,544.780000,141.880000,585.380000,NaN,NaN,NaN,NaN
359.690000,545.550000,182.470000,573.400000,309.330927,537.405937,141.180000,585.200000,NaN,NaN,NaN,NaN
359.120000,546.000000,182.370000,573.520000,308.304051,536.379061,144.229249,583.608519,NaN,NaN,NaN,NaN
356.567188,544.594063,182.300000,574.590000,307.277176,535.352186,140.578137,583.608519,NaN,NaN,NaN,NaN
356.950000,545.120000,182.751036,574.980211,310.357802,534.325311,140.578137,583.608519,NaN,NaN,NaN,NaN
358.010000,546.520000,184.230000,574.920000,312.411552,537.405937,140.578137,583.608519,NaN,NaN,NaN,NaN
358.020000,548.300000,185.190000,575.370000,312.411552,537.405937,140.990000,584.040000,NaN,NaN,NaN,NaN
357.930000,550.580000,183.435620,578.403129,312.411552,537.405937,140.578137,587.259631,NaN,NaN,NaN,NaN
357.850000,553.050000,186.173954,579.772296,313.438428,540.486562,143.012212,587.259631,NaN,NaN,NaN,NaN
363.755315,556.916566,188.227704,584.564380,312.411552,545.620939,143.012212,589.693705,NaN,NaN,NaN,NaN
364.710000,559.810000,186.858537,589.356465,310.357802,548.701564,140.578137,596.995929,NaN,NaN,NaN,NaN
363.755315,556.916566,183.174444,586.042593,308.304051,548.701564,143.012212,592.127780,NaN,NaN,NaN,NaN
361.430000,554.960000,183.174444,586.042593,305.890000,548.400000,143.012212,594.561855,NaN,NaN,NaN,NaN
361.380000,552.860000,175.872220,586.042593,304.196550,548.701564,142.830000,595.950000,NaN,NaN,NaN,NaN
357.594063,548.701564,173.438145,581.174444,303.169675,548.701564,143.012212,594.561855,NaN,NaN,NaN,NaN
355.250000,546.930000,169.680000,580.400000,299.062174,548.701564,140.578137,594.561855,NaN,NaN,NaN,NaN
354.513438,538.432812,173.438145,579.957407,297.008424,545.620939,139.361100,594.561855,NaN,NaN,NaN,NaN
353.486562,535.352186,172.221108,578.740369,295.981548,544.594063,136.927025,589.693705,NaN,NaN,NaN,NaN
