pt1_dltres,pt2_dltres
0.903534,0.332455
1.408260,0.275334
1.633790,0.176215
1.670209,0.292274
1.791501,0.271035
1.685244,0.318013
1.647364,0.300221
1.801965,0.288646
1.619656,0.314055
1.904490,0.243608
2.010302,0.277344
1.818615,0.308211
1.944538,0.286035
2.062513,0.325919
2.815380,0.247828
1.899921,0.293612
1.419879,0.341634
1.352932,0.326519
1.535759,0.300069
1.738775,0.333147
1.805150,0.329151
1.804003,0.339410
1.501722,0.349434
1.572327,0.318508
1.408977,0.383990
1.261127,0.281585
1.254294,0.277324
1.838170,0.310121
1.008731,0.271361
0.840785,0.337351
1.273279,0.285672
1.012864,0.393744
1.136306,0.347106
1.695889,0.372139
1.209859,0.435418
0.989250,0.420119
1.228049,0.440580
1.131589,0.475537
0.807076,0.619416
0.401903,0.518178
0.175244,0.533097
0.808747,0.606882
0.870596,0.650411
0.549003,0.616278
0.204859,0.659052
0.299549,0.628914
0.160477,0.557027
0.739469,0.201725
0.920108,0.610228
0.687350,1.022111
0.607111,0.928937
0.712816,0.854242
0.543469,0.193923
0.232598,0.617934
0.195780,1.338793
0.558325,0.189850
0.512211,0.574036
0.429873,0.679698
0.560750,0.365152
0.182829,0.168406
0.505159,0.817315
0.639507,0.071830
0.826438,0.053123
0.761347,1.044048
1.284483,1.527150
0.100474,1.531577
0.731345,1.282851
1.350248,0.882044
2.456955,2.182002
1.288773,2.597932
1.675537,2.367259
2.860355,0.672264
0.248003,1.358400
1.177441,1.502075
2.198723,1.945160
1.866086,3.574969
1.237201,2.428689
0.418308,2.734410
0.293172,2.597710
0.687889,2.643523
0.186199,2.463349
0.293002,2.997307
0.329132,2.894481
0.659139,2.826360
1.205232,2.706154
1.083337,2.655191
0.849266,2.572860
0.825748,2.696684
1.832976,2.611410
0.366743,1.940675
0.150693,2.063427
1.564903,2.067057
2.034061,1.186797
1.915803,1.179289
1.659326,1.384584
1.252353,1.558385
1.256280,2.120660
0.724162,2.163995
0.706612,2.062446
0.711529,1.093330
0.962228,1.948499
1.006382,2.281794
0.277429,1.940518
0.217121,1.900606
1.203056,1.933470
0.829797,1.374083
0.240793,1.096319
0.163236,1.321090
0.458491,1.481264
1.181338,1.259539
0.689900,1.377425
0.429129,1.550897
0.224424,1.719293
0.046193,1.986898
1.351471,1.806420
0.323528,2.441795
0.748342,2.738767
0.693554,2.515271
1.588098,2.372622
0.626420,1.972845
0.231542,1.689141
0.397533,1.938296
0.919587,1.775765
0.516762,1.965702
0.302361,1.229170
0.496495,0.627435
1.612468,0.032507
1.510784,0.068985
2.218504,0.563404
2.319252,1.169000
1.832240,1.157603
1.604657,1.395428
2.514828,1.972024
1.505214,0.554015
0.331227,0.330150
1.152081,0.647967
2.269369,0.414710
0.088845,0.437130
1.414292,0.429182
0.153212,0.453317
0.830826,0.369663
0.329905,0.074932
0.075889,0.493721
0.326864,0.882949
0.562723,0.748763
0.479532,0.642773
0.435111,0.574652
0.203674,0.331231
0.009760,0.250403
0.577536,0.343614
0.194716,0.497741
0.322646,0.233560
0.534848,0.394439
0.138815,0.457375
0.343896,0.078959
0.351996,0.028996
0.187824,0.490151
0.200179,0.727716
0.766983,0.812063
1.214335,0.952518
1.842646,0.438215
0.197769,0.218619
0.270599,1.679060
0.219879,1.754857
0.396205,0.362342
0.079083,0.008185
0.064842,0.043525
0.873431,0.137836
1.046287,0.428022
0.065981,0.521911
0.104388,0.784597
0.203488,0.342187
0.349474,0.260746
0.724931,0.170427
0.605480,0.161351
0.248484,0.334953
0.109570,0.265349
0.645953,0.160512
0.332993,0.222375
0.083733,0.438645
0.349399,0.553743
0.527469,0.184772
0.077961,0.147204
0.509288,0.106654
0.155206,0.054092
0.238775,0.221109
0.529725,0.155215
0.299751,0.244742
0.013065,0.225129
0.083928,0.556717
0.825887,0.452158
0.889133,0.109742
0.382686,0.120536
0.255951,0.199686
0.930925,0.113785
1.263393,0.007766
0.123454,0.223116
0.501152,0.389221
0.293687,0.101137
0.263317,0.078610
2.280452,0.047398
1.444074,0.093153
0.300094,0.651155
0.322937,0.138444
0.235943,0.240845
0.012977,0.064284
0.009582,0.556079
0.087624,0.003153
0.372859,0.287164
0.621346,0.171154
0.405472,0.012101
0.464840,0.040039
0.126037,0.112811
0.101123,0.431346
0.127889,0.560348
0.258050,0.597667
0.334128,0.145184
0.137594,0.502120
0.212386,0.272431
0.140591,0.007694
0.323775,0.048322
0.199767,0.139590
0.187825,0.388379
0.258859,0.215126
0.510321,0.458770
0.221136,0.054614
0.172978,0.198928
NaN,0.667813
NaN,0.614735
NaN,0.452839
NaN,0.481182
NaN,0.534597
NaN,0.290267
NaN,0.196379
NaN,0.203353
NaN,0.360380
NaN,0.401414
NaN,0.345897
NaN,0.004357
NaN,0.321737
NaN,0.523930
NaN,0.787367
NaN,0.331472
NaN,0.261540
NaN,0.396793
NaN,0.371015
NaN,0.396145
NaN,1.346569
NaN,0.131707
NaN,1.999174
NaN,2.664342
NaN,6.011654
NaN,5.926348
NaN,3.757976
NaN,2.382902
NaN,0.278544
NaN,0.384295
NaN,0.210173
NaN,0.437715
NaN,1.349948
NaN,1.049067
NaN,1.231244
NaN,1.398694
NaN,1.471783
NaN,1.621786
NaN,2.279640
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
