pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
0.677647,0.715663,1.061950,0.878179,0.920630,1.270914
0.620113,0.737683,1.041387,0.964439,0.951587,1.335174
0.688822,0.657481,0.902462,0.914576,0.963145,1.361238
0.662638,0.730354,0.941486,0.901685,0.990262,1.404099
0.702199,0.662333,0.977547,0.904868,0.959026,1.412362
0.724291,0.716597,1.023943,0.851287,0.981180,1.296595
0.681051,0.694159,0.981008,0.926811,0.928407,1.371014
0.663428,0.753454,1.110052,0.912653,0.922925,1.333785
0.676962,0.719544,1.039362,0.863133,0.927137,1.371966
0.707459,0.686026,0.935722,0.927585,0.943469,1.456657
0.687436,0.699822,0.973019,0.886171,0.951482,1.277022
0.686675,0.711392,1.053867,0.890616,0.964038,1.387996
0.630474,0.755228,1.021794,0.855943,0.919932,1.373110
0.653851,0.770274,1.122488,0.918575,0.930069,1.351666
0.690203,0.716632,1.012498,0.869364,0.971902,1.244830
0.633528,0.737371,1.062543,0.875591,0.984689,1.334803
0.619520,0.696922,1.008824,0.904950,0.980846,1.292239
0.673884,0.728907,1.005291,0.909049,0.933665,1.366225
0.663628,0.726456,1.115776,0.948668,0.892041,1.207629
0.633600,0.665302,0.969438,0.905746,1.029713,1.384255
0.678428,0.769712,1.015519,0.941011,0.929587,1.309877
0.704091,0.725250,1.040162,0.907706,0.914649,1.308413
0.692261,0.790785,1.108939,0.860703,0.959777,1.425905
0.647050,0.735764,1.024299,0.852697,1.015948,1.408709
0.669389,0.699661,0.996244,0.933218,0.977256,1.277909
0.662018,0.732835,1.022363,0.908422,0.866337,1.373458
0.660564,0.779068,1.019108,0.919274,0.969813,1.442097
0.652128,0.697244,1.008516,0.902985,0.977752,1.258854
0.647136,0.766111,1.027651,0.868730,0.901852,1.323695
0.638243,0.668037,0.988263,0.903754,0.975090,1.306902
0.647499,0.744169,1.068686,0.956900,0.936011,1.405688
0.641696,0.713826,1.022083,0.894636,1.071171,1.314189
0.650066,0.690113,1.000077,0.909073,0.951377,1.353371
0.678434,0.655131,0.947843,0.869467,1.012853,1.404016
0.656850,0.711557,1.075765,0.864006,0.900709,1.443832
0.714260,0.749182,1.067131,0.874925,0.956536,1.301141
0.656260,0.669034,1.011960,0.858763,1.000744,1.299480
0.659777,0.749915,1.055172,0.851790,0.958693,1.363346
0.649512,0.684196,0.999616,0.904765,0.973430,1.380706
0.671530,0.712710,1.006215,0.913467,0.949450,1.279158
0.682115,0.746961,0.995575,0.925537,0.897997,1.323763
0.681781,0.663595,0.999975,0.876401,0.902285,1.355721
0.597102,0.733855,1.126383,0.895490,1.032784,1.418049
0.671864,0.710204,1.041738,0.841248,0.948722,1.424070
0.620247,0.707152,1.028807,0.948924,1.012784,1.407104
0.668357,0.715600,1.029409,0.942286,0.889814,1.410733
0.641152,0.738518,1.033103,0.876420,0.962309,1.288982
0.637878,0.781037,0.985548,0.850529,0.915346,1.309263
0.644025,0.813203,1.056148,0.901272,0.960024,1.286591
0.643260,0.692052,1.082737,0.925897,0.947079,1.316983
0.674041,0.787497,1.041598,0.805302,0.894250,1.299504
0.629562,0.685424,1.050980,0.894110,0.887111,1.319033
0.701574,0.682622,1.014114,0.887643,0.959068,1.393939
0.646996,0.766430,1.055017,0.786304,0.917566,1.296329
0.639679,0.689766,0.977905,0.924725,0.934682,1.279421
0.649548,0.670846,1.054778,0.856968,0.955896,1.473225
0.675440,0.714299,1.050504,0.836659,0.886723,1.377644
0.669510,0.697453,0.972952,0.825411,0.962259,1.306426
0.653273,0.718698,0.994342,0.847631,0.882544,1.320521
0.666715,0.676305,1.053435,0.864329,0.970988,1.376200
0.685118,0.776746,1.001555,0.895569,0.971165,1.482795
0.650859,0.754136,1.079658,0.883170,1.021157,1.364999
0.647980,0.721214,0.995370,0.895715,0.946627,1.409991
0.666013,0.791148,0.974759,0.835925,0.907182,1.316846
0.645204,0.722546,1.092661,0.926763,0.942271,1.405785
0.632820,0.755925,1.056728,0.831105,0.969533,1.338545
0.667199,0.683695,0.934554,0.940602,1.003242,1.386227
0.623216,0.741905,0.994703,0.880864,0.943198,1.264365
0.690241,0.687181,1.079025,0.922883,1.070527,1.447486
0.720255,0.758275,1.042990,0.865279,0.927460,1.288219
0.657317,0.736081,1.020520,0.906444,0.996738,1.388163
0.667792,0.748165,1.065038,0.894280,0.959466,1.388788
0.677553,0.761185,1.001883,0.908497,0.886145,1.386966
0.659653,0.782016,1.046058,0.906170,1.020764,1.304867
0.669465,0.782993,1.117771,0.904087,0.909009,1.395355
0.635677,0.750556,1.048022,0.785218,0.985538,1.444784
0.677959,0.659266,1.043282,0.872327,0.928092,1.407182
0.663543,0.688393,1.037948,0.840306,0.990710,1.390098
0.622513,0.686374,0.982096,0.818190,0.894704,1.242604
0.647091,0.728338,1.000983,0.922648,0.918224,1.254573
0.674831,0.773179,1.014504,0.806024,0.962732,1.422712
0.652908,0.735130,1.071161,0.927642,0.935546,1.427581
0.664872,0.719878,1.098632,0.859826,0.965095,1.332200
0.652740,0.764244,1.014836,0.866797,1.000194,1.386319
0.680691,0.675769,0.996860,0.835755,0.990305,1.375908
0.717047,0.686329,0.910366,0.855436,0.996786,1.412523
0.635119,0.740762,1.068645,0.856904,0.932174,1.405170
0.649321,0.727946,1.020174,0.895674,0.964280,1.337090
0.669758,0.778349,0.984824,0.868862,0.994763,1.439730
0.593127,0.678923,1.037921,0.853385,0.916563,1.396263
0.657875,0.737652,1.070131,0.825758,0.937825,1.349882
0.705438,0.664596,1.031085,0.969598,0.971497,1.370041
0.665865,0.693492,1.005781,0.875640,0.996945,1.490688
0.661444,0.706996,1.050144,0.893765,0.922328,1.360238
0.704139,0.678507,1.082245,0.883858,0.969531,1.373008
0.645912,0.771848,1.011035,0.949881,0.999202,1.539473
0.712277,0.746829,0.999606,0.924114,0.999498,1.445224
0.652848,0.694233,1.024290,0.867071,0.939317,1.337172
0.666844,0.713275,1.059538,0.965752,0.932044,1.378072
0.645937,0.809085,1.091987,0.982796,0.971125,1.270991
0.689698,0.700227,0.985499,0.902243,0.938864,1.426928
0.685041,0.715171,0.995745,0.888019,0.997182,1.358685
0.644894,0.774639,1.084679,0.918259,1.009541,1.354483
0.639128,0.745038,1.042025,0.855848,0.936179,1.258900
0.701547,0.723245,0.935652,0.930762,0.930054,1.384150
0.667879,0.702779,0.977475,0.880337,0.920466,1.295319
0.610645,0.721035,1.061016,0.903816,0.882493,1.300629
0.657522,0.699003,1.073913,0.890871,0.932378,1.343762
0.623061,0.708362,1.016177,0.837696,1.015299,1.458464
0.717355,0.725168,1.052891,0.852597,0.920212,1.326569
0.701127,0.727907,1.039086,0.811721,0.872796,1.245538
