pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
392.396042,612.403129,291.826046,597.711459,382.811873,576.804787,232.951865,585.388956
391.711459,612.403129,294.564380,597.026875,383.000000,576.390000,233.110000,585.120000
391.711459,612.403129,293.195213,599.765209,383.170000,576.600000,232.940000,584.490000
393.080626,613.087712,293.195213,599.765209,383.230000,576.950000,233.250000,584.680000
393.200000,613.200000,296.618131,600.449793,383.380000,576.320000,234.321032,586.073539
393.110000,612.400000,296.618131,597.711459,383.690000,575.930000,234.240000,585.290000
393.080000,612.030000,296.618131,597.711459,384.010000,575.760000,234.390000,585.060000
393.240000,611.320000,295.248964,597.711459,384.090000,576.230000,234.420000,584.570000
393.310000,611.400000,295.933547,599.080626,384.160000,576.060000,235.120000,585.060000
392.980000,611.830000,297.302714,597.026875,384.370000,576.190000,234.930000,584.980000
393.010000,612.160000,297.160000,597.420000,384.650000,577.730000,235.060000,585.140000
392.980000,612.120000,297.230000,596.930000,384.670000,577.070000,234.321032,587.442706
392.990000,612.070000,297.130000,596.960000,384.750000,576.400000,233.640000,586.700000
393.050000,612.000000,297.260000,596.880000,384.900000,576.270000,233.210000,586.050000
392.890000,612.360000,295.248964,597.711459,384.980000,576.020000,233.790000,585.360000
392.400000,613.240000,295.933547,597.026875,385.570000,577.070000,234.030000,585.040000
391.990000,614.010000,296.618131,597.026875,385.960000,578.160000,235.005616,586.073539
391.820000,614.920000,297.987298,597.026875,385.820000,577.230000,235.005616,586.073539
391.830000,615.700000,297.987298,600.449793,385.820000,577.020000,238.428533,586.073539
391.940000,616.440000,297.987298,601.818960,386.130000,577.570000,237.059366,586.073539
391.790000,616.570000,297.987298,601.818960,386.370000,577.530000,237.200000,586.280000
391.260000,616.410000,297.900000,602.060000,386.710000,577.880000,237.230000,586.210000
390.710000,615.980000,297.750000,602.140000,386.880000,578.000000,237.340000,586.390000
390.400000,615.890000,299.356465,601.818960,387.030000,577.930000,237.280000,587.060000
390.700000,615.640000,299.410000,602.060000,387.380000,577.030000,237.080000,587.640000
390.880000,614.930000,299.930000,601.800000,387.550000,576.870000,236.940000,587.140000
390.850000,614.230000,300.120000,601.590000,387.330000,576.940000,237.080000,586.650000
390.930000,614.130000,300.030000,600.850000,387.250000,577.070000,237.320000,586.030000
391.010000,614.090000,300.090000,599.970000,387.240000,577.170000,238.350000,585.310000
390.480000,614.750000,299.760000,599.350000,386.940000,577.230000,239.090000,585.200000
389.560000,616.310000,299.356465,599.080626,386.930000,579.260000,239.650000,585.070000
388.870000,617.870000,295.248964,602.503543,386.860000,580.920000,237.743950,586.758123
388.020000,618.760000,294.930000,604.190000,387.030000,580.030000,237.743950,586.758123
386.870000,619.810000,294.230000,605.540000,382.811873,580.227704,237.160000,586.690000
385.800000,620.910000,293.930000,606.710000,383.860000,580.190000,237.743950,586.758123
384.330000,622.160000,293.590000,607.860000,386.234791,578.858537,237.743950,586.758123
382.710000,623.280000,293.879797,607.980211,388.973125,578.173954,237.940000,586.780000
377.335205,623.356465,292.030000,608.480000,391.830000,578.060000,237.750000,586.940000
373.230000,624.440000,290.160000,609.900000,391.026875,580.912288,246.643535,580.596871
374.596871,624.041048,286.349378,618.933547,391.670000,582.870000,251.435620,581.281455
373.120000,624.500000,284.295628,618.933547,392.180000,584.930000,250.751036,581.281455
372.160000,625.680000,282.750000,620.860000,393.180000,586.880000,251.435620,585.388956
371.670000,627.210000,282.440000,622.420000,394.160000,588.860000,253.489370,586.758123
370.580000,628.880000,283.530000,623.250000,394.840000,590.830000,253.489370,590.865624
370.160000,630.720000,283.390000,623.950000,395.134376,588.442706,253.480000,593.000000
369.804787,634.309801,284.100000,624.960000,395.134376,588.442706,253.720000,594.130000
371.030000,634.810000,286.349378,624.410215,394.800000,588.180000,253.489370,592.919374
373.300000,634.300000,287.610000,623.830000,394.780000,588.160000,252.300000,593.250000
375.820000,633.760000,289.150000,622.740000,393.765209,598.026875,253.489370,592.919374
377.870000,633.100000,292.860000,621.420000,388.973125,596.657708,252.120203,598.396042
378.704372,632.256050,298.671881,620.302714,386.234791,602.818960,252.804787,601.134376
379.740000,631.930000,301.930000,619.190000,382.127290,600.765209,252.804787,610.718545
382.127290,632.940634,303.870000,618.460000,384.865624,607.611044,252.804787,614.826046
383.496457,632.940634,304.833133,616.195213,385.250000,609.010000,252.804787,614.826046
384.310000,632.860000,305.850000,614.640000,386.790000,609.340000,253.510000,615.940000
384.865624,632.256050,307.571467,614.826046,387.100000,610.140000,254.340000,616.300000
388.288541,630.202300,309.790000,614.640000,388.090000,610.100000,255.350000,616.810000
386.919374,631.571467,311.830000,614.170000,390.342292,608.980211,258.281455,614.826046
384.181040,633.625217,310.970000,613.870000,393.080626,608.980211,258.281455,610.033962
381.442706,632.940634,309.625217,616.195213,394.280000,609.000000,258.920000,608.100000
384.865624,634.309801,310.250000,617.620000,396.700000,608.110000,260.080000,606.910000
385.620000,634.100000,311.150000,618.440000,397.940000,607.170000,261.170000,605.400000
385.550207,634.309801,311.340000,619.120000,397.872710,604.872710,262.070000,604.530000
