pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
48.334352,-18.379843,18.263569,25.217047,-21.313252,29.612858
48.536769,-18.579080,18.397776,25.247868,-20.749553,29.488971
48.709517,-18.766661,18.533431,25.178963,-20.180271,29.213147
48.852802,-18.942541,18.670349,25.022859,-19.616019,28.817503
48.967194,-19.106784,18.808042,24.815894,-19.076745,28.375815
49.053766,-19.259505,18.945642,24.613105,-18.593232,27.982178
49.114169,-19.400689,19.081902,24.456406,-18.205461,27.697022
49.150646,-19.530235,19.215251,24.359701,-17.940275,27.528482
49.165994,-19.648180,19.343890,24.315590,-17.796856,27.451947
49.163448,-19.754792,19.465918,24.306812,-17.761586,27.436195
49.146519,-19.850504,19.579486,24.315641,-17.828735,27.456508
49.118785,-19.935741,19.682965,24.328457,-18.000752,27.494357
49.083700,-20.010717,19.775080,24.336957,-18.272611,27.534845
49.044438,-20.075280,19.855008,24.337756,-18.615403,27.567032
49.003806,-20.128885,19.922407,24.331181,-18.975241,27.585338
48.964192,-20.170737,19.977387,24.319520,-19.291684,27.589283
48.927569,-20.200081,20.020432,24.305571,-19.520429,27.582009
48.895514,-20.216504,20.052297,24.292486,-19.644394,27.569397
48.869221,-20.219979,20.073909,24.284731,-19.669719,27.559606
48.849502,-20.210687,20.086289,24.288043,-19.614650,27.561358
48.836792,-20.188797,20.090474,24.307026,-19.503704,27.580515
48.831171,-20.154411,20.087450,24.342084,-19.367854,27.617224
48.832409,-20.107785,20.078092,24.388162,-19.242812,27.665956
48.840012,-20.049702,20.063101,24.436334,-19.164725,27.718096
48.853271,-19.981760,20.042927,24.478500,-19.155075,27.766011
48.871318,-19.906404,20.017698,24.511000,-19.206515,27.806339
48.893181,-19.826674,19.987138,24.534511,-19.286944,27.838472
48.917853,-19.745839,19.950493,24.551852,-19.355200,27.862195
48.944359,-19.667087,19.906485,24.565489,-19.381131,27.877760
48.971807,-19.593339,19.853301,24.575951,-19.357455,27.886091
48.999420,-19.527172,19.788623,24.580521,-19.302861,27.888101
49.026532,-19.470738,19.709718,24.575458,-19.252481,27.884801
49.052557,-19.425639,19.613577,24.562001,-19.235562,27.880071
49.076948,-19.392586,19.497079,24.552386,-19.262724,27.883632
49.099151,-19.370749,19.357170,24.572966,-19.326207,27.911013
49.118567,-19.356968,19.191046,24.663035,-19.411387,27.981256
49.134545,-19.345196,18.996330,24.868398,-19.515624,28.114763
49.146372,-19.326437,18.771245,25.227948,-19.652273,28.330792
49.153295,-19.289188,18.514762,25.754263,-19.832291,28.638504
49.154573,-19.220284,18.226744,26.417795,-20.053047,29.015131
49.149597,-19.106099,17.908059,27.149472,-20.317041,29.383603
49.138030,-18.934096,17.560657,27.869411,-20.624598,29.654971
49.119969,-18.694676,17.187592,28.537280,-20.928315,29.837449
49.096122,-18.382964,16.792950,29.172005,-21.109844,30.072188
49.067976,-17.999923,16.381685,29.834967,-21.024852,30.552869
49.037943,-17.552617,15.959395,30.600323,-20.596742,31.384044
49.009354,-17.053859,15.532062,31.523161,-19.892664,32.472544
48.986307,-16.521131,15.105789,32.618504,-19.095458,33.571894
48.973375,-15.974896,14.686504,33.860760,-18.370226,34.471865
48.975269,-15.436884,14.279621,35.193383,-17.808994,35.094073
48.996481,-14.928541,13.889690,36.532275,-17.440910,35.474341
49.040970,-14.469467,13.520123,37.772021,-17.249515,35.717932
49.111916,-14.075766,13.173011,38.811501,-17.184494,35.955225
49.211523,-13.758353,12.849068,39.591606,-17.185218,36.276477
49.340868,-13.521717,12.547725,40.112583,-17.210635,36.662052
49.499808,-13.363633,12.267333,40.420137,-17.232295,36.972110
49.686947,-13.275885,12.005459,40.563135,-17.197607,37.014394
49.899604,-13.245725,11.759250,40.567147,-17.013401,36.631745
50.133814,-13.257703,11.525798,40.440574,-16.574444,35.773392
50.384406,-13.295472,11.302484,40.198552,-15.823089,34.532521
50.645245,-13.343334,11.087243,39.881829,-14.796690,33.115025
50.909665,-13.387579,10.878722,39.551479,-13.623040,31.746619
51.171014,-13.417625,10.676339,39.263539,-12.468287,30.592403
51.423156,-13.426871,10.480244,39.052443,-11.470398,29.718543
51.660838,-13.413069,10.291237,38.924772,-10.682783,29.120479
51.879903,-13.378102,10.110619,38.869098,-10.073530,28.771615
52.077397,-13.327071,9.939987,38.883290,-9.592658,28.643393
52.251625,-13.266651,9.780994,38.996510,-9.242504,28.690545
52.402192,-13.203431,9.635138,39.257304,-9.089187,28.836131
52.530023,-13.143207,9.503619,39.694469,-9.205191,28.993689
52.637363,-13.091239,9.387292,40.288649,-9.595203,29.113053
52.727666,-13.053049,9.286670,40.966276,-10.162207,29.213127
52.805318,-13.035103,9.201929,41.621169,-10.748126,29.362115
52.875140,-13.044658,9.132871,42.156698,-11.233995,29.608721
52.941804,-13.088578,9.078909,42.511528,-11.588852,29.937733
53.009334,-13.171643,9.039110,42.670120,-11.836286,30.281261
53.080769,-13.295037,9.012326,42.668415,-12.006086,30.558694
53.157978,-13.455377,8.997351,42.579582,-12.118254,30.706289
53.241543,-13.644434,8.993032,42.478285,-12.180857,30.691698
53.330744,-13.849544,8.998299,42.406117,-12.180065,30.510710
53.423731,-14.054718,9.012163,42.358536,-12.072709,30.171625
53.517871,-14.242387,9.033729,42.296762,-11.803251,29.682018
53.610196,-14.395504,9.062215,42.168827,-11.341470,29.056236
53.697838,-14.499764,9.096979,41.926514,-10.716647,28.333721
53.778433,-14.545773,9.137501,41.540942,-10.010961,27.586413
53.850422,-14.530743,9.183326,41.014553,-9.298373,26.907568
53.913211,-14.459132,9.233979,40.368635,-8.609904,26.368607
53.967144,-14.341832,9.288915,39.638962,-7.979789,25.965223
54.013338,-14.194201,9.347507,38.880543,-7.467902,25.613030
54.053396,-14.033696,9.409091,38.164284,-7.100356,25.211118
54.089036,-13.877576,9.473008,37.563911,-6.836100,24.713321
54.121673,-13.740870,9.538624,37.133785,-6.613834,24.154050
54.152097,-13.634899,9.605321,36.890707,-6.407022,23.618184
54.180307,-13.566386,9.672467,36.809403,-6.236265,23.186956
54.205539,-13.536999,9.739413,36.836448,-6.142372,22.903561
54.226464,-13.543417,9.805553,36.918793,-6.147442,22.781107
54.241455,-13.578053,9.870446,37.020637,-6.235069,22.827112
54.248873,-13.630416,9.933961,37.117294,-6.358374,23.049423
54.247299,-13.688937,9.996415,37.183050,-6.465030,23.441939
54.235711,-13.742839,10.058648,37.193689,-6.524371,23.966382
54.213583,-13.783476,10.122033,37.137953,-6.548370,24.536801
54.180895,-13.804765,10.188410,37.017982,-6.579932,25.031675
54.138107,-13.802990,10.260014,36.838620,-6.635254,25.355982
54.086076,-13.776414,10.339393,36.615360,-6.681390,25.505831
54.025893,-13.724843,10.429311,36.385503,-6.680017,25.581523
53.958672,-13.649338,10.532639,36.196786,-6.639121,25.727795
53.885364,-13.552254,10.652183,36.081812,-6.613525,26.040047
