pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
47.704651,-18.453158,19.315199,25.163089,-21.269652,29.421005
48.208121,-18.294851,18.638000,25.155822,-20.801858,29.495324
49.119125,-19.023189,17.949217,25.285004,-20.177467,29.520183
49.144738,-19.039853,18.035192,25.462798,-19.557850,29.435537
49.217018,-18.928799,18.508252,24.482406,-19.282918,27.725546
49.227877,-19.050575,18.692976,24.466102,-18.528848,27.696677
49.500177,-19.590382,18.829581,24.457653,-18.019134,27.670962
49.368008,-19.622640,19.067617,24.367623,-17.917413,27.671197
49.363601,-19.688434,19.140695,24.365197,-17.933627,27.593472
49.089014,-19.801562,19.684106,24.325781,-17.822166,27.423933
48.949008,-19.809490,19.910351,24.327063,-17.839573,27.423994
48.850474,-19.853916,20.173553,24.331108,-17.924489,27.482960
48.877480,-19.898313,20.207972,24.343843,-18.163965,27.558885
48.881239,-19.977171,20.207549,24.334800,-18.602857,27.579551
48.852765,-20.059246,20.204694,24.321725,-19.040669,27.575169
49.067772,-20.419622,19.806898,24.305164,-19.367063,27.582144
48.971591,-20.335283,19.925713,24.315074,-19.560483,27.594176
48.888460,-20.245060,19.976963,24.316805,-19.607619,27.590738
48.760910,-20.122572,20.046496,24.292981,-19.624447,27.556370
48.770274,-19.993408,20.053965,24.266256,-19.664264,27.528802
48.830942,-20.103831,20.075711,24.294590,-19.470606,27.560779
48.812373,-20.200772,20.152180,24.299726,-19.455179,27.609974
48.828547,-20.299897,20.169254,24.402829,-19.254658,27.649477
48.832021,-20.273465,20.058504,24.473321,-19.018747,27.797512
48.773290,-20.025983,20.013411,24.487306,-19.142302,27.763190
48.900610,-19.866641,19.841989,24.519542,-19.155749,27.767706
48.923135,-19.731934,19.714926,24.511283,-19.363637,27.847743
49.027875,-19.658848,19.668936,24.572837,-19.375075,27.872421
49.108007,-19.699722,19.454028,24.527936,-19.418432,27.876455
49.047676,-19.593511,19.505691,24.539130,-19.481559,27.850783
49.081283,-19.647483,19.583284,24.586706,-19.201488,27.884605
49.039215,-19.721087,19.642055,24.597384,-19.204795,27.920890
48.981662,-19.535160,19.603287,24.595613,-19.198287,27.898931
48.982474,-19.243597,19.486746,24.582693,-19.181167,27.880509
49.062970,-19.038657,19.454647,24.627110,-19.410854,27.889438
49.090493,-19.028496,19.324390,24.714499,-19.543521,28.042185
48.904668,-19.131970,19.086410,24.878863,-19.533646,28.194518
48.912454,-19.129676,18.913063,25.042461,-19.326237,28.542932
49.024776,-19.080177,18.736637,25.651191,-20.059664,28.071626
49.085084,-19.006128,18.670481,25.995225,-20.309890,27.901071
49.126318,-19.063778,18.552203,27.608927,-20.199584,30.463632
49.101515,-19.368000,18.177126,28.151996,-20.278490,30.682345
49.123661,-19.375506,17.917480,28.564449,-20.650579,30.405974
49.836986,-18.542642,16.770081,29.217040,-21.188825,29.874470
49.724965,-18.519486,16.457731,29.748317,-21.413099,29.297677
49.607978,-18.033156,16.157878,30.399536,-21.544330,28.913062
49.174420,-16.938466,15.959273,31.417699,-18.947385,34.336095
49.110229,-16.362440,15.242264,32.747628,-18.970494,34.391341
48.706007,-16.009063,14.078869,33.841407,-18.350958,34.555481
48.706148,-15.504926,13.531378,35.019851,-17.891202,34.923018
48.777634,-15.028685,13.010280,36.348850,-17.369136,35.762948
48.927567,-14.263247,12.318821,38.058350,-17.135780,35.902877
48.745844,-13.404459,12.437454,38.942420,-17.441738,35.362607
49.019016,-13.108331,12.120485,39.958264,-17.361124,35.407377
49.322172,-13.091791,12.142857,39.841788,-17.074592,36.675869
49.441599,-13.137200,12.179730,40.163027,-17.012077,37.151187
49.439738,-13.332056,12.165805,40.433744,-17.041192,37.189007
49.119159,-13.442366,12.364360,40.606737,-17.062529,37.208115
