pt1_dltres,pt2_dltres
2.967512,0.407173
5.876685,0.090426
5.058362,0.445548
5.217375,0.973540
4.344671,0.995755
4.976772,1.287889
3.132199,1.427594
2.754403,1.827687
2.991135,1.567330
2.637636,1.654038
2.859151,1.598901
2.441312,1.670782
2.528376,1.696418
2.590633,1.675143
2.679552,1.504708
2.957632,1.404158
2.926996,1.197748
2.791239,1.142084
2.675766,1.201292
2.431896,1.157416
2.445453,1.261412
2.192000,1.304407
2.466398,1.080407
2.227105,1.392024
1.759971,1.168626
1.890553,1.144545
2.059997,1.084560
2.359019,0.923419
2.759468,1.227766
2.633927,0.885589
2.217760,0.969808
1.663763,1.009037
1.598673,0.859139
1.374102,0.994577
1.473185,0.735396
1.235995,0.724417
1.418694,0.482755
1.215515,0.582343
1.375819,0.084447
0.917304,0.514346
0.690225,1.459301
1.060962,1.608974
0.513729,1.278544
4.363234,0.461237
3.912125,0.780334
3.829366,0.604367
4.586746,0.781962
4.770857,0.397710
3.154035,1.807779
1.945784,2.238391
1.357958,1.883392
2.204995,1.631496
2.225845,0.944459
2.675457,0.820183
2.789062,2.389102
2.942442,2.563445
2.886398,2.541197
2.494705,2.543233
2.304710,2.770243
2.317792,3.515813
2.419612,3.433026
2.635217,1.826565
2.123091,1.461563
1.911309,1.129206
1.841540,1.261505
2.255313,0.794233
0.488803,0.639084
1.964455,1.011257
2.953856,0.417599
2.259159,0.264558
1.833200,0.088190
0.844058,0.363096
1.072060,0.508755
1.510879,0.191924
0.373602,0.019041
1.903947,0.061643
1.368613,0.330516
0.062654,0.387883
0.836110,0.093862
0.727029,0.359099
0.503784,0.269760
0.673042,0.184187
0.512264,0.040120
0.218220,2.759286
0.114530,1.770236
2.052514,2.786730
2.260857,2.997608
2.995655,0.866573
1.082674,0.516021
1.191585,1.317752
1.864383,1.385949
1.949042,1.189104
0.194815,1.095503
0.248473,1.059229
0.421050,1.120832
0.370621,1.390469
0.015181,1.403185
0.318061,1.356048
0.220256,1.279765
0.151168,1.196174
0.111680,1.515907
0.551831,1.434157
0.221914,1.716848
0.335840,0.694000
0.958375,0.272064
1.719924,0.347797
2.378796,0.382657
2.237199,0.491859
2.247742,0.045269
0.413896,0.255200
0.367934,0.225564
0.469005,0.457046
0.733916,0.439981
0.594118,0.570974
0.495680,0.398609
0.379711,0.032072
0.169962,0.052373
0.244813,0.215579
0.569940,0.078239
1.129219,0.952608
1.401385,0.747693
1.117557,0.043170
0.309905,1.949785
1.661060,0.243983
2.547449,0.072550
3.467444,1.055527
3.326402,2.129891
2.211649,0.912280
2.057425,1.202722
1.969348,1.616971
1.844745,1.311674
1.565540,0.987312
2.072878,1.305424
2.658756,0.975653
2.549983,0.307346
2.934054,1.280587
2.768178,3.135396
3.855817,1.872042
5.459883,2.970576
5.369044,3.131497
4.493003,2.976993
3.676389,3.092196
2.515408,2.164959
1.768865,0.203144
0.083041,0.842617
4.135888,1.041862
5.129097,0.116832
4.400850,0.316676
3.783232,0.128762
3.833380,0.571800
4.851875,0.331382
3.115512,0.848056
3.401499,0.356723
4.212140,0.151152
5.138887,0.211243
3.075346,0.480001
3.994062,0.953753
3.119958,0.272352
2.972385,0.203102
3.842351,0.633857
3.978921,0.726278
3.621727,0.560300
2.894745,0.146038
2.620657,0.112099
2.543979,0.089771
2.576970,0.163954
2.890266,0.217625
2.907143,0.580295
2.914414,0.584454
2.937975,0.014919
2.936277,0.380519
2.927845,0.085365
2.662758,0.867253
2.331398,0.987926
2.575994,0.794453
2.398829,0.287750
1.277879,0.440068
5.095371,0.740474
3.816434,0.916664
3.863918,1.607825
3.194676,2.152756
0.160974,1.649535
2.634961,3.396275
0.501257,0.139016
1.109637,1.313535
1.611993,1.335492
1.807329,0.693185
1.154934,0.504315
0.851772,0.728314
0.981286,0.247488
0.965144,0.036084
0.118782,1.211605
0.254522,0.962735
0.702644,0.294919
1.035752,0.032857
1.716175,1.175028
2.328574,1.401840
2.997906,1.207606
4.789519,0.930987
5.345653,0.533995
5.360120,0.293160
5.180767,0.815509
4.876693,0.074661
4.797302,0.008989
4.651750,0.082662
3.962370,0.684493
