pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
0.802556,0.793937,1.145073,0.656575,0.704409,0.995668
0.702113,0.780088,1.125577,0.645680,0.633508,0.963504
0.713096,0.768497,1.198904,0.618718,0.649786,0.927109
0.753526,0.871098,1.181328,0.591287,0.656843,0.905154
0.752241,0.866833,1.237485,0.609043,0.623887,0.922500
0.721222,0.848231,1.167831,0.577169,0.658010,0.982007
0.778184,0.863311,1.171423,0.618429,0.648422,0.879522
0.789487,0.790016,1.150326,0.577995,0.675274,0.920988
0.744782,0.840128,1.183919,0.592958,0.684537,1.020288
0.752192,0.825145,1.298939,0.640716,0.695364,0.966450
0.745423,0.844697,1.223073,0.572080,0.703731,0.957841
0.755529,0.800767,1.078287,0.617776,0.727773,1.025715
0.807736,0.816660,1.183582,0.582184,0.640789,0.902225
0.778700,0.752275,1.192437,0.633357,0.685389,1.021851
0.808438,0.772013,1.248437,0.604391,0.661407,0.947496
0.741576,0.805201,1.320905,0.588979,0.661510,0.915910
0.733901,0.806578,1.257087,0.606619,0.625034,0.954916
0.734978,0.858156,1.166551,0.593789,0.675533,0.957245
0.767307,0.730741,1.174496,0.641325,0.634302,0.960644
0.710840,0.797214,1.135180,0.631221,0.699789,0.976600
0.746748,0.800552,1.194363,0.635824,0.693602,1.038035
0.707387,0.756218,1.111848,0.608373,0.707356,0.957015
0.807033,0.811974,1.049239,0.612692,0.688361,0.992633
0.711688,0.793193,1.247865,0.624485,0.704019,1.044590
0.768073,0.852523,1.180558,0.616529,0.640287,0.917552
0.729422,0.817119,1.103985,0.599738,0.694704,0.925182
0.765967,0.798111,1.143369,0.630175,0.680482,0.984714
0.715774,0.787786,1.062584,0.607996,0.636669,0.954787
0.777018,0.840117,1.250645,0.564121,0.695870,0.916099
0.729319,0.841018,1.194671,0.614268,0.667104,0.857886
0.709721,0.787348,1.190382,0.596788,0.664071,0.957272
0.786094,0.798555,1.109782,0.538844,0.714083,0.934777
0.763744,0.858455,1.240652,0.609637,0.678223,0.887725
0.750820,0.818747,1.188790,0.648209,0.660173,0.893672
0.742362,0.834877,1.164828,0.579784,0.676565,0.981970
0.760881,0.791312,1.110383,0.648773,0.673016,0.888405
0.748319,0.778107,1.062415,0.670485,0.686223,0.933698
0.733052,0.806618,1.170212,0.591397,0.619069,0.960078
0.819882,0.828803,1.111732,0.630920,0.622721,0.936981
0.794195,0.796804,1.194749,0.659899,0.648455,0.984771
0.731813,0.808345,1.170026,0.585110,0.606586,0.935314
0.702704,0.789199,1.191916,0.609640,0.686474,1.001982
0.807910,0.858978,1.192814,0.619399,0.667854,0.976426
0.765951,0.784558,1.211892,0.568696,0.691102,0.904974
