pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
386.614863,591.091093,273.570313,585.763788,366.541854,554.436033,214.805852,575.290913
387.670000,590.790000,275.350000,585.740000,367.240000,555.160000,215.969504,576.163653
387.100000,591.070000,274.370000,585.960000,366.820000,554.580000,215.387678,575.290913
387.040000,591.200000,274.040000,586.100000,366.920000,554.030000,215.096765,575.000000
387.840000,590.840000,275.860000,585.730000,367.610000,555.050000,215.096765,575.000000
387.960000,590.830000,275.690000,585.710000,367.850000,554.820000,215.096765,575.000000
387.960000,590.940000,274.440000,585.170000,367.820000,554.020000,215.096765,574.418174
388.190000,590.250000,275.130000,584.920000,368.070000,554.250000,215.096765,574.418174
387.920000,590.270000,274.390000,584.320000,367.770000,554.000000,215.096765,574.418174
387.710000,590.290000,273.980000,584.420000,367.190000,554.110000,215.096765,574.418174
387.970000,589.900000,274.800000,584.160000,367.100000,553.870000,215.096765,574.418174
387.950000,590.090000,274.790000,584.270000,367.270000,553.130000,214.805852,573.545434
388.180000,589.750000,275.640000,584.050000,367.450000,554.020000,214.514938,574.127260
388.740000,589.740000,276.180000,583.890000,367.730000,553.550000,214.514938,574.127260
388.540000,589.880000,275.760000,584.050000,367.830000,552.180000,214.514938,574.127260
388.970000,588.990000,277.640000,583.590000,368.290000,553.750000,214.514938,574.127260
388.830000,588.200000,277.110000,582.740000,368.070000,553.420000,214.805852,575.290913
388.020000,588.100000,274.760000,582.270000,367.020000,551.330000,213.933112,574.127260
388.660000,587.730000,275.790000,581.950000,366.950000,552.280000,213.642199,573.545434
388.320000,587.460000,275.980000,581.970000,366.930000,553.020000,214.224025,573.545434
387.930000,588.490000,274.580000,582.300000,366.360000,551.690000,214.514938,573.836347
388.740000,588.270000,276.470000,582.740000,366.830000,552.180000,214.514938,573.836347
389.020000,587.340000,277.300000,582.260000,367.000000,552.320000,214.514938,573.836347
388.820000,587.170000,275.840000,581.970000,366.660000,550.520000,213.933112,573.254521
389.390000,586.750000,277.270000,581.570000,367.660000,550.910000,213.933112,573.254521
389.800000,586.740000,277.270000,580.880000,368.060000,551.250000,213.933112,573.254521
389.870000,587.290000,276.370000,580.260000,368.120000,551.130000,213.933112,573.254521
390.720000,587.130000,277.900000,579.980000,368.350000,551.930000,213.933112,573.254521
390.950000,586.670000,278.820000,579.840000,368.860000,552.120000,214.224025,574.418174
390.710000,586.840000,277.980000,580.070000,368.600000,551.060000,214.224025,573.545434
391.020000,586.850000,278.230000,579.960000,368.590000,551.070000,214.224025,572.381781
391.640000,586.220000,279.000000,579.690000,368.940000,550.940000,214.224025,572.381781
392.060000,585.520000,279.050000,578.750000,368.950000,551.120000,214.224025,572.381781
392.420000,585.320000,278.730000,578.080000,369.100000,552.120000,214.224025,572.381781
392.830000,585.400000,278.260000,577.360000,369.120000,552.980000,214.120000,572.370000
392.950000,585.450000,277.940000,577.520000,368.960000,553.890000,214.240000,573.110000
392.990000,585.170000,277.750000,577.430000,368.860000,553.670000,213.760000,573.900000
393.070000,584.710000,277.590000,577.160000,368.480000,552.910000,212.850000,573.410000
393.010000,583.830000,277.460000,576.940000,368.070000,552.270000,212.110000,572.910000
393.020000,582.970000,277.880000,576.730000,368.070000,551.800000,211.980000,572.060000
393.000000,582.160000,277.640000,576.700000,367.970000,549.970000,211.910000,570.620000
393.000000,581.060000,277.910000,576.320000,367.970000,548.140000,213.060373,568.890823
393.000000,579.970000,278.250000,574.830000,367.750000,546.900000,212.769459,568.308997
392.890000,579.280000,278.920000,573.580000,367.760000,546.520000,213.933112,566.272605
393.305866,580.036392,279.050000,572.160000,368.040000,546.970000,214.780000,565.810000
