pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI,pt3_X+-CI,pt3_Y+-CI,pt3_Z+-CI
0.603354,0.625386,0.907258,0.521746,0.565733,0.927393,NaN,NaN,NaN
0.584592,0.635759,0.955069,0.554012,0.592754,0.830873,NaN,NaN,NaN
0.649728,0.612704,0.809980,0.568862,0.599417,0.855617,NaN,NaN,NaN
0.600944,0.650839,0.957182,0.543801,0.573197,0.842318,NaN,NaN,NaN
0.598058,0.714211,0.953217,0.543439,0.551875,0.824721,NaN,NaN,NaN
0.587213,0.678687,0.895612,0.568020,0.576957,0.886313,NaN,NaN,NaN
0.597821,0.637271,0.939854,0.538019,0.605317,0.921254,NaN,NaN,NaN
0.607036,0.619673,0.871554,0.542290,0.621945,0.800736,NaN,NaN,NaN
0.651959,0.607890,0.927683,0.525187,0.568353,0.781860,NaN,NaN,NaN
0.573583,0.661116,0.895202,0.543569,0.582705,0.832168,NaN,NaN,NaN
0.592066,0.651745,0.969680,0.513430,0.606364,0.893184,NaN,NaN,NaN
0.572700,0.631365,0.949027,0.535261,0.598844,0.874585,NaN,NaN,NaN
0.595799,0.648990,0.901403,0.537639,0.619305,0.938123,NaN,NaN,NaN
0.584650,0.684783,0.941070,0.551327,0.604661,0.962084,NaN,NaN,NaN
0.606628,0.645697,0.969049,0.539743,0.632021,0.838288,NaN,NaN,NaN
0.612411,0.648053,0.869515,0.563240,0.584344,0.903916,NaN,NaN,NaN
0.643934,0.619047,0.956988,0.573508,0.578654,0.858501,NaN,NaN,NaN
0.571257,0.665740,0.946807,0.572702,0.631573,0.919669,NaN,NaN,NaN
0.588468,0.657502,1.017036,0.584207,0.608625,0.846304,NaN,NaN,NaN
0.576256,0.647167,0.905159,0.609854,0.580359,0.824448,NaN,NaN,NaN
0.625665,0.620653,0.936019,0.591563,0.672568,0.863691,NaN,NaN,NaN
0.541909,0.609925,0.910196,0.500675,0.576261,0.793440,NaN,NaN,NaN
0.595073,0.687984,0.969938,0.536886,0.549499,0.825580,NaN,NaN,NaN
0.529662,0.625684,0.920983,0.539415,0.593997,0.797398,NaN,NaN,NaN
0.579782,0.645000,0.951324,0.548242,0.592908,0.850764,NaN,NaN,NaN
0.591630,0.637250,0.857563,0.579205,0.553446,0.893519,NaN,NaN,NaN
0.588345,0.648243,0.952186,0.518606,0.605293,0.918047,NaN,NaN,NaN
0.609967,0.623871,0.941413,0.517190,0.577320,0.834519,NaN,NaN,NaN
0.567947,0.662034,0.913658,0.530112,0.597587,0.822536,NaN,NaN,NaN
0.608533,0.615264,0.904252,0.583577,0.534544,0.820130,NaN,NaN,NaN
0.610898,0.665856,0.834801,0.529485,0.600978,0.857564,NaN,NaN,NaN
0.585437,0.705604,0.934101,0.563696,0.577925,0.849375,NaN,NaN,NaN
0.600875,0.701692,0.951993,0.554800,0.611455,0.855795,NaN,NaN,NaN
0.593032,0.617725,0.959761,0.534055,0.584473,0.813531,NaN,NaN,NaN
0.581442,0.710077,0.930078,0.540092,0.540715,0.880826,NaN,NaN,NaN
0.576747,0.652188,0.918205,0.555407,0.612577,0.849424,NaN,NaN,NaN
0.645297,0.624103,0.867871,0.566103,0.634350,0.920382,NaN,NaN,NaN
0.600723,0.630627,0.891973,0.577075,0.648119,0.873226,NaN,NaN,NaN
0.659167,0.635967,0.890885,0.548576,0.578560,0.820546,NaN,NaN,NaN
0.627008,0.650965,0.946995,0.513252,0.553026,0.860514,NaN,NaN,NaN
0.585647,0.650167,0.909806,0.559997,0.593052,0.868767,NaN,NaN,NaN
0.583858,0.690570,0.902017,0.525162,0.584750,0.898594,NaN,NaN,NaN
0.564734,0.612311,0.923270,0.513443,0.590563,0.870343,NaN,NaN,NaN
0.574305,0.686030,0.890665,0.546365,0.598869,0.897156,NaN,NaN,NaN
0.565738,0.710173,0.969182,0.585352,0.617098,0.841400,NaN,NaN,NaN
0.596402,0.688761,0.954424,0.574889,0.617237,0.869062,NaN,NaN,NaN
0.622016,0.647795,0.927323,0.524672,0.561618,0.857367,NaN,NaN,NaN
0.568676,0.688587,0.888041,0.519760,0.607099,0.803756,NaN,NaN,NaN
0.579512,0.652614,0.934030,0.548110,0.621726,0.901152,NaN,NaN,NaN
0.587701,0.675672,0.943407,0.597235,0.642467,0.875266,NaN,NaN,NaN
0.592783,0.595875,0.922282,0.547587,0.527448,0.816096,NaN,NaN,NaN
0.574547,0.674013,0.930222,0.522544,0.600931,0.828263,NaN,NaN,NaN
0.531097,0.621245,0.851121,0.596840,0.604156,0.821179,NaN,NaN,NaN
0.603602,0.682991,0.902749,0.575314,0.582226,0.837956,NaN,NaN,NaN
0.647589,0.659599,0.907357,0.522459,0.567384,0.836333,NaN,NaN,NaN
0.576276,0.711754,0.894830,0.573338,0.600133,0.808029,NaN,NaN,NaN
0.635524,0.620527,0.896790,0.533139,0.590833,0.844276,NaN,NaN,NaN
0.610128,0.627595,0.933644,0.562690,0.572503,0.926339,NaN,NaN,NaN
0.591286,0.618814,0.920514,0.579943,0.627467,0.852351,NaN,NaN,NaN
0.584078,0.651495,0.917095,0.538040,0.631876,0.847246,NaN,NaN,NaN
0.609599,0.691074,0.866112,0.558692,0.566301,0.808643,NaN,NaN,NaN
0.610824,0.635524,0.900282,0.583185,0.568555,0.814867,NaN,NaN,NaN
0.580692,0.584095,0.854925,0.545134,0.565612,0.865617,NaN,NaN,NaN
0.628074,0.608371,0.887149,0.556115,0.617090,0.827458,NaN,NaN,NaN
0.549504,0.633929,0.933902,0.547853,0.587513,0.834589,NaN,NaN,NaN
0.619190,0.626237,0.931524,0.570474,0.594540,0.832796,NaN,NaN,NaN
0.589393,0.626803,0.930993,0.505648,0.619049,0.854781,NaN,NaN,NaN
0.587115,0.616953,0.932731,0.550236,0.572720,0.862246,NaN,NaN,NaN
0.589697,0.649204,0.900098,0.578235,0.632469,0.808167,NaN,NaN,NaN
0.601913,0.641311,0.913051,0.595301,0.597031,0.863212,NaN,NaN,NaN
0.552087,0.586899,0.912559,0.563922,0.611459,0.873869,NaN,NaN,NaN
0.623634,0.613692,0.919984,0.569658,0.565554,0.809438,NaN,NaN,NaN
0.561517,0.668342,0.985426,0.590387,0.576801,0.854024,NaN,NaN,NaN
0.630558,0.645627,0.908810,0.532585,0.583048,0.820135,NaN,NaN,NaN
0.602719,0.613859,0.917483,0.518614,0.580607,0.849803,NaN,NaN,NaN
0.565233,0.673375,0.845893,0.578393,0.613925,0.948074,NaN,NaN,NaN
0.588079,0.672689,0.951712,0.505719,0.629971,0.897956,NaN,NaN,NaN
0.553144,0.597497,0.928745,0.586237,0.600105,0.782542,NaN,NaN,NaN
0.589838,0.677987,0.854031,0.552847,0.570720,0.750599,NaN,NaN,NaN
0.600899,0.671913,0.835778,0.545104,0.608251,0.884716,NaN,NaN,NaN
0.607004,0.665807,0.944374,0.531331,0.578662,0.809938,NaN,NaN,NaN
0.592893,0.597672,0.858605,0.559791,0.648594,0.892764,NaN,NaN,NaN
0.578801,0.675888,0.937723,0.497325,0.589252,0.828885,NaN,NaN,NaN
0.605490,0.676574,0.878184,0.585270,0.604623,0.858554,NaN,NaN,NaN
0.581608,0.618147,0.845916,0.540222,0.606641,0.887229,NaN,NaN,NaN
0.563042,0.682178,0.963359,0.545865,0.594205,0.884714,NaN,NaN,NaN
0.548339,0.618819,0.929679,0.581379,0.616828,0.915011,NaN,NaN,NaN
0.549860,0.687913,1.007335,0.566307,0.626298,0.885543,NaN,NaN,NaN
0.597945,0.662493,0.876504,0.531453,0.587755,0.849782,NaN,NaN,NaN
0.582183,0.640590,0.927472,0.531986,0.579778,0.819813,NaN,NaN,NaN
0.579900,0.632446,0.876509,0.494464,0.620558,0.861995,NaN,NaN,NaN
0.558865,0.686492,0.922572,0.542927,0.600004,0.859355,NaN,NaN,NaN
0.604716,0.691012,0.921421,0.546400,0.626626,0.910662,NaN,NaN,NaN
0.605544,0.670712,0.984974,0.590071,0.629890,0.835311,NaN,NaN,NaN
0.563143,0.632241,0.902652,0.563857,0.609827,0.827397,NaN,NaN,NaN
0.596390,0.693434,0.985016,0.554928,0.650423,0.816895,NaN,NaN,NaN
0.573682,0.673309,0.932190,0.550065,0.595433,0.841154,NaN,NaN,NaN
0.566182,0.647556,0.980789,0.537748,0.565188,0.788724,NaN,NaN,NaN
0.577715,0.659103,0.916481,0.556190,0.590303,0.882508,NaN,NaN,NaN
0.610166,0.643937,0.955383,0.567931,0.606603,0.851947,NaN,NaN,NaN
0.614833,0.653989,0.974052,0.548026,0.600307,0.885870,NaN,NaN,NaN
0.567278,0.628353,0.961237,0.551219,0.597694,0.811970,NaN,NaN,NaN
0.577521,0.594564,0.818360,0.510505,0.587417,0.860481,NaN,NaN,NaN
0.616441,0.629760,0.932194,0.547216,0.644820,0.824615,NaN,NaN,NaN
0.579335,0.653912,0.927076,0.539142,0.599762,0.788286,NaN,NaN,NaN
0.574746,0.676547,0.927460,0.497730,0.597087,0.847940,NaN,NaN,NaN
0.577452,0.679092,0.949149,0.540549,0.605428,0.900217,NaN,NaN,NaN
0.552476,0.640074,0.916555,0.524866,0.562438,0.848152,NaN,NaN,NaN
0.595580,0.695099,0.961060,0.523301,0.600476,0.853360,NaN,NaN,NaN
0.595667,0.643722,0.989322,0.553110,0.599543,0.911407,NaN,NaN,NaN
0.578328,0.613494,0.947616,0.553850,0.614797,0.902962,NaN,NaN,NaN
0.527335,0.622375,0.940297,0.540859,0.572858,0.838184,NaN,NaN,NaN
0.568152,0.625223,0.864799,0.506196,0.617982,0.871037,NaN,NaN,NaN
0.582440,0.644707,0.917122,0.563328,0.597767,0.904928,NaN,NaN,NaN
0.611977,0.697992,0.963839,0.596243,0.616543,0.865859,NaN,NaN,NaN
0.601891,0.671851,0.955423,0.596091,0.599776,0.839236,NaN,NaN,NaN
0.661675,0.647390,0.950843,0.565614,0.602369,0.818342,NaN,NaN,NaN
0.586547,0.630079,0.914739,0.617532,0.611339,0.891109,NaN,NaN,NaN
0.591903,0.671804,0.920976,0.560575,0.609397,0.899444,NaN,NaN,NaN
0.592176,0.677870,0.941737,0.565585,0.606022,0.924166,NaN,NaN,NaN
0.581013,0.677537,0.922481,0.537229,0.588264,0.847865,NaN,NaN,NaN
0.559634,0.654301,0.928141,0.526287,0.659247,0.920761,NaN,NaN,NaN
0.620746,0.631499,0.926964,0.506549,0.583778,0.871740,NaN,NaN,NaN
0.613695,0.637564,0.954948,0.575483,0.608908,0.846933,NaN,NaN,NaN
0.607183,0.608604,0.911105,0.525545,0.642426,0.874678,NaN,NaN,NaN
0.600199,0.608167,0.885779,0.531045,0.609066,0.905386,NaN,NaN,NaN
0.624522,0.702112,0.942615,0.576638,0.609117,0.854716,NaN,NaN,NaN
0.550941,0.620290,0.920869,0.551947,0.631914,0.879293,NaN,NaN,NaN
0.583570,0.709985,0.975021,0.565081,0.631392,0.877114,NaN,NaN,NaN
0.572959,0.726552,0.945857,0.576987,0.593890,0.912989,NaN,NaN,NaN
0.596981,0.615309,0.945868,0.537172,0.628215,0.852474,NaN,NaN,NaN
0.594086,0.602025,0.967151,0.571865,0.617244,0.936342,NaN,NaN,NaN
0.600073,0.658014,0.923603,0.520499,0.609696,0.848991,NaN,NaN,NaN
0.578563,0.665198,0.943780,0.531787,0.596386,0.811656,NaN,NaN,NaN
0.619453,0.631459,0.955429,0.554621,0.627434,0.945669,NaN,NaN,NaN
0.611258,0.618219,0.938669,0.548908,0.561662,0.853584,NaN,NaN,NaN
0.609916,0.616236,0.930210,0.565001,0.601898,0.864613,NaN,NaN,NaN
0.584517,0.602080,0.868220,0.534361,0.556411,0.914075,NaN,NaN,NaN
0.603834,0.593319,0.924727,0.525145,0.627428,0.859001,NaN,NaN,NaN
0.592787,0.610451,0.957545,0.564687,0.620804,0.871361,NaN,NaN,NaN
0.556106,0.638012,0.871782,0.564794,0.612501,0.830727,NaN,NaN,NaN
0.604158,0.654470,0.946425,0.553299,0.576935,0.816612,NaN,NaN,NaN
0.617580,0.647845,0.880952,0.558630,0.543425,0.857858,NaN,NaN,NaN
0.614402,0.640502,0.940344,0.578239,0.571097,0.735685,NaN,NaN,NaN
0.559880,0.669688,0.970347,0.535114,0.571254,0.821898,NaN,NaN,NaN
0.599428,0.602919,0.972456,0.515697,0.609646,0.926062,NaN,NaN,NaN
0.607580,0.627708,0.967191,0.533758,0.565855,0.879367,NaN,NaN,NaN
0.625430,0.664545,0.979221,0.568385,0.585161,0.892079,NaN,NaN,NaN
0.620201,0.623431,0.943235,0.635429,0.622653,0.917255,NaN,NaN,NaN
0.603637,0.643883,0.874860,0.588338,0.587011,0.813263,NaN,NaN,NaN
0.557994,0.695158,0.956351,0.546430,0.599518,0.772578,NaN,NaN,NaN
0.544180,0.628977,0.921663,0.562148,0.591838,0.853895,NaN,NaN,NaN
0.594506,0.633034,0.940735,0.558262,0.591551,0.915666,NaN,NaN,NaN
0.587775,0.640354,0.847823,0.540456,0.622759,0.886610,NaN,NaN,NaN
0.622585,0.624261,0.924728,0.537969,0.589613,0.841299,NaN,NaN,NaN
0.602996,0.652394,0.887818,0.577420,0.591596,0.834723,NaN,NaN,NaN
0.568225,0.679142,0.964211,0.495320,0.597758,0.856593,NaN,NaN,NaN
0.558310,0.621435,0.952218,0.573689,0.568636,0.845005,NaN,NaN,NaN
0.648528,0.618713,0.864742,0.552853,0.590302,0.809526,NaN,NaN,NaN
0.666677,0.609122,0.896881,0.559542,0.609049,0.824071,NaN,NaN,NaN
0.608404,0.624931,0.973024,0.562030,0.569392,0.882269,NaN,NaN,NaN
0.579162,0.667472,0.968768,0.519100,0.584045,0.859314,NaN,NaN,NaN
0.589710,0.650279,0.895386,0.555950,0.619163,0.906800,NaN,NaN,NaN
0.595676,0.627367,0.906644,0.517590,0.566283,0.874295,NaN,NaN,NaN
0.658399,0.625447,0.918218,0.559757,0.633160,0.853203,NaN,NaN,NaN
0.568204,0.655309,0.935004,0.593492,0.563483,0.844926,NaN,NaN,NaN
0.606044,0.637530,0.990496,0.545640,0.553405,0.869691,NaN,NaN,NaN
0.605110,0.632250,0.896440,0.560360,0.633674,0.949991,NaN,NaN,NaN
0.604007,0.624909,0.955198,0.575957,0.607719,0.914470,NaN,NaN,NaN
0.617368,0.644812,0.898736,0.528946,0.602522,0.890921,NaN,NaN,NaN
0.585637,0.658128,0.973784,0.550271,0.586191,0.848993,NaN,NaN,NaN
0.604086,0.647036,0.926088,0.573208,0.542461,0.868933,NaN,NaN,NaN
0.617212,0.627085,0.898626,0.550639,0.599827,0.892678,NaN,NaN,NaN
0.568486,0.692206,0.989280,0.542601,0.575766,0.830252,NaN,NaN,NaN
0.578379,0.613366,0.869843,0.560933,0.535745,0.857181,NaN,NaN,NaN
0.661299,0.671093,0.925449,0.527622,0.596541,0.900468,NaN,NaN,NaN
0.559133,0.620690,0.965180,0.612835,0.607599,0.913552,NaN,NaN,NaN
0.576117,0.675516,0.929274,0.535096,0.574199,0.882653,NaN,NaN,NaN
0.565497,0.616619,0.930926,0.541254,0.615380,0.906200,NaN,NaN,NaN
0.589515,0.706665,0.926368,0.565941,0.600606,0.839672,NaN,NaN,NaN
0.561210,0.650891,0.944924,0.556424,0.585946,0.856331,NaN,NaN,NaN
0.589361,0.626936,0.961364,0.589741,0.644329,0.826939,NaN,NaN,NaN
0.564152,0.644394,0.961951,0.554908,0.647650,0.847397,NaN,NaN,NaN
