pt1_dltres,pt2_dltres,pt3_dltres
0.390894,0.487314,NaN
0.190508,0.090834,NaN
0.860907,0.372191,NaN
1.647973,0.198742,NaN
1.708733,1.642594,NaN
2.189356,1.931300,NaN
2.584396,2.096598,NaN
2.935281,2.044070,NaN
3.715023,2.508985,NaN
2.788337,1.276602,NaN
2.093573,1.292333,NaN
1.523287,2.588992,NaN
1.968807,2.224765,NaN
2.202698,1.558520,NaN
2.062912,2.259757,NaN
1.701892,1.486659,NaN
2.076533,1.460979,NaN
2.029288,1.575537,NaN
1.638201,0.529159,NaN
0.968246,3.179774,NaN
0.798338,0.219812,NaN
1.242163,0.282789,NaN
2.060622,0.946230,NaN
2.420187,0.614287,NaN
2.771935,1.090259,NaN
3.220701,1.472676,NaN
2.517085,1.145538,NaN
2.012121,1.344852,NaN
1.724086,1.460037,NaN
1.796861,1.256837,NaN
1.585257,1.223156,NaN
0.752666,0.954218,NaN
0.998305,0.918959,NaN
0.604229,1.820046,NaN
0.540393,2.937295,NaN
0.710200,1.141075,NaN
1.807969,1.708811,NaN
2.612691,1.686504,NaN
2.829586,2.497201,NaN
2.418038,2.597845,NaN
1.566728,0.761149,NaN
1.826151,0.927343,NaN
1.964476,2.583822,NaN
0.460547,2.747263,NaN
0.832800,2.073987,NaN
0.680978,0.785889,NaN
0.578246,0.238582,NaN
1.796015,1.328351,NaN
2.425010,1.400316,NaN
2.166565,0.268015,NaN
0.235776,0.935877,NaN
1.984790,1.017078,NaN
0.996020,0.778313,NaN
0.703261,1.430414,NaN
1.884842,0.811860,NaN
1.329349,0.589333,NaN
0.005218,1.596647,NaN
0.495520,2.035284,NaN
2.117792,0.229236,NaN
1.442557,0.767928,NaN
1.039484,0.569721,NaN
0.645303,0.008629,NaN
0.935911,0.077712,NaN
1.525567,0.016234,NaN
1.308578,0.688694,NaN
0.571374,0.787568,NaN
0.020751,0.389651,NaN
1.171351,0.052404,NaN
2.280850,0.012443,NaN
1.972096,0.017830,NaN
1.578938,0.289659,NaN
1.171690,0.569285,NaN
0.793240,0.308763,NaN
0.065623,0.250662,NaN
0.858958,1.044774,NaN
1.448266,0.737783,NaN
1.472507,0.073679,NaN
1.378532,0.202410,NaN
1.086685,0.818896,NaN
1.210853,0.025494,NaN
1.169574,0.337941,NaN
0.998125,0.150469,NaN
1.094259,0.035549,NaN
1.754761,0.448387,NaN
2.101655,0.279897,NaN
1.377412,2.108151,NaN
0.610909,2.097768,NaN
0.355523,1.186219,NaN
0.816627,0.837568,NaN
1.478677,0.828002,NaN
1.635136,0.778111,NaN
1.448985,1.030893,NaN
1.352049,1.143143,NaN
1.045689,1.243008,NaN
0.658967,1.470890,NaN
0.866262,1.509879,NaN
1.804401,0.156101,NaN
2.817250,0.232122,NaN
0.390395,0.119797,NaN
0.341454,0.331254,NaN
0.499640,0.029218,NaN
0.826631,0.528323,NaN
0.961133,0.253173,NaN
0.152584,0.622798,NaN
0.062103,0.223992,NaN
0.255996,0.837780,NaN
0.759609,1.701303,NaN
1.205066,1.939053,NaN
1.090103,0.291480,NaN
0.320878,0.738748,NaN
0.654006,1.206011,NaN
1.002054,0.652092,NaN
0.906365,0.549278,NaN
1.198688,0.161571,NaN
1.459942,1.057171,NaN
0.134299,3.900251,NaN
0.960436,2.527791,NaN
1.766737,0.463965,NaN
0.492142,1.055229,NaN
0.790186,1.567893,NaN
0.886850,2.050916,NaN
0.935877,1.319494,NaN
0.903270,1.660621,NaN
0.893511,1.657957,NaN
1.773977,2.017284,NaN
2.167902,0.390335,NaN
1.704946,1.146708,NaN
0.427717,0.015417,NaN
0.457730,0.248579,NaN
0.914967,0.583679,NaN
0.365929,0.356071,NaN
0.664684,0.870121,NaN
0.877867,1.150492,NaN
1.016445,0.386731,NaN
1.156418,0.246847,NaN
1.058477,0.348949,NaN
0.978263,1.859922,NaN
1.219545,2.464451,NaN
2.112789,2.155417,NaN
2.583220,1.412138,NaN
1.348194,1.044924,NaN
1.317857,1.399485,NaN
1.442099,1.315844,NaN
1.541407,1.174871,NaN
1.355303,1.436840,NaN
1.483186,1.507657,NaN
1.433541,1.584462,NaN
1.084007,1.245493,NaN
0.724315,1.017800,NaN
0.773496,1.954359,NaN
1.202914,2.296201,NaN
2.049603,1.222852,NaN
1.935860,0.132908,NaN
1.161340,0.609333,NaN
0.440835,0.970604,NaN
0.410233,1.791069,NaN
0.280796,1.935876,NaN
0.193843,1.765486,NaN
0.331116,1.155188,NaN
0.361205,0.992523,NaN
0.215860,1.123351,NaN
0.410119,1.751492,NaN
1.091977,1.737585,NaN
0.908198,1.537338,NaN
0.934896,1.009570,NaN
0.973863,1.195324,NaN
0.346799,0.741926,NaN
0.305415,0.892211,NaN
0.667531,1.074682,NaN
0.808341,1.340274,NaN
0.691092,1.472897,NaN
1.175577,1.671897,NaN
1.517205,1.724265,NaN
1.791961,1.930817,NaN
1.857459,1.505772,NaN
1.937563,1.288041,NaN
0.043881,0.365559,NaN
0.724683,0.200528,NaN
1.376745,0.507966,NaN
2.983521,0.277903,NaN
1.046037,0.656581,NaN
1.791882,0.644336,NaN
1.956894,0.246011,NaN
2.041341,0.537082,NaN
1.174955,0.362420,NaN
0.245484,0.023181,NaN
0.754836,0.144481,NaN
0.898925,0.294808,NaN
1.617661,0.488715,NaN
