pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
50.950626,-16.996863,18.593731,27.652038,-20.971477,27.033696
50.978585,-16.972148,18.546125,27.734710,-20.893023,27.047924
51.007687,-16.941767,18.497857,27.817768,-20.821408,27.068355
51.037687,-16.905744,18.448905,27.900457,-20.756291,27.094711
51.068005,-16.864147,18.399212,27.981351,-20.695717,27.126476
51.097652,-16.817106,18.348659,28.058546,-20.635391,27.163004
51.125239,-16.764933,18.297036,28.129698,-20.570547,27.203634
51.149079,-16.708418,18.244009,28.191870,-20.499716,27.247677
51.167391,-16.649153,18.189088,28.241982,-20.426585,27.294362
51.178597,-16.589609,18.131577,28.278312,-20.357917,27.342876
51.181626,-16.532780,18.070533,28.301847,-20.300346,27.392521
51.176248,-16.481536,18.004722,28.316475,-20.258403,27.442801
51.163365,-16.438141,17.932590,28.328999,-20.233354,27.493215
51.145071,-16.404042,17.852277,28.348224,-20.225434,27.542854
51.124360,-16.379772,17.761652,28.382511,-20.237336,27.590060
51.104644,-16.364928,17.658397,28.437091,-20.273113,27.632282
51.089275,-16.357993,17.540112,28.512388,-20.332469,27.666187
51.081167,-16.355895,17.404449,28.603315,-20.406814,27.688327
51.082588,-16.353466,17.249256,28.700003,-20.482100,27.696634
51.095168,-16.343222,17.072721,28.791575,-20.547330,27.692383
51.120086,-16.315746,16.873519,28.872863,-20.600348,27.681983
51.158213,-16.260599,16.650949,28.951083,-20.640848,27.678102
51.210107,-16.167679,16.405053,29.048905,-20.657926,27.699229
51.275866,-16.028887,16.136708,29.201438,-20.624981,27.766824
51.354918,-15.839808,15.847660,29.446130,-20.510082,27.899692
51.445854,-15.601050,15.540486,29.808735,-20.296338,28.107027
51.546318,-15.318890,15.218484,30.293571,-19.990366,28.384206
51.652944,-15.005077,14.885483,30.880354,-19.616273,28.712328
51.761340,-14.675821,14.545561,31.527988,-19.208148,29.060888
51.866180,-14.350043,14.202696,32.186824,-18.809250,29.392792
51.961549,-14.046807,13.860364,32.815081,-18.463715,29.670681
52.041427,-13.782092,13.521162,33.390137,-18.210241,29.862042
52.100111,-13.566045,13.186539,33.909249,-18.078873,29.943923
52.132551,-13.401818,12.856694,34.381213,-18.084593,29.907493
52.134716,-13.286091,12.530662,34.813697,-18.213295,29.762052
52.104041,-13.210600,12.206548,35.203316,-18.409599,29.536638
52.040014,-13.164069,11.881871,35.540363,-18.591839,29.274500
51.944843,-13.134355,11.553951,35.828497,-18.692812,29.020002
51.823983,-13.110620,11.220304,36.097594,-18.671726,28.807188
51.686258,-13.085207,10.878999,36.401925,-18.500736,28.653452
51.543385,-13.054882,10.528939,36.805976,-18.163211,28.558589
51.408929,-13.021215,10.170052,37.363700,-17.668891,28.507919
51.296834,-12.990002,9.803336,38.099182,-17.069008,28.477591
51.219726,-12.969638,9.430796,38.995748,-16.453471,28.440463
51.187231,-12.968431,9.055248,39.996315,-15.922561,28.371564
51.204496,-12.991255,8.680065,41.015053,-15.546160,28.251963
51.271108,-13.036358,8.308884,41.955625,-15.335229,28.070022
51.380668,-13.093810,7.945378,42.731354,-15.235770,27.821985
51.521502,-13.146915,7.593210,43.283835,-15.147014,27.512625
51.678864,-13.175953,7.256099,43.595682,-14.959732,27.155488
51.838042,-13.162968,6.937901,43.692659,-14.604249,26.772210
51.987257,-13.096105,6.642612,43.633663,-14.082054,26.390092
52.119161,-12.972213,6.374286,43.492232,-13.462061,26.038166
52.230621,-12.797090,6.136865,43.336399,-12.845509,25.743190
