pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
417.099384,588.722101,219.015154,584.335696,369.634928,562.758638,161.053751,586.617641
418.316422,589.127780,219.015154,587.074030,369.634928,562.758638,160.140973,586.617641
418.316422,589.127780,217.189598,587.074030,370.851966,562.758638,160.140973,587.530419
418.316422,589.127780,217.189598,587.074030,370.851966,562.758638,160.140973,587.074030
418.722101,589.533459,217.189598,587.074030,369.634928,562.352959,161.510140,587.530419
418.722101,589.533459,218.558765,588.443197,369.229249,561.947280,162.422918,587.530419
418.722101,589.533459,219.015154,588.443197,370.851966,561.947280,160.597362,588.899586
419.533459,589.533459,219.471543,589.812364,370.851966,561.947280,160.140973,587.530419
418.722101,589.533459,220.384321,592.094309,372.069003,561.135921,160.140973,587.074030
417.910743,589.939138,220.384321,588.899586,371.663324,559.513205,161.966529,586.617641
417.910743,590.344817,221.297099,588.899586,371.663324,559.513205,162.879307,587.530419
419.127780,590.750496,221.297099,588.899586,370.446287,559.513205,163.335696,587.530419
419.127780,590.750496,223.122655,589.355975,370.446287,559.513205,163.335696,587.074030
419.533459,590.750496,221.753488,589.355975,370.446287,559.513205,161.966529,586.617641
420.750496,590.750496,220.840710,584.792085,370.446287,559.513205,162.879307,586.617641
421.156176,590.750496,220.384321,584.792085,370.446287,559.918884,162.879307,586.617641
421.561855,590.750496,220.384321,585.248474,371.663324,559.918884,162.879307,586.161252
420.750496,590.344817,221.297099,585.704863,371.663324,559.918884,161.966529,585.704863
420.750496,590.344817,221.753488,586.161252,370.851966,558.296168,161.966529,588.443197
421.156176,590.750496,221.753488,587.074030,371.257645,558.296168,162.422918,590.268753
421.561855,590.750496,221.297099,588.443197,371.663324,558.701847,161.053751,587.530419
421.156176,589.939138,221.753488,591.637920,371.663324,558.701847,162.879307,585.704863
419.533459,590.344817,226.773767,593.919865,372.474682,556.673451,162.422918,586.617641
418.722101,592.373213,227.230156,598.483755,373.286040,556.267772,160.597362,587.074030
419.939138,592.373213,229.055712,600.765700,373.070000,555.360000,161.966529,588.899586
419.939138,591.967534,229.512101,603.047645,373.100000,554.790000,162.422918,591.181531
417.910743,592.778892,229.055712,602.134867,373.960000,554.790000,163.335696,591.637920
417.099384,594.807288,229.055712,602.134867,374.920000,554.880000,166.074030,588.899586
415.882347,596.835683,231.794046,603.960423,376.180000,555.090000,167.899586,588.899586
417.505064,597.647041,234.988769,600.765700,376.890000,555.790000,169.268753,589.812364
417.505064,597.241362,234.988769,604.416812,377.490000,555.960000,170.181531,590.268753
416.288026,596.835683,236.357936,605.785979,377.860000,555.630000,171.550698,591.181531
415.882347,597.647041,238.639881,609.893480,378.310000,555.050000,171.550698,591.181531
413.448272,598.458400,236.814325,608.067924,388.296168,555.456414,171.550698,591.181531
412.231235,600.486795,235.445158,606.242368,389.330000,555.010000,171.550698,591.181531
411.419877,602.920870,236.357936,605.785979,391.060000,554.990000,171.550698,591.181531
411.419877,603.326549,236.357936,605.785979,392.190000,555.230000,171.550698,591.181531
408.174444,605.354944,238.183492,603.504034,393.160000,555.380000,171.550698,591.181531
408.174444,605.354944,238.183492,604.873201,398.438145,558.701847,171.094309,593.919865
408.174444,606.166303,238.183492,606.698757,402.050000,559.870000,171.094309,593.919865
408.174444,606.166303,238.183492,607.155146,405.130000,560.230000,169.725142,595.289032
406.146048,608.194698,236.814325,606.242368,404.523332,561.135921,169.725142,594.376254
406.146048,609.817415,235.901547,604.873201,404.970000,562.780000,171.550698,593.007087
404.929011,611.845810,237.727103,604.873201,406.146048,566.409750,172.463476,592.550698
404.929011,611.845810,237.270714,603.504034,405.740369,566.815429,172.919865,590.725142
405.334690,613.468527,237.270714,603.047645,406.957407,568.438145,172.919865,588.899586
406.551728,613.874206,236.357936,602.134867,408.985802,569.249504,172.919865,588.899586
407.363086,613.874206,238.639881,599.396533,410.202840,570.060862,173.376254,587.074030
406.957407,613.874206,237.727103,598.940144,411.825556,571.683578,173.376254,587.074030
407.363086,616.308280,236.357936,600.309311,408.985802,572.494936,173.376254,587.074030
407.363086,616.308280,235.901547,600.309311,408.580123,574.929011,173.376254,587.074030
406.146048,617.525318,234.532380,600.765700,408.580123,576.146048,173.376254,586.617641
404.929011,617.525318,234.075991,603.504034,408.985802,577.768765,172.919865,587.074030
407.363086,619.148034,235.445158,606.242368,408.985802,579.391481,172.919865,590.268753
410.202840,616.713960,236.357936,608.980702,408.580123,579.797160,176.114588,589.812364
411.825556,614.279885,237.270714,613.088203,408.985802,578.985802,179.765700,588.899586
410.202840,615.091243,239.552659,614.913759,407.768765,581.419877,182.960423,588.443197
409.797160,615.091243,240.465437,609.893480,409.797160,583.042593,189.806258,590.725142
409.797160,615.496922,240.465437,610.349869,409.797160,583.042593,190.262647,587.530419
412.231235,616.308280,240.419877,610.665310,409.797160,580.202840,190.262647,587.530419
413.448272,614.685564,242.448272,611.882347,410.202840,581.419877,190.719036,587.986808
413.448272,614.685564,245.288026,612.288026,410.608519,579.391481,193.457370,589.355975
411.419877,615.091243,246.910743,612.288026,411.825556,579.797160,194.370148,591.181531
411.419877,615.091243,247.722101,612.288026,411.825556,579.797160,192.088203,594.376254
409.797160,615.496922,247.722101,612.288026,411.825556,579.797160,192.088203,596.658199
408.580123,616.713960,246.910743,612.288026,411.825556,579.797160,192.088203,599.852922
411.014198,615.902601,246.505064,610.665310,413.200000,578.930000,192.088203,603.047645
411.014198,615.902601,249.750496,606.608519,413.680000,578.020000,191.631814,603.960423
411.014198,615.091243,249.750496,606.608519,413.300000,578.370000,190.262647,606.698757
409.797160,615.496922,252.590250,607.419877,412.280000,580.370000,190.262647,606.242368
408.174444,617.119639,252.590250,606.608519,412.231235,581.419877,190.262647,606.242368
409.391481,617.119639,252.590250,605.391481,412.360000,580.430000,190.262647,606.698757
411.014198,615.496922,252.995929,604.174444,412.100000,579.820000,190.719036,608.524313
411.014198,615.091243,255.430004,603.363086,411.320000,580.050000,191.175425,611.719036
408.580123,615.496922,257.458400,601.740369,409.970000,580.750000,192.544592,612.631814
406.957407,616.308280,257.052720,601.740369,408.780000,581.910000,192.544592,612.631814
408.580123,616.713960,253.807288,602.551728,409.180000,582.490000,190.719036,614.000981
409.797160,615.902601,253.807288,602.551728,409.840000,582.500000,191.631814,615.370148
409.797160,615.902601,253.807288,602.551728,410.608519,579.797160,191.631814,615.826537
409.797160,615.902601,253.807288,602.551728,409.797160,580.608519,190.262647,615.826537
408.985802,615.496922,253.401608,602.551728,409.391481,581.014198,190.262647,615.826537
407.768765,615.496922,250.156176,604.174444,408.985802,581.825556,189.806258,618.108482
409.391481,616.713960,249.344817,604.985802,408.985802,584.665310,190.719036,619.021260
409.391481,616.713960,248.533459,604.985802,408.580123,582.636914,191.175425,619.934038
409.797160,616.713960,248.127780,605.391481,410.202840,582.636914,191.175425,621.303205
410.202840,616.713960,248.127780,605.797160,407.768765,585.476668,192.088203,622.215983
408.174444,616.713960,245.288026,607.014198,407.210000,585.670000,188.437091,620.390427
408.174444,616.713960,242.448272,609.853952,407.020000,586.080000,186.611535,620.390427
409.797160,618.336676,242.042593,611.070989,408.140000,585.910000,186.611535,620.390427
413.853952,615.902601,240.825556,611.882347,408.510000,585.750000,186.155146,620.390427
412.231235,615.496922,243.665310,612.288026,408.100000,585.940000,186.155146,620.390427
412.231235,615.496922,245.288026,610.665310,407.420000,586.150000,184.329590,619.021260
411.419877,615.496922,243.665310,612.288026,406.640000,586.460000,182.047645,619.477649
411.014198,616.308280,244.070989,616.344817,405.700000,587.680000,178.396533,621.303205
411.014198,616.308280,244.476668,618.373213,405.360000,588.900000,178.852922,619.021260
411.014198,617.119639,244.476668,618.373213,406.551728,590.344817,180.678478,617.195704
412.636914,615.902601,240.825556,615.939138,406.146048,591.561855,180.678478,616.282926
412.636914,615.902601,242.853952,613.910743,406.146048,588.316422,179.765700,614.457370
412.636914,615.902601,244.882347,610.665310,403.711974,589.533459,177.940144,609.437091
409.797160,614.685564,244.070989,612.288026,403.711974,589.533459,177.483755,608.067924
410.608519,614.685564,242.448272,612.288026,402.089257,589.939138,177.483755,605.329590
410.608519,614.685564,243.665310,609.042593,405.740369,587.910743,178.852922,601.678478
412.636914,614.685564,243.665310,609.042593,406.146048,587.910743,179.309311,601.678478
412.636914,614.685564,243.665310,606.608519,406.551728,587.910743,179.309311,598.940144
409.797160,615.496922,243.665310,606.608519,406.551728,587.910743,179.309311,595.745421
411.014198,615.091243,243.665310,606.608519,405.740369,587.910743,179.309311,597.570977
411.014198,615.091243,243.665310,606.608519,404.523332,588.316422,177.940144,601.222089
411.014198,615.091243,243.665310,607.825556,404.117653,588.316422,178.396533,603.047645
410.608519,615.091243,243.665310,610.259631,402.089257,589.533459,178.396533,606.698757
408.985802,615.902601,241.636914,610.665310,400.872220,590.344817,175.201810,607.155146
410.608519,615.496922,240.825556,613.099384,400.872220,588.316422,175.201810,606.698757
411.014198,615.496922,236.768765,612.693705,402.089257,587.910743,176.114588,606.698757
411.419877,614.685564,236.363086,609.448272,403.711974,588.722101,177.027366,607.155146
411.825556,614.279885,236.768765,608.231235,402.494936,589.939138,177.027366,607.611535
410.608519,614.685564,235.957407,608.231235,400.872220,589.533459,174.745421,607.611535
410.608519,614.685564,235.146048,607.825556,399.249504,588.722101,173.376254,606.698757
409.797160,615.091243,233.929011,606.202840,398.032466,589.127780,172.463476,605.785979
408.985802,615.902601,231.900616,605.391481,395.192712,590.344817,170.637920,603.960423
409.797160,616.713960,227.438145,604.174444,396.004071,591.967534,169.268753,602.134867
411.419877,615.091243,225.815429,603.363086,399.655183,591.156176,168.355975,602.134867
411.825556,612.251489,222.164317,601.740369,399.655183,590.344817,167.443197,604.416812
411.825556,612.251489,216.484809,599.711974,400.060862,587.910743,166.074030,604.416812
412.636914,611.845810,209.182585,596.466541,402.494936,587.505064,165.617641,604.873201
413.042593,612.251489,204.314436,596.466541,401.277899,586.288026,163.792085,604.873201
410.608519,613.874206,204.314436,596.872220,399.655183,587.505064,162.422918,603.047645
410.608519,614.279885,204.314436,597.683578,399.249504,589.939138,166.074030,605.785979
412.636914,614.685564,204.314436,599.711974,399.655183,588.316422,165.617641,607.611535
413.042593,613.468527,203.503078,600.117653,402.900616,587.910743,164.248474,608.980702
413.448272,612.251489,199.851966,600.929011,406.551728,585.070989,162.879307,606.698757
412.231235,612.657168,199.851966,600.929011,405.740369,587.099384,162.422918,605.785979
410.608519,615.091243,199.446287,601.334690,404.523332,587.910743,164.704863,605.785979
410.202840,615.902601,199.446287,603.363086,404.117653,587.910743,164.704863,604.416812
411.014198,615.496922,199.851966,604.580123,403.711974,586.693705,164.704863,605.785979
412.231235,614.279885,201.880361,606.202840,405.740369,586.693705,164.248474,607.155146
412.636914,613.468527,202.691720,608.636914,407.768765,586.288026,162.879307,607.611535
411.419877,613.468527,203.503078,610.665310,407.768765,586.288026,161.966529,606.242368
409.391481,615.091243,202.286040,609.853952,407.768765,585.070989,161.053751,605.785979
409.391481,615.091243,202.286040,609.853952,406.957407,584.665310,161.053751,605.785979
409.391481,615.091243,202.691720,610.259631,407.768765,584.665310,161.053751,605.785979
411.419877,614.685564,206.342832,611.882347,408.174444,584.665310,160.597362,607.611535
412.231235,613.468527,207.154190,612.288026,410.202840,584.259631,161.510140,609.437091
411.825556,613.062848,210.805302,613.910743,408.174444,583.853952,161.510140,609.437091
411.825556,613.062848,212.428018,615.533459,407.768765,583.853952,160.140973,609.893480
410.202840,613.062848,212.833697,617.561855,406.146048,583.042593,160.140973,610.806258
410.202840,613.062848,212.022339,615.939138,406.146048,583.042593,160.140973,608.980702
410.608519,613.468527,212.833697,615.939138,406.146048,583.042593,160.140973,608.980702
412.636914,611.845810,216.079130,617.561855,406.551728,583.448272,161.510140,609.893480
412.636914,611.440131,217.296168,618.778892,407.363086,583.042593,161.966529,609.893480
410.202840,612.251489,217.701847,619.184571,405.334690,582.231235,160.597362,611.719036
410.608519,613.468527,222.164317,619.995929,404.929011,584.665310,160.597362,612.631814
411.419877,614.279885,222.164317,619.184571,402.494936,584.665310,162.879307,612.631814
412.636914,613.468527,222.164317,619.184571,404.117653,585.476668,165.161252,613.088203
413.042593,611.034452,224.192712,619.590250,404.523332,587.099384,165.161252,614.000981
412.231235,612.251489,226.626787,620.807288,402.494936,586.693705,165.617641,614.000981
411.419877,613.468527,227.843824,620.807288,402.089257,585.882347,166.530419,614.913759
411.014198,613.468527,229.060862,621.618646,401.683578,585.070989,167.443197,615.370148
413.042593,612.251489,229.872220,621.618646,401.683578,584.259631,169.268753,617.195704
413.853952,611.034452,229.872220,621.618646,401.860000,583.830000,169.268753,617.195704
413.853952,611.034452,229.872220,621.618646,402.494936,583.042593,167.899586,614.457370
414.259631,610.628773,230.910000,621.640000,399.655183,583.448272,167.899586,614.000981
411.825556,610.223094,231.340000,621.450000,397.626787,585.476668,168.812364,614.457370
