pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
6.155896,6.006485,8.806569,8.003858,8.564483,12.093199
5.393461,5.955290,8.602119,7.889529,7.696483,11.695321
5.469628,5.868520,9.168163,7.547746,7.896212,11.243080
5.786113,6.649914,9.033875,7.218144,7.979186,10.999933
5.764325,6.620275,9.459227,7.420271,7.580440,11.171597
5.524418,6.473816,8.929352,7.044490,7.989361,11.893099
5.973699,6.591357,8.952010,7.547733,7.877689,10.655097
6.060456,6.030601,8.791411,7.041301,8.202758,11.162208
5.716630,6.413968,9.052131,7.236515,8.318611,12.373485
5.770015,6.300545,9.931264,7.818907,8.452489,11.722856
5.719674,6.448456,9.348381,6.976121,8.552368,11.620655
5.791301,6.111938,8.241480,7.534633,8.843849,12.437512
6.195709,6.238049,9.041933,7.092692,7.785635,10.932917
5.981006,5.746285,9.112200,7.719093,8.323430,12.364387
6.210797,5.898301,9.542059,7.363727,8.032374,11.481085
5.692116,6.150285,10.109616,7.182344,8.032430,11.103484
5.639734,6.157080,9.616269,7.397381,7.592332,11.581768
5.635954,6.549492,8.915296,7.245836,8.206505,11.592809
5.890406,5.580447,8.994117,7.819712,7.706492,11.643642
5.457027,6.089012,8.688358,7.689905,8.501119,11.836010
5.734037,6.114561,9.144010,7.757909,8.429842,12.580856
5.428254,5.775009,8.511434,7.408784,8.593342,11.584694
6.195630,6.201947,8.029365,7.472243,8.365409,12.041898
5.461234,6.058875,9.531608,7.628196,8.554429,12.671439
5.896392,6.514676,9.037178,7.523967,7.780636,11.126097
5.601627,6.245254,8.446963,7.310582,8.435940,11.216023
5.880670,6.097229,8.744052,7.683359,8.267651,11.953631
5.496693,6.020106,8.106398,7.417541,7.739669,11.608508
5.956458,6.419395,9.547570,6.886419,8.456323,11.120894
5.588465,6.424065,9.128086,7.493259,8.103481,10.430245
5.435928,6.016886,9.099348,7.273181,8.069511,11.619552
6.029393,6.103004,8.483267,6.574676,8.682194,11.361712
5.850170,6.562486,9.477267,7.435109,8.243520,10.790663
5.747697,6.258401,9.074118,7.909511,8.024878,10.891095
5.686116,6.378679,8.872279,7.092178,8.231008,11.995249
5.827237,6.046709,8.466070,7.917843,8.184732,10.857891
5.728550,5.946737,8.103924,8.181281,8.348237,11.389486
5.608021,6.163042,8.914296,7.224633,7.528414,11.736499
6.275819,6.327670,8.456029,7.723563,7.590987,11.493701
6.081176,6.084213,9.077607,8.082817,7.902338,12.074734
5.607659,6.177138,8.904060,7.169331,7.390290,11.512408
5.380794,6.031113,9.065155,7.468423,8.368235,12.292930
6.181768,6.562788,9.062047,7.576810,8.145555,11.963568
5.854220,5.991031,9.198323,6.949587,8.416468,11.080658
5.476890,6.131267,8.921313,7.334418,7.891967,11.519253
5.389345,6.371182,8.844996,7.789644,7.983731,11.915405
5.914768,6.315065,8.960313,6.821225,7.558586,11.271990
5.383494,5.928799,9.417431,7.263848,8.611644,11.978010
6.082650,6.145741,9.259742,7.724559,7.740701,11.375290
6.087396,6.569844,9.229993,7.183646,8.383428,11.141186
5.840553,6.314090,9.483674,8.077669,7.470626,11.530682
6.021064,6.224410,8.912889,7.634640,8.616343,12.520032
5.303933,6.200114,8.887366,7.360724,8.330209,11.008360
5.538214,6.769271,8.719947,7.960695,7.819206,11.190343
5.658483,6.356265,8.851491,7.557095,8.548619,11.468826
5.666386,6.287522,8.847235,7.220203,7.992712,11.164168
5.579642,6.199269,9.391927,7.532997,7.450319,11.984930
5.706338,6.084503,9.073110,7.376038,7.955374,11.382003
5.448825,6.312382,8.785708,7.305451,8.358306,11.258842
5.404131,6.309311,8.662898,7.682194,8.105038,10.727783
5.629458,6.048931,9.201668,7.020986,7.950665,11.696560
5.918218,6.402134,7.970397,7.202454,7.733909,11.937157
6.213461,6.416757,9.542661,6.844305,8.208418,11.218496
5.492468,6.462576,9.279946,7.746361,8.244647,11.521714
5.733097,6.284660,8.446163,7.436445,7.758061,11.213874
5.824558,5.927521,8.849183,7.669264,7.947814,11.427546
5.977961,6.546929,9.871731,7.576185,8.158980,10.963279
5.441933,6.779321,9.119706,7.450484,7.755101,12.048370
5.452169,6.724965,9.154397,7.642264,7.732376,11.563486
6.028479,5.868656,8.509659,7.410531,8.564716,11.835398
5.733476,6.298229,9.167672,7.433878,7.627512,11.736413
5.452745,6.668471,9.139007,7.218006,8.735832,11.926594
5.449776,6.476358,9.412255,6.967586,8.604369,12.098123
5.774692,5.696874,8.487014,7.559065,7.759611,12.144336
5.549059,6.296698,10.314968,7.127996,7.672337,11.210694
5.524562,5.976195,9.026005,7.168357,8.045740,10.760100
5.854757,5.969224,9.263602,7.248067,7.720165,11.508413
5.595899,6.222740,9.409791,7.436170,8.142912,11.952641
6.071987,6.137570,9.169468,7.715587,8.466879,11.526022
5.787407,6.467793,9.184769,7.568698,8.050343,10.833830
5.964837,5.739095,9.619491,7.381081,8.254692,12.223158
6.145737,6.063759,8.179277,7.352705,8.218274,10.562522
5.296897,6.052678,9.105479,7.539142,8.528531,11.358402
5.887313,6.002337,9.272795,7.219535,8.220054,12.260465
5.408977,6.216504,8.998504,7.978792,8.273998,11.905378
5.757777,6.443210,8.957373,8.165162,7.718101,11.054538
5.631126,6.130121,9.444657,7.968245,7.669617,11.154738
5.747589,6.492670,8.943094,7.367131,8.610127,11.378138
5.675587,6.537806,8.527215,7.627012,7.746389,10.810015
5.471186,6.406809,9.991166,7.621229,7.847996,12.198211
5.641891,5.758694,8.794778,7.526628,7.818072,10.926456
5.685669,5.977526,8.988153,7.661976,8.070568,11.292879
5.689885,6.165074,8.391893,7.507252,9.034025,11.917630
5.624846,6.299765,8.715568,6.862002,7.808939,11.572821
5.523642,6.033440,8.835325,7.773191,8.139279,11.595245
5.536819,6.326287,8.184908,7.548372,7.822668,11.856541
5.647732,6.294808,9.095412,8.079077,7.261967,11.814830
5.497465,5.821329,8.122951,7.606338,7.622496,11.003216
5.730097,6.171443,8.881664,8.176014,7.920503,12.334685
5.445406,6.559859,9.165309,7.524525,8.186129,12.041881
6.052957,6.001307,8.675171,7.213944,7.816172,10.666487
5.655519,6.229949,9.310046,7.017352,8.126681,11.228389
5.675064,6.373183,8.844557,7.586398,8.258513,11.970078
5.968819,6.314161,8.464040,7.230087,8.052667,11.462694
5.054490,5.893705,8.841781,7.355175,8.227919,11.870498
5.825478,6.366687,9.403639,7.423379,8.360329,11.900157
5.841133,5.885104,8.625954,7.959274,7.544144,11.011965
5.785941,6.322563,9.257640,7.000111,8.141916,11.431380
5.816775,6.013586,8.655944,7.722824,7.833547,11.886891
6.311955,6.090498,8.594905,7.794162,7.574020,11.537523
5.376128,5.817191,8.842605,7.124883,7.992942,11.526061
5.333578,5.664723,8.582649,7.418266,7.876815,10.685034
5.578736,5.972533,8.897889,7.532997,8.104968,12.292487
5.527107,5.932256,9.247104,7.229474,7.722833,12.473675
6.152217,6.580839,8.497757,7.310921,7.182787,10.772016
5.343784,6.026752,9.370520,7.460449,8.028561,12.040959
5.667910,6.228740,9.256345,7.837747,8.261055,12.387807
5.664082,6.024610,8.127965,7.129787,7.728853,11.541796
5.633837,5.957350,8.693496,7.023038,8.147879,11.093959
5.718780,6.234679,8.996823,8.198933,7.848101,11.404786
6.471497,6.031379,9.220798,7.879059,7.684064,12.415850
5.796665,6.366649,9.455172,7.309291,8.697158,11.792813
5.287854,6.194186,8.986118,7.789309,7.985841,12.348989
5.548688,5.854477,8.386735,7.200879,8.611139,12.230847
5.886270,5.598280,8.894440,7.798312,7.579539,11.298752
5.697027,6.175888,8.682074,7.273242,8.449074,11.399661
5.783359,6.333321,8.914072,7.301048,8.431003,11.468439
5.573545,6.263976,9.596467,6.961571,8.292339,11.069038
6.017587,6.130818,9.130330,7.620750,7.798454,11.414753
5.253333,6.606098,8.557881,7.126182,8.070435,11.065751
5.585777,6.399614,9.627669,7.905772,7.409605,11.506236
6.069642,5.763875,8.681262,7.433983,7.986921,12.430207
5.594677,6.113766,8.686787,7.829360,8.855350,11.580831
5.925952,5.937371,8.813371,7.344401,8.187126,11.902153
6.069716,5.877344,8.837418,7.779449,8.055282,11.847672
5.572820,5.756695,9.226570,7.645602,7.878741,11.350108
6.177135,6.835194,9.141133,7.621764,8.113265,10.756989
5.579629,6.234964,8.616940,7.137486,7.351912,11.406518
5.549326,6.503863,9.184290,7.443869,8.346000,11.000185
5.829973,6.424103,8.787022,6.958396,8.678508,11.296709
5.621247,6.273800,9.304748,7.581374,8.084808,11.461807
6.045116,6.673876,10.094414,7.189827,8.214790,12.311871
5.521311,6.578524,9.020884,7.068824,7.770464,11.055046
5.746884,6.720750,9.417469,7.517184,8.026905,10.869444
6.379074,6.129516,9.182805,7.478871,8.673253,11.216403
5.780499,6.592851,8.773253,7.383846,8.304980,11.856300
5.687719,6.455669,8.904072,7.284886,7.713147,11.180207
6.009084,6.472817,8.782919,7.428397,8.364483,12.364402
5.600494,5.909544,8.620233,7.543450,8.169167,12.337277
5.990787,6.598408,8.568808,7.429229,7.893012,10.888238
5.811343,6.322616,9.572504,7.566054,7.851635,11.753605
