pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
43.901203,-9.240093,42.342277,24.198713,-9.957480,47.970769
44.000590,-9.144152,42.008846,24.334501,-9.874811,48.116169
44.098546,-9.049210,41.680450,24.468280,-9.792847,48.259024
44.195071,-8.955269,41.357089,24.600050,-9.711589,48.399334
44.290164,-8.862327,41.038764,24.729811,-9.631037,48.537099
44.383826,-8.770386,40.725473,24.857563,-9.551190,48.672319
44.476057,-8.679444,40.417218,24.983305,-9.472049,48.804994
44.566856,-8.589502,40.113998,25.107039,-9.393615,48.935124
44.656224,-8.500559,39.815813,25.228764,-9.315886,49.062709
44.744161,-8.412617,39.522663,25.348479,-9.238862,49.187749
44.830667,-8.325675,39.234548,25.466185,-9.162545,49.310245
44.915742,-8.239732,38.951469,25.581883,-9.086933,49.430195
44.999385,-8.154789,38.673424,25.695571,-9.012027,49.547600
45.081597,-8.070847,38.400415,25.807250,-8.937827,49.662460
45.162378,-7.987903,38.132440,25.916921,-8.864333,49.774776
45.241729,-7.905960,37.869500,26.024582,-8.791545,49.884546
45.319648,-7.825017,37.611595,26.130234,-8.719462,49.991772
45.396137,-7.745073,37.358723,26.233878,-8.648085,50.096453
45.471194,-7.666130,37.110885,26.335512,-8.577414,50.198589
45.544822,-7.588186,36.868081,26.435138,-8.507448,50.298181
45.617019,-7.511242,36.630309,26.532756,-8.438189,50.395228
45.687786,-7.435297,36.397568,26.628364,-8.369635,50.489731
45.757123,-7.360353,36.169858,26.721965,-8.301787,50.581689
45.825031,-7.286408,35.947178,26.813557,-8.234645,50.671104
45.891509,-7.213463,35.729525,26.903140,-8.168208,50.757974
45.956558,-7.141518,35.516898,26.990716,-8.102477,50.842300
46.020179,-7.070572,35.309295,27.076284,-8.037452,50.924083
46.082372,-7.000626,35.106712,27.159845,-7.973132,51.003323
46.143138,-6.931679,34.909148,27.241398,-7.909518,51.080019
46.202476,-6.863733,34.716598,27.320944,-7.846610,51.154172
46.260388,-6.796785,34.529058,27.398483,-7.784408,51.225784
46.316875,-6.730837,34.346524,27.474016,-7.722911,51.294853
46.371937,-6.665889,34.168989,27.547543,-7.662119,51.361380
46.425574,-6.601940,33.996449,27.619064,-7.602033,51.425366
46.477788,-6.538990,33.828896,27.688580,-7.542653,51.486811
46.528580,-6.477039,33.666322,27.756092,-7.483977,51.545717
46.577950,-6.416087,33.508719,27.821599,-7.426008,51.602083
46.625900,-6.356135,33.356077,27.885103,-7.368743,51.655910
46.672430,-6.297181,33.208386,27.946604,-7.312184,51.707198
46.717543,-6.239226,33.065634,28.006103,-7.256330,51.755950
46.761239,-6.182270,32.927808,28.063601,-7.201182,51.802165
46.803519,-6.126313,32.794895,28.119098,-7.146738,51.845844
46.844385,-6.071354,32.666879,28.172595,-7.093000,51.886989
46.883839,-6.017393,32.543744,28.224094,-7.039966,51.925601
46.921881,-5.964430,32.425473,28.273595,-6.987637,51.961680
46.958514,-5.912465,32.312046,28.321100,-6.936013,51.995228
46.993740,-5.861498,32.203444,28.366609,-6.885093,52.026247
47.027559,-5.811529,32.099643,28.410124,-6.834878,52.054737
47.059975,-5.762557,32.000622,28.451646,-6.785368,52.080700
47.090989,-5.714582,31.906355,28.491177,-6.736561,52.104139
47.120603,-5.667605,31.816815,28.528718,-6.688459,52.125053
47.148820,-5.621624,31.731975,28.564271,-6.641061,52.143447
47.175642,-5.576639,31.651806,28.597837,-6.594367,52.159320
47.201072,-5.532651,31.576276,28.629419,-6.548376,52.172676
47.225112,-5.489658,31.505352,28.659017,-6.503089,52.183516
47.247765,-5.447661,31.439000,28.686635,-6.458505,52.191842
47.269036,-5.406660,31.377183,28.712273,-6.414624,52.197658
47.288926,-5.366653,31.319863,28.735935,-6.371446,52.200965
47.307439,-5.327641,31.267002,28.757622,-6.328971,52.201766
47.324580,-5.289624,31.218556,28.777337,-6.287199,52.200064
47.340352,-5.252600,31.174483,28.795083,-6.246128,52.195862
47.354760,-5.216569,31.134737,28.810862,-6.205760,52.189161
47.367808,-5.181532,31.099271,28.824676,-6.166093,52.179967
47.379501,-5.147487,31.068037,28.836529,-6.127128,52.168281
47.389844,-5.114434,31.040983,28.846424,-6.088864,52.154107
47.398843,-5.082374,31.018056,28.854363,-6.051301,52.137449
47.406504,-5.051304,30.999201,28.860351,-6.014438,52.118310
47.412832,-5.021224,30.984363,28.864389,-5.978276,52.096694
47.417835,-4.992135,30.973481,28.866482,-5.942813,52.072605
47.421519,-4.964036,30.966495,28.866634,-5.908050,52.046047
47.423891,-4.936925,30.963343,28.864847,-5.873987,52.017024
47.424960,-4.910802,30.963960,28.861126,-5.840622,51.985540
47.424732,-4.885668,30.968278,28.855476,-5.807955,51.951601
47.423217,-4.861520,30.976230,28.847899,-5.775986,51.915210
47.420423,-4.838358,30.987744,28.838400,-5.744715,51.876372
47.416359,-4.816183,31.002748,28.826984,-5.714141,51.835093
47.411035,-4.794992,31.021166,28.813654,-5.684264,51.791378
47.404460,-4.774785,31.042923,28.798417,-5.655082,51.745232
47.396645,-4.755561,31.067940,28.781276,-5.626596,51.696661
47.387601,-4.737320,31.096136,28.762237,-5.598806,51.645670
47.377338,-4.720061,31.127428,28.741304,-5.571710,51.592265
47.365868,-4.703782,31.161733,28.718483,-5.545308,51.536453
47.353202,-4.688483,31.198965,28.693780,-5.519599,51.478239
47.339352,-4.674163,31.239035,28.667199,-5.494583,51.417631
47.324330,-4.660821,31.281855,28.638746,-5.470259,51.354634
47.308149,-4.648456,31.327332,28.608427,-5.446627,51.289257
47.290821,-4.637067,31.375375,28.576249,-5.423686,51.221505
47.272359,-4.626653,31.425889,28.542217,-5.401435,51.151386
47.252776,-4.617212,31.478778,28.506337,-5.379874,51.078908
47.232085,-4.608745,31.533945,28.468615,-5.359001,51.004079
47.210300,-4.601248,31.591291,28.429059,-5.338817,50.926906
47.187433,-4.594722,31.650716,28.387675,-5.319320,50.847397
47.163500,-4.589165,31.712120,28.344470,-5.300509,50.765562
47.138512,-4.584575,31.775399,28.299450,-5.282384,50.681409
47.112484,-4.580952,31.840451,28.252623,-5.264944,50.594947
47.085430,-4.578293,31.907171,28.203996,-5.248189,50.506184
47.057363,-4.576599,31.975453,28.153577,-5.232116,50.415131
47.028297,-4.575866,32.045191,28.101372,-5.216726,50.321797
46.998246,-4.576094,32.116279,28.047390,-5.202017,50.226192
46.967222,-4.577281,32.188607,27.991639,-5.187989,50.128326
46.935239,-4.579425,32.262068,27.934126,-5.174640,50.028210
46.902310,-4.582525,32.336553,27.874859,-5.161970,49.925854
46.868449,-4.586579,32.411951,27.813848,-5.149978,49.821269
46.833668,-4.591586,32.488153,27.751099,-5.138662,49.714468
46.797980,-4.597543,32.565049,27.686622,-5.128021,49.605460
46.761396,-4.604449,32.642527,27.620426,-5.118055,49.494259
46.723929,-4.612302,32.720478,27.552519,-5.108763,49.380876
46.685591,-4.621099,32.798790,27.482910,-5.100142,49.265324
46.646391,-4.630840,32.877352,27.411608,-5.092193,49.147615
