pt1_dltres,pt2_dltres
14.610188,9.415858
13.151831,9.662058
13.646209,9.081354
13.646209,9.379105
13.946277,8.407430
12.687839,7.866647
12.564215,7.485337
11.570619,8.501686
9.825831,8.234164
12.170915,6.875612
12.214708,6.034328
12.532780,5.897149
11.742061,6.194944
12.122184,6.861581
15.354389,6.615684
15.486763,6.905421
15.199835,7.217324
14.347850,7.760887
13.928473,4.805759
13.637203,3.496440
12.882472,5.946193
10.096307,6.645457
7.510470,4.732314
5.861647,4.644474
3.914607,2.434295
2.018940,0.416005
3.267219,0.117558
4.700534,1.006937
4.191346,0.680303
6.018979,0.225747
3.357484,0.188723
1.773025,1.383629
0.948532,1.793190
1.250316,1.385432
4.227301,1.693659
5.991073,1.687824
6.280719,1.502224
8.623319,1.383052
7.732326,0.586333
7.122685,0.301758
6.825642,0.080745
9.182499,1.318062
11.480237,2.907989
12.388879,5.592267
13.405682,6.940373
14.870190,9.311828
16.039734,9.926823
17.219599,11.590826
17.755196,12.786377
18.986023,13.328449
19.111342,15.077380
20.021049,16.250728
18.327093,17.254435
17.398311,16.353223
13.718595,16.072623
9.109565,15.102068
7.822631,16.266635
10.827104,14.141473
10.819123,16.090489
11.280644,14.047784
8.812724,14.511418
7.769195,11.432330
7.548783,10.316025
7.325887,8.859976
7.563449,7.379718
8.614059,5.307051
9.281602,2.637125
11.030431,1.522439
10.452780,0.360083
9.395318,2.075567
11.026763,2.830217
11.857544,1.824202
11.434390,0.071648
11.005282,1.976376
11.717912,2.464642
12.355822,1.656296
13.058155,1.625833
12.518787,2.740926
12.518787,4.964236
12.518787,4.027610
12.316739,3.744646
12.114483,4.529181
12.725147,3.328510
12.948128,5.512383
12.808142,6.365468
12.556707,5.221826
12.481724,2.918174
11.413315,2.132514
11.939320,2.228840
10.139072,2.211509
8.754913,2.084360
9.365179,0.563824
8.729364,0.036176
6.542313,0.623839
5.110122,2.852495
5.688071,4.609475
7.461126,6.068005
8.223838,5.169266
9.778471,9.747855
7.988966,10.761547
8.460054,12.797357
10.238182,13.417544
10.300878,13.302281
11.884344,15.088619
12.375367,17.162473
12.123743,15.960938
12.123743,14.227779
11.331790,12.909697
9.735107,11.368183
10.555661,12.495419
8.955879,11.335156
10.346937,10.821880
12.003789,10.895425
12.407135,11.446949
12.882168,11.739902
13.368782,12.087590
15.023359,13.194467
16.662285,15.691236
19.282295,18.432457
19.144430,18.174882
19.181677,16.356489
22.054498,14.986603
25.891822,14.571813
27.524578,14.166110
28.358208,16.566495
28.121908,15.538148
27.151651,13.317338
26.248919,12.575211
25.858803,12.457043
26.116566,14.618884
27.664729,14.560175
26.917293,15.440892
25.747807,13.667103
23.300338,12.943181
20.926941,12.766862
19.351858,13.902448
21.316434,13.567691
21.316434,13.258982
20.941519,13.275019
18.654844,12.222079
17.320830,10.538778
14.963247,10.205180
13.463609,10.271274
11.984714,9.061089
13.262568,10.246115
13.342525,10.246115
10.297346,9.583842
8.882161,9.183997
9.013841,7.743774
8.144079,8.897578
9.276937,8.229299
8.734587,7.932408
6.186531,8.516613
5.572414,8.057324
6.082594,6.624012
5.207738,5.487455
4.179500,3.222012
3.335160,2.916779
3.335160,4.514719
2.759408,5.044342
2.400076,5.914972
6.393061,6.665206
6.723361,7.696928
6.880109,8.143960
6.880109,8.764221
7.963670,9.878155
8.241441,10.264097
