pt1_dltres,pt2_dltres
2.368432,4.878314
2.161129,3.064327
2.021912,5.807624
1.766829,6.139997
0.194995,5.005014
0.997861,4.522135
0.812857,4.792818
0.718037,5.037729
0.679336,4.569575
0.631532,2.620937
0.730639,2.548215
0.662448,3.278408
0.465987,2.206361
0.336871,5.044260
0.121121,3.943638
0.015812,3.589593
1.361473,3.481431
1.422798,4.460150
1.485565,1.166552
1.523286,0.558581
5.311851,0.861824
5.789018,0.060543
0.495683,1.720630
0.561812,3.688918
1.272680,2.392193
1.715390,2.250369
4.650191,0.871042
2.607473,0.560681
2.603589,0.652941
2.524525,0.704274
2.919584,3.009782
2.770718,1.361596
2.665208,1.502252
2.489538,1.512647
2.486460,1.393943
2.335352,0.520144
3.194629,0.928991
1.525118,3.504056
1.162949,2.243805
1.005424,2.302506
0.890104,5.269072
0.618024,3.923416
0.551418,3.099230
0.865708,3.535077
0.932677,2.619788
0.751847,1.542464
2.697159,1.039154
0.405935,2.533415
2.325951,2.282873
2.445447,2.283355
1.659267,2.338849
0.486869,0.820091
1.261428,0.929882
1.634276,0.692942
1.711876,1.951056
1.532885,0.581908
1.331542,0.500732
0.113765,0.858680
1.331312,0.992432
3.287920,0.736316
2.922485,0.484159
2.985204,2.715094
2.969239,2.039197
1.403782,2.153362
1.535688,2.768938
1.571697,1.572179
1.632934,1.486367
0.992545,2.695545
0.964499,2.575676
0.944860,2.415107
0.949394,2.037667
0.562633,1.684530
0.475879,1.428179
0.533168,1.364965
0.541094,1.416323
0.575894,0.086722
0.700295,1.372879
0.699533,1.343512
0.960573,0.039025
1.186488,1.014896
2.662111,1.196335
1.494228,0.336066
2.037883,1.484049
3.569759,1.129233
4.413124,1.150613
5.056441,0.902379
7.351919,0.722405
10.460137,3.087510
11.749602,2.489971
7.046516,1.817474
0.593773,1.898378
4.098772,1.395064
3.019274,1.688796
2.951973,4.282427
1.209644,3.595241
0.947353,2.523184
0.975674,0.867943
1.097145,0.863779
2.620259,2.134143
2.321573,2.560690
2.222161,0.229229
0.605144,0.431513
0.916281,0.720375
0.727359,0.631662
0.574855,0.769214
2.494160,0.810643
2.667047,2.118176
2.982796,2.846286
1.317808,1.102027
2.167658,1.283257
2.592956,1.444983
2.683292,1.629851
2.540816,1.805755
2.432598,2.093393
2.297340,2.296066
2.538427,2.527090
2.723257,0.953428
2.873374,1.095255
3.420644,0.990455
3.445801,0.395331
2.082939,0.260044
1.214184,2.815136
2.709507,2.696469
2.740640,2.926212
2.742676,2.971753
2.708038,2.913862
3.247546,0.148028
2.003658,0.821024
0.311131,8.261506
2.391824,0.633736
3.431860,1.500649
3.997840,1.004723
2.346132,0.574404
1.873825,1.344855
1.913308,1.037365
1.830334,1.259734
1.805888,1.077680
2.938285,1.193084
2.816964,2.812833
2.775932,1.411324
1.153471,1.003368
2.239045,0.234154
2.255351,1.181036
2.375520,0.692715
2.546080,0.772548
2.723597,0.670278
3.690660,1.260992
2.964250,0.169940
2.644049,0.924446
2.462658,1.717758
1.425922,0.896336
0.382515,1.498237
0.576380,2.462765
2.153903,2.271298
2.348156,2.124014
2.485366,0.573692
1.949429,1.523698
1.723776,1.789387
0.501202,1.605346
1.234928,2.748500
1.569835,2.490785
2.555061,2.571241
1.614716,2.606616
2.843202,1.216702
3.165937,0.446176
4.456700,2.324095
6.145084,0.070096
1.828276,2.466382
1.711162,1.458037
1.293772,0.729334
1.342472,0.321361
1.412030,2.557572
2.667980,0.575740
2.704595,0.275608
2.831071,0.237930
2.868554,0.077475
1.723983,0.065046
0.451024,1.064330
3.604791,2.085749
1.668980,3.418307
1.576532,1.036331
1.606756,0.540576
1.836542,0.362093
2.009416,1.461872
0.561622,2.636510
0.980242,1.106988
2.776555,3.357676
4.462908,4.471618
2.537302,3.391862
3.690156,0.565379
3.726228,0.696774
2.171018,1.920242
1.912644,1.649276
1.847191,0.343991
1.732210,0.614588
1.528526,1.976119
1.462929,2.681248
0.118934,1.310388
0.179856,1.417532
0.208168,2.787517
0.315203,2.761798
0.407097,2.771305
2.029097,2.418546
1.681874,2.917738
1.828861,2.595351
0.230716,1.323244
0.062938,1.180636
0.009483,0.986914
0.111756,0.853384
0.148527,0.791432
0.051069,0.600984
0.096281,0.403065
0.254627,0.100610
1.950199,1.424194
2.112725,1.984532
1.889854,1.696263
1.784602,1.575989
0.162772,2.881445
0.044555,1.020470
0.115001,1.889148
0.201091,2.811686
0.194677,2.414347
0.274763,2.344139
0.210237,2.386560
0.198726,2.349412
1.682107,2.532692
1.840602,2.778203
1.835359,2.965909
1.914494,1.633490
1.952829,1.864409
2.030520,0.990907
1.961415,0.565682
0.336640,1.929631
2.101865,1.773393
2.339740,1.962520
2.189083,1.434208
2.043066,0.337072
1.895278,1.883113
1.844398,1.330990
2.090860,0.899061
2.279196,0.527253
0.329817,0.394102
0.186700,1.680397
0.024319,1.292830
0.096606,2.489593
0.055113,1.147371
0.047436,1.348169
0.033508,1.687680
1.064488,0.511755
2.989512,0.697386
4.219729,1.263023
1.748010,0.847583
1.607934,0.904761
1.370440,1.122749
1.493526,1.364552
1.644150,0.811738
2.773968,0.630296
2.709098,0.507245
2.874442,0.419222
1.338364,0.346337
0.103943,0.986933
1.428961,2.160675
0.179899,2.066592
0.237178,1.958853
2.722435,0.461352
1.262080,0.635704
2.123890,1.088261
1.239098,2.002888
1.396488,2.035035
2.831296,0.838091
4.688155,1.231030
2.885149,2.963543
1.365460,1.738356
0.143095,1.737893
1.345927,1.788800
1.433543,1.772745
1.418249,1.729721
