pt1_dltres,pt2_dltres
2.563861,2.564394
0.560093,1.503731
0.518431,1.515373
0.391689,1.525194
1.114007,1.701347
1.959227,0.607353
0.039057,0.648818
0.173002,0.856497
0.462292,0.445893
0.768106,1.834104
0.538597,0.384588
0.689886,0.184947
0.772996,1.613802
0.956705,1.724401
0.681584,1.748858
1.184861,0.197664
2.403327,0.060378
2.180310,1.229247
0.746392,1.132554
1.244782,0.412494
1.976452,1.216779
0.730892,2.940895
0.827613,0.361787
0.930002,2.932946
0.426990,0.400316
0.705968,0.269859
2.281406,1.063749
1.220454,0.144056
2.363659,1.046147
2.689276,0.324603
1.563967,0.380620
1.730562,0.553858
1.998548,0.610968
2.718663,0.627147
2.898883,2.062034
1.916593,1.919625
2.204603,1.901809
1.217434,1.915514
1.476151,1.724654
1.801258,0.643082
0.131279,2.325202
2.346092,1.559600
3.058978,1.388301
1.885436,1.923821
5.161618,1.956334
4.950476,0.979480
4.359251,1.258442
3.710454,0.584580
0.369726,2.927923
2.495184,4.475047
0.371239,4.944614
0.666511,6.033608
2.609832,6.611497
2.334684,5.154334
2.457561,5.581559
2.592932,6.395237
2.758881,9.467293
2.750827,7.485839
2.734349,6.015840
2.678705,5.984383
2.649078,5.799409
1.336998,6.159604
1.715821,6.093903
0.975494,2.539814
1.784366,1.213910
2.157852,1.177017
2.488408,5.693631
2.589641,1.370396
1.518767,0.693293
2.240399,0.286658
1.404799,1.379989
1.381372,2.844152
1.482134,2.326731
1.425308,4.142079
1.355166,4.181184
1.277675,4.602648
1.102202,4.316401
0.950530,4.078926
0.602513,2.980724
0.633593,3.690711
0.487679,3.843357
0.393769,4.608431
0.382028,3.835288
0.344094,4.047657
0.353381,5.346562
0.446323,5.040424
0.431265,5.437901
1.098694,6.846289
1.095293,7.202788
0.996790,7.374000
0.958359,5.632539
0.961594,2.761198
0.782421,1.490613
0.734959,1.504190
0.516773,1.753139
0.990261,1.811041
1.029725,2.590733
1.082456,2.479015
1.155659,1.018495
1.204053,1.115836
2.708087,2.472897
2.786290,3.494929
2.817906,3.460380
2.748798,1.988120
1.222748,1.115330
1.226570,0.064782
0.853171,0.389105
0.989500,0.521694
1.084927,5.145223
1.020916,2.230179
0.764817,2.647130
2.635447,1.464705
1.854274,1.283816
2.094119,1.746396
2.458734,3.177485
0.224000,2.156282
1.049445,2.302873
1.741032,4.557580
1.553537,2.225649
1.795904,4.592099
0.218843,1.039839
0.403275,1.353196
0.040534,0.211767
1.145126,1.528669
1.085902,0.411657
0.637571,1.919836
0.492653,1.302758
0.324280,0.065637
1.007737,1.415023
0.949506,2.108129
0.912726,1.991319
0.759253,2.100642
0.520122,2.118903
0.181816,2.053564
1.165500,2.846626
0.986101,1.495825
0.349953,0.218170
2.263483,0.278986
1.258484,0.156524
1.946648,1.876654
0.912690,1.114541
1.356658,1.173266
1.213189,1.220232
0.329178,1.341020
1.347888,0.835196
1.217554,2.210544
0.072196,1.536019
3.576944,0.394007
1.095683,0.914019
0.190798,1.144493
1.554860,2.701861
1.551128,2.863506
1.748607,3.585981
1.750341,3.172823
2.367766,5.017928
3.023149,5.880182
1.920140,4.929903
0.820767,4.776665
0.785574,5.759052
0.914440,5.812571
0.919345,5.740947
0.909964,7.920538
2.219248,8.948167
2.501016,2.431690
1.244943,1.577679
1.646401,0.519992
0.187562,0.396552
2.048559,0.042304
1.187052,1.095397
1.557607,1.098572
2.079079,0.920272
0.696621,0.922562
0.727986,0.465770
0.704091,2.091753
1.931668,0.198218
1.182430,0.095725
0.810682,3.703715
0.666647,3.593903
0.927503,0.624469
0.875393,0.259109
0.755484,1.696002
0.425508,0.142239
1.397375,0.508412
0.962977,2.151951
1.288351,2.196673
1.295891,2.276726
1.188035,2.300963
1.094584,2.216773
1.082419,2.131835
1.129632,3.018594
1.201157,3.662693
1.224285,3.398273
1.278300,3.223784
1.364502,2.100944
1.430583,1.686000
2.520315,1.697839
2.938895,1.611277
3.161400,1.403893
1.637109,1.471744
1.007936,1.512086
1.108472,1.302033
1.405759,2.550983
1.100566,2.564175
2.024707,2.601816
0.486188,2.711832
0.235801,2.785896
0.335913,2.784537
0.882349,1.417250
0.854679,0.103173
0.886735,0.347837
0.907418,0.722590
0.945089,2.209141
0.056274,0.436007
0.195633,0.666602
0.285082,0.643495
1.297012,0.687807
0.082860,0.862446
0.119170,2.542025
0.174930,2.922847
0.206077,2.310627
1.650710,0.231891
2.033950,1.334892
1.988380,1.670769
3.468521,0.721906
1.448719,0.081034
1.335933,1.375428
1.326205,1.499900
1.421107,2.705085
2.877178,2.452257
1.451077,2.160157
2.887407,0.625825
2.192243,0.405379
1.938364,1.644041
0.767129,0.011597
1.153788,0.032086
1.122489,0.397367
0.044293,0.497605
0.015657,0.640629
0.490379,0.777620
0.481086,1.068975
1.953201,1.260617
1.849258,0.239033
1.767327,1.814795
1.834552,0.712723
1.466127,0.911711
1.726104,1.008236
1.752839,1.074155
1.977043,1.104101
0.859797,1.043081
1.038925,2.489837
1.132057,2.537213
2.560245,1.042738
2.661520,0.822062
2.610685,0.797223
2.566854,0.698666
2.456236,0.985877
2.115070,0.337897
1.984190,1.306658
4.656266,0.285341
2.114699,0.499707
1.121622,0.445446
2.498002,0.430920
2.502080,1.717911
2.631952,1.575349
2.629377,0.055606
2.456852,0.329887
2.594192,1.643405
2.618535,1.418512
2.592053,1.470399
2.568413,1.368034
1.335442,1.347297
0.918837,1.319226
0.760569,2.353659
0.700145,2.552422
0.891427,6.102864
2.610673,3.977440
3.004823,5.720667
2.750715,3.698218
2.708243,5.533449
2.667339,5.250968
1.335795,6.160524
0.150832,7.437881
0.281554,7.300502
1.706095,7.722678
1.850117,7.111626
1.458684,7.022352
0.902835,7.181585
1.202634,7.745065
0.142656,6.533727
0.235746,4.723176
0.335580,4.357677
0.430564,4.190095
0.456044,3.250935
1.111331,4.776057
1.230706,1.927413
1.281529,2.977830
1.281042,1.422058
1.282752,1.075015
1.405956,1.668221
1.352680,0.255754
1.406951,0.447622
2.901720,1.780068
2.952905,1.598902
2.933046,0.083388
2.836362,1.139907
2.824282,0.310664
2.782059,1.085362
2.629634,1.649078
2.627230,0.428406
