pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
46.711683,-13.738782,-20.964354,24.792389,-12.317698,-4.125670
46.847331,-13.473486,-20.248872,24.919806,-12.338003,-4.186243
46.610578,-13.267189,-19.296653,24.761085,-12.236528,-4.057186
46.497060,-13.163016,-19.066608,24.753256,-12.191439,-3.978250
46.579753,-13.417837,-19.033115,24.675440,-12.171981,-3.944419
46.445067,-13.606522,-18.401966,23.665725,-13.240711,-5.364884
46.557854,-14.097537,-18.257181,23.643971,-13.480560,-5.263237
46.813462,-14.618200,-18.169792,23.214153,-13.191029,-4.366242
46.691424,-14.859652,-17.628519,23.193717,-13.440623,-4.228896
46.334615,-14.792351,-17.025461,22.830223,-13.603750,-3.672526
47.174999,-14.971367,-18.046330,22.935007,-13.846255,-3.532243
46.975536,-15.230939,-17.297443,22.895572,-13.978975,-3.333500
47.130259,-15.496772,-17.080105,22.933012,-14.101468,-2.987895
47.011536,-15.033419,-17.248422,23.190243,-14.439091,-3.491536
46.800963,-14.827393,-17.505603,23.273616,-14.569300,-3.631012
46.724622,-14.673234,-17.779018,23.202011,-14.513728,-3.442724
46.716841,-15.046999,-17.995674,23.283250,-15.264293,-2.939045
46.952712,-15.407773,-18.694394,23.673306,-15.355740,-1.721342
46.837028,-15.513487,-19.000702,25.088506,-14.585669,-0.853231
46.453183,-15.317589,-18.736048,25.484466,-15.716910,-1.049461
46.745003,-15.460992,-18.922077,26.113533,-16.301328,-1.001160
46.526446,-15.326306,-18.735232,25.687911,-16.103548,-0.124500
46.641516,-15.415580,-18.871983,25.923694,-15.947140,-0.296525
46.588648,-15.500284,-19.072062,26.174492,-15.530200,-0.939393
46.347479,-15.468851,-19.112085,26.229693,-15.158150,-0.871633
46.185507,-15.542948,-19.323943,26.727026,-15.862851,-2.304055
44.964162,-14.617202,-18.536606,26.579559,-15.097802,-3.099903
45.925881,-14.851646,-20.203618,26.868139,-14.195960,-2.772025
46.091193,-14.698797,-19.821794,26.950024,-13.828774,-2.507885
46.126189,-14.754042,-19.718463,27.062982,-14.555496,-2.920196
46.442178,-14.943905,-19.916877,27.145782,-14.790557,-3.384393
46.197831,-14.855869,-19.516606,27.280470,-14.670759,-3.096209
46.384683,-15.005034,-19.760201,27.340818,-14.699592,-3.127053
46.229887,-14.982146,-19.780242,27.121799,-14.436892,-3.199832
46.076740,-14.941710,-19.745387,26.997888,-14.202455,-2.748022
45.956075,-14.937946,-19.790011,27.010646,-14.075595,-2.458695
46.018203,-14.974050,-19.845389,27.017216,-14.163026,-2.654658
46.137082,-15.033810,-19.929807,27.087305,-14.219313,-2.733352
46.061225,-14.815133,-20.014040,27.160379,-14.170879,-2.624313
46.040896,-14.356177,-20.127181,27.315625,-14.109771,-2.433784
46.179775,-14.208983,-20.335649,27.520144,-13.955742,-1.987921
46.071614,-14.207007,-20.918705,27.411981,-13.769447,-1.970775
46.068289,-13.270047,-21.803990,27.547611,-14.365418,-2.100215
46.057883,-13.318974,-21.867449,27.727065,-15.560632,-2.341758
46.262252,-13.399022,-21.986265,27.764820,-16.746504,-3.209742
46.162087,-13.438940,-21.512218,27.720908,-15.484287,-2.376276
46.467813,-13.460882,-21.460410,27.928845,-14.689461,-1.776970
46.671874,-13.555247,-21.248648,28.264714,-14.468268,-1.618338
46.828695,-13.504204,-21.091093,28.100984,-14.458571,-1.199718
46.954512,-13.552165,-21.135854,28.395366,-14.392972,-1.462851
46.821615,-13.422178,-20.494834,28.484702,-14.621514,-1.909515
46.577371,-13.283376,-20.415822,28.374980,-14.560646,-1.825979
46.411770,-13.186875,-20.277071,28.292585,-14.516114,-1.770004
46.293982,-13.307495,-19.985023,28.289227,-14.426717,-1.585195
46.349086,-13.519900,-19.857456,28.260264,-14.439650,-1.635496
46.773426,-13.883307,-20.923500,28.068579,-14.582158,-2.005866
46.710968,-14.012556,-21.140802,27.773368,-14.868145,-2.733390
46.869278,-14.113763,-21.274959,27.486135,-15.272535,-3.730851
46.535750,-14.025653,-21.171251,27.587265,-14.221175,-3.529540
46.621225,-14.085836,-21.275982,27.491455,-14.095648,-3.400193
46.524125,-14.235269,-21.137225,27.427741,-14.040563,-3.313758
46.867209,-14.703583,-20.850647,27.515543,-14.063220,-3.292321
46.965337,-14.850664,-19.961592,27.596606,-14.121393,-3.359837
46.905582,-14.850058,-18.852288,26.619324,-13.920871,-4.414935
47.093412,-15.309694,-18.152839,26.603736,-13.653209,-4.460012
46.830291,-15.425730,-17.345806,26.391917,-13.531049,-4.290809
47.158856,-15.652303,-17.114551,25.670496,-13.955923,-5.077967
47.605780,-15.092371,-18.118791,25.183096,-14.314182,-5.653165
47.633754,-15.016305,-18.488268,24.362742,-14.994664,-6.011070
47.633019,-15.347182,-18.604526,24.066709,-15.287787,-5.746287
47.856808,-15.612452,-18.474394,23.936427,-15.556782,-5.851160
47.633976,-15.814219,-17.352481,23.290893,-15.957777,-5.677263
47.644474,-16.183797,-16.525864,23.087288,-15.685638,-5.730669
47.749017,-16.527852,-16.106799,22.378641,-15.000117,-5.396908
46.838120,-16.384775,-14.592947,21.872209,-14.872594,-5.519987
46.742408,-16.464696,-14.423721,21.431236,-14.852802,-5.574129
46.730949,-16.386461,-14.076839,21.273753,-14.740020,-5.381923
46.774013,-16.348760,-13.975225,21.206126,-14.659436,-5.309265
46.675054,-16.104722,-13.886350,20.429981,-15.571605,-6.499201
46.439871,-16.052756,-13.377321,20.161974,-15.930173,-6.718321
46.285391,-16.400527,-13.052523,20.023166,-15.397019,-6.645318
46.559281,-16.973987,-13.083718,19.850940,-14.989128,-6.532535
45.925642,-16.506611,-12.839741,19.409026,-15.508405,-6.750862
45.892674,-16.371384,-12.557881,19.449392,-15.064081,-6.790248
45.813178,-17.008418,-12.460868,18.632495,-15.142867,-7.315290
45.625797,-17.417235,-11.733502,18.013195,-14.719059,-7.053022
45.248032,-17.252668,-10.756901,17.199553,-14.305232,-6.873346
