pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
36.145220,-15.041713,-0.758913,6.845361,-13.123450,-7.487255
36.525845,-15.931336,-0.456350,6.987441,-12.916883,-7.419703
35.803715,-15.427116,-0.538478,6.775996,-13.241934,-7.599603
35.598935,-15.036307,-0.280269,6.390925,-13.417593,-7.137916
35.330406,-14.768326,0.838884,6.555725,-13.560436,-7.275887
34.873117,-14.902051,0.958147,6.124902,-13.383355,-6.749829
34.746129,-15.100575,1.492623,6.104343,-13.246301,-6.494280
34.679370,-15.165228,1.389760,6.117854,-13.337712,-6.640880
34.502217,-15.167715,1.329674,5.879467,-13.115325,-6.562525
34.610504,-15.095036,1.465261,5.864073,-13.350181,-6.531513
34.710895,-15.200002,1.783416,5.825526,-13.716973,-6.222481
34.715024,-15.187593,1.819969,5.887143,-13.982490,-6.148916
34.686784,-15.373678,1.917958,6.540204,-14.464065,-6.996283
34.560600,-15.857645,1.928565,6.328537,-14.559401,-6.816028
34.509685,-15.852445,1.988984,6.317455,-15.315377,-6.623040
34.605754,-15.923931,1.900396,6.501943,-15.565176,-6.483925
34.806503,-16.114792,1.627755,6.663500,-15.589325,-6.468684
35.061775,-16.003636,1.513058,6.505671,-15.699316,-6.287036
35.190365,-15.603971,1.330039,6.496852,-15.892342,-6.119869
35.439579,-15.177323,1.217063,7.187417,-15.386087,-4.404083
35.661135,-15.364141,0.971877,7.603133,-15.174142,-3.341415
35.523641,-15.509964,0.670747,7.447264,-15.160878,-4.179607
35.530384,-15.425215,0.842263,7.370264,-14.800836,-4.618943
35.908981,-15.601638,0.682926,7.225835,-14.966602,-4.962917
36.031650,-15.725618,0.076781,7.282421,-14.895393,-5.273937
36.338847,-15.798972,0.046728,7.445112,-14.958068,-5.782460
36.026686,-15.880310,-0.225884,7.160396,-15.288478,-6.018375
36.220100,-16.075052,-0.681312,6.802532,-15.151320,-5.891249
36.727366,-16.360338,-0.510125,7.394982,-15.066625,-5.987862
36.489052,-16.566441,-0.941974,7.381349,-15.158802,-5.719863
36.536630,-16.196269,-0.759143,7.452002,-14.955804,-5.303268
36.729085,-16.615120,-0.935134,7.808150,-15.021949,-5.300709
36.755175,-16.278828,-1.218783,8.006512,-14.912132,-5.029936
