pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
526.642198,400.502206,733.388956,490.961893,514.319695,330.674689,625.032417,432.935018
526.580000,401.000000,732.880000,491.000000,514.160000,331.070000,622.598342,432.326499
525.760000,400.990000,734.090000,490.990000,515.840000,331.120000,626.249454,429.283906
522.620000,402.960000,735.830000,494.990000,523.561572,330.674689,628.075010,425.632794
526.642198,400.502206,736.811873,490.961893,527.060000,330.940000,632.334641,424.415757
533.830325,402.555957,742.288541,490.961893,531.776574,331.701564,646.939089,425.632794
538.720000,402.930000,747.800000,488.810000,534.857200,333.755315,646.939089,428.675387
537.937826,405.636582,751.890000,487.050000,538.990000,335.960000,656.066869,431.717981
541.200000,407.930000,759.403129,488.908143,542.190000,338.000000,661.670000,431.990000
550.260329,409.744083,764.470000,488.820000,546.340000,340.020000,670.200000,432.040000
554.360000,412.020000,771.050000,489.000000,552.314079,346.077818,679.190578,430.500943
558.200000,412.040000,774.960000,488.960000,556.421580,346.077818,687.709839,432.326499
557.448456,414.878460,777.990000,488.930000,560.290000,346.070000,693.290000,430.010000
557.940000,417.010000,781.160000,488.970000,563.390000,345.970000,698.700000,429.970000
558.740000,417.060000,783.740000,488.980000,566.490000,345.970000,703.990000,427.990000
559.060000,417.030000,785.600000,488.940000,575.932210,349.158444,708.640000,430.030000
558.930000,417.010000,786.680000,488.940000,574.905335,349.158444,711.810000,430.060000
558.940000,417.000000,787.730000,488.910000,575.640000,348.980000,713.990000,429.970000
558.940000,416.990000,788.710000,488.930000,575.360000,351.020000,715.870000,429.910000
558.910000,416.990000,789.540000,488.970000,575.000000,351.000000,713.876142,430.500943
558.630000,415.010000,787.670000,489.010000,573.970000,352.960000,713.090000,433.010000
556.220000,412.970000,783.790000,488.980000,572.750000,354.990000,712.180000,434.970000
553.800000,412.920000,780.960000,489.020000,571.580000,356.990000,711.120000,439.010000
553.630000,415.000000,791.578553,498.492312,570.120000,358.970000,709.970000,442.980000
553.360000,418.930000,790.209386,503.968980,569.580000,363.010000,709.880000,446.990000
553.510000,421.040000,795.001471,504.653563,569.290000,367.040000,710.460000,450.990000
554.420000,422.990000,795.686054,506.022730,567.717208,363.534697,707.790955,448.147985
555.240000,424.990000,801.162722,503.284396,569.770959,369.695949,711.442067,448.756503
555.600000,426.970000,799.793555,502.599813,571.190000,372.050000,714.752581,445.743050
555.410000,428.950000,801.230000,502.950000,573.150000,372.050000,714.211676,447.906672
555.840000,428.950000,802.400000,503.030000,575.620000,370.000000,716.375298,448.447577
557.030000,428.980000,804.260000,501.010000,578.260000,368.000000,718.230000,445.990000
558.320000,428.950000,806.180000,499.010000,580.890000,367.960000,720.910000,443.970000
559.440000,428.970000,807.280000,497.010000,582.760000,366.050000,722.350000,442.020000
558.850000,428.990000,807.323974,500.546062,583.110000,363.970000,722.910000,440.020000
558.880000,428.980000,808.090000,501.030000,583.620000,361.970000,725.029785,437.088562
557.448456,426.174087,808.860000,499.070000,584.020000,359.970000,726.370000,434.980000
556.490000,423.940000,811.431475,499.861479,584.210000,357.960000,727.120000,433.010000
555.280000,423.970000,813.485225,490.961893,584.150000,354.050000,722.866164,425.188642
558.475331,422.066586,810.746891,493.015644,584.210000,350.060000,721.243447,424.106831
560.920000,420.020000,810.746891,493.015644,588.254713,350.185319,721.243447,418.156871
563.000000,418.000000,811.431475,488.908143,589.580000,348.070000,723.407069,415.452343
565.320000,413.970000,811.431475,487.538976,590.210000,346.030000,721.784353,418.697776
567.190000,411.990000,812.800642,482.062308,590.540000,344.000000,721.750000,414.990000
568.070000,410.010000,810.062308,478.639390,590.340000,341.980000,720.380000,413.000000
567.940000,408.020000,809.130000,476.940000,589.750000,338.020000,718.740000,411.010000
567.210000,406.010000,808.860000,474.980000,588.510000,335.930000,715.834392,408.420572
565.170000,405.980000,805.990000,473.000000,588.254713,333.755315,713.000000,407.980000
563.180000,405.990000,810.746891,474.531889,586.660000,331.930000,708.261716,410.043288
566.690333,407.690333,811.050000,474.990000,580.039711,334.782190,707.930000,410.040000
568.410000,408.050000,811.880000,476.930000,576.959085,334.782190,712.588959,415.452343
569.240000,408.060000,813.030000,479.000000,582.093462,339.916566,713.250000,417.030000
569.780000,408.000000,809.377724,473.847306,582.093462,339.916566,713.770000,419.010000
570.090000,409.980000,812.800642,475.901056,582.670000,340.040000,714.330000,421.000000
570.860000,410.010000,814.000000,476.050000,582.730000,340.010000,715.280000,421.060000
571.500000,410.020000,814.530000,476.020000,582.800000,340.020000,716.380000,421.070000
571.460000,410.020000,814.980000,476.050000,582.960000,339.990000,717.070000,421.020000
570.680000,410.020000,815.060000,476.060000,583.070000,339.990000,717.380000,421.070000
569.690000,410.010000,815.150000,476.050000,582.900000,341.970000,719.079825,417.615965
568.670000,410.010000,815.300000,476.040000,583.340000,342.030000,719.860000,415.980000
566.930000,410.010000,815.210000,476.050000,584.490000,340.000000,720.210000,413.990000
563.680000,409.990000,814.870000,474.050000,583.120337,341.970317,719.079825,411.125099
559.750000,409.980000,814.820000,473.910000,582.330000,344.080000,720.161636,411.125099
555.440000,413.950000,808.693141,480.008557,588.254713,347.104693,721.243447,411.125099
557.700000,416.040000,812.116058,484.116058,589.820000,350.960000,725.570691,420.861398
560.180000,418.000000,813.485225,484.800642,590.140000,353.040000,729.897935,426.270453
561.440000,419.990000,815.538976,488.223559,590.780000,356.980000,730.438840,426.270453
561.370000,421.980000,818.080000,490.040000,591.335339,361.480947,738.011517,431.138602
561.340000,422.000000,818.550000,490.000000,592.090000,361.000000,740.175139,432.761319
560.480000,424.000000,819.680000,489.920000,593.050000,361.050000,742.500000,433.020000
560.290000,424.010000,821.015644,490.961893,594.340000,362.950000,744.390000,433.030000
560.970000,424.010000,821.970000,491.060000,591.335339,361.480947,745.930000,431.020000
562.090000,421.990000,822.750000,489.030000,592.070000,360.980000,747.206910,429.515886
562.270000,421.960000,822.100000,488.970000,593.400000,359.060000,748.290000,428.000000
558.940000,422.020000,818.880000,489.000000,593.640000,357.000000,746.640000,426.030000
555.140000,420.000000,816.908143,488.223559,597.496590,354.292820,748.288721,425.188642
553.740000,419.970000,816.640000,488.000000,596.020000,353.910000,748.610000,427.010000
557.000000,420.030000,816.223559,487.538976,595.442840,356.346570,743.961477,427.893169
560.280000,421.990000,825.123145,490.961893,594.250000,358.010000,741.797855,430.056791
561.940000,422.000000,824.438561,488.908143,593.140000,360.020000,739.093328,433.843129
562.520000,421.990000,824.900000,488.940000,592.200000,360.100000,738.011517,434.924940
562.250000,421.990000,824.910000,488.990000,591.580000,360.090000,738.011517,434.924940
561.970000,422.000000,824.620000,488.980000,590.870000,360.010000,737.770000,435.040000
561.780000,422.010000,825.123145,493.015644,590.030000,359.990000,737.470612,435.465846
560.990000,421.990000,823.753978,493.015644,587.227838,365.588448,736.580000,437.070000
560.680000,424.010000,823.069394,493.015644,591.335339,369.695949,736.929706,442.497617
560.950000,427.930000,824.100000,493.010000,585.174087,367.642198,737.140000,444.000000
562.970000,428.030000,826.460000,493.020000,590.308464,370.722824,742.879666,443.038523
564.800000,428.060000,833.338147,493.015644,591.060000,371.040000,744.670000,443.060000
564.770000,427.990000,833.160000,493.000000,590.650000,371.030000,745.270000,443.010000
562.760000,428.020000,833.130000,492.990000,588.910000,370.940000,744.502383,442.497617
562.280000,428.000000,833.760000,492.990000,588.160000,370.920000,744.870000,441.970000
563.020000,428.010000,834.022730,489.592726,587.590000,371.000000,745.110000,443.960000
564.636582,422.066586,834.860000,488.000000,587.900000,371.010000,745.200000,442.020000
