pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
614.803450,321.782190,807.050943,375.809065,486.444043,338.212194,720.793422,434.340955
615.180000,322.010000,807.170000,376.010000,485.990000,338.010000,721.010000,434.010000
615.660000,322.020000,807.260000,376.050000,486.200000,338.000000,720.990000,433.980000
615.100000,322.000000,806.980000,376.000000,486.040000,338.000000,721.070000,434.010000
615.950000,322.010000,807.290000,376.060000,486.320000,338.000000,721.100000,434.010000
616.150000,322.020000,807.400000,376.070000,486.610000,338.000000,721.140000,434.010000
616.010000,322.010000,807.940000,376.020000,486.860000,338.000000,721.150000,434.020000
615.680000,322.000000,807.860000,376.000000,486.340000,338.000000,721.090000,434.010000
615.290000,322.000000,807.760000,376.000000,486.180000,338.000000,720.940000,433.990000
615.930000,322.020000,807.900000,376.040000,486.350000,337.990000,720.980000,433.990000
615.680000,322.010000,807.660000,376.000000,486.140000,338.000000,721.050000,434.020000
615.830000,322.010000,807.210000,376.050000,486.140000,338.000000,721.020000,434.010000
616.010000,322.010000,807.380000,376.070000,486.470000,338.000000,721.080000,434.000000
615.670000,322.000000,807.180000,376.020000,486.380000,338.000000,721.180000,434.010000
615.720000,322.020000,807.270000,376.040000,486.120000,338.000000,721.130000,434.000000
615.940000,322.020000,807.380000,376.040000,486.360000,338.000000,721.100000,433.990000
615.450000,322.000000,807.180000,376.020000,486.070000,338.000000,721.310000,434.000000
615.780000,322.010000,807.340000,376.040000,486.230000,337.990000,721.150000,434.000000
615.860000,322.010000,807.280000,376.040000,486.460000,338.000000,721.170000,434.000000
616.200000,322.020000,807.280000,376.060000,486.810000,338.000000,721.170000,434.020000
615.990000,322.010000,807.370000,376.060000,486.640000,337.990000,721.050000,434.010000
615.780000,322.010000,807.220000,376.020000,486.600000,338.000000,721.020000,433.990000
615.760000,322.010000,807.190000,376.030000,486.420000,338.000000,721.060000,434.000000
615.750000,322.010000,807.230000,376.040000,486.150000,338.000000,721.020000,433.990000
616.020000,322.030000,807.220000,376.060000,486.190000,338.000000,721.070000,433.990000
616.070000,322.020000,807.320000,376.060000,486.320000,338.000000,721.150000,433.980000
615.900000,322.020000,807.260000,376.040000,486.210000,338.000000,721.100000,433.980000
615.940000,322.020000,807.200000,376.050000,486.420000,337.990000,721.030000,433.980000
615.450000,322.000000,807.180000,376.030000,486.290000,338.000000,721.130000,433.990000
615.220000,322.000000,807.130000,376.010000,486.140000,337.990000,721.020000,433.990000
615.190000,321.990000,807.160000,376.030000,486.290000,338.000000,720.950000,433.980000
614.440000,321.980000,806.910000,375.980000,485.980000,338.000000,721.010000,433.990000
614.760000,321.990000,807.120000,376.000000,486.200000,338.000000,721.000000,433.990000
614.640000,321.980000,807.040000,376.000000,486.250000,338.000000,721.010000,434.000000
614.460000,321.990000,807.030000,375.980000,486.170000,338.010000,721.000000,434.000000
614.100000,321.980000,807.010000,375.970000,486.140000,338.010000,720.910000,434.000000
614.070000,321.980000,807.050000,375.990000,486.340000,338.000000,720.940000,433.980000
614.120000,321.980000,807.030000,375.990000,486.120000,338.010000,721.030000,434.000000
614.420000,321.990000,807.070000,375.980000,486.090000,338.010000,720.920000,433.990000
614.440000,321.980000,807.050000,375.980000,486.090000,338.000000,720.920000,433.990000
614.610000,321.990000,807.070000,375.980000,485.950000,338.000000,720.900000,434.000000
614.790000,321.990000,807.130000,375.990000,486.050000,338.000000,720.710000,434.010000
614.170000,321.990000,807.020000,375.950000,486.010000,338.010000,720.830000,434.010000
614.460000,321.990000,807.080000,375.980000,485.950000,338.010000,720.790000,434.010000
614.530000,321.980000,807.030000,375.980000,486.020000,338.010000,720.760000,434.000000
614.750000,321.990000,807.090000,375.990000,486.080000,338.010000,720.890000,434.000000
614.700000,321.980000,807.120000,375.990000,486.150000,338.010000,720.950000,434.020000
615.030000,321.980000,807.290000,376.000000,486.320000,338.010000,721.030000,434.020000
615.000000,321.980000,807.260000,376.010000,486.400000,338.020000,720.930000,434.020000
614.710000,321.980000,807.120000,375.980000,485.940000,338.010000,720.730000,434.010000
614.560000,321.980000,807.070000,375.980000,485.980000,338.010000,720.560000,434.000000
614.770000,321.990000,807.130000,375.990000,486.020000,338.010000,720.400000,434.020000
614.480000,321.990000,807.030000,375.970000,485.990000,338.010000,720.530000,434.020000
614.810000,321.980000,807.220000,376.000000,486.210000,338.010000,720.770000,434.010000
