pt1_dltres,pt2_dltres
1.349413,0.502807
0.587895,0.920960
0.928319,2.259088
1.260130,0.913185
0.224660,3.227016
5.597965,4.624681
4.773455,3.399008
3.512357,1.992733
2.202173,0.488087
0.830911,0.566435
0.705868,0.581537
0.443094,1.941582
1.217484,2.999032
0.273866,2.915483
0.453947,1.845164
0.596154,1.808466
1.696887,1.447978
0.115123,1.202912
0.582339,0.565316
0.248055,0.959999
0.074582,0.837876
0.011781,1.898497
0.095379,0.415932
1.178810,2.403841
1.323039,0.248644
0.133492,1.983207
0.218065,3.177553
0.425540,0.536186
0.543973,2.167815
0.741016,1.507389
2.833492,0.853052
2.367637,1.076752
1.535052,1.933700
1.072962,1.137798
0.756082,1.095784
0.591264,0.890593
0.284434,0.453792
0.051823,0.102890
0.181081,0.221447
0.595019,0.526513
1.777645,2.141210
1.114888,1.726852
2.381168,2.623430
3.735074,2.480801
0.703361,1.313638
1.297523,4.447627
1.701373,3.342562
1.933396,3.842459
2.127855,3.880965
1.409108,0.995559
2.828930,0.571456
0.996249,0.261385
1.087168,1.555729
0.540782,1.972103
1.304001,0.364602
0.536145,1.541349
1.476969,2.727929
2.453338,1.025619
0.029190,0.537715
1.414136,1.931496
1.290392,1.511586
1.954756,2.066085
0.633019,0.729933
1.369664,0.001008
2.600762,0.335569
1.180982,1.848913
0.732056,2.001653
0.680024,1.794321
0.987249,2.984247
0.147068,1.555543
0.267767,1.402200
0.501260,1.026041
4.513428,3.203918
4.568570,1.857905
0.228156,0.679721
0.503429,2.000645
1.360383,1.174247
4.382548,1.224759
3.553481,1.605813
3.070935,2.710514
7.531010,0.048796
3.711706,1.969747
0.879712,0.106516
0.848488,1.016367
2.183901,3.988148
0.769607,0.608174
0.969753,0.186542
0.316227,0.388296
1.759980,2.755396
0.806967,0.504134
1.042972,2.170759
0.569991,3.294211
0.827795,3.255571
2.315328,1.271085
1.805035,0.103139
1.507146,3.643595
1.165154,2.708071
0.506582,1.345215
0.959636,2.238245
1.508256,0.167385
1.423824,1.982334
0.434007,2.133767
1.425542,2.410493
0.375264,0.983921
1.007166,0.187696
0.073872,0.047913
0.281296,0.959927
1.866853,0.274453
2.155959,0.104427
3.570916,1.219848
2.502488,1.969909
0.965777,1.485793
0.892894,2.007437
0.086816,1.167523
1.280491,2.351795
1.149281,2.098068
0.980003,0.235194
1.657194,1.474581
0.638210,2.063255
0.721588,3.144266
