pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
54.881336,-17.076910,-8.301984,33.239351,-19.884871,13.913971
54.839413,-16.983147,-8.160816,33.184260,-19.874083,13.949490
54.802640,-17.027470,-8.254650,33.204689,-19.885752,13.961074
54.756688,-17.100118,-8.412362,33.206364,-19.878475,13.967662
54.690470,-17.177008,-8.580422,33.197270,-19.889174,13.947782
54.717231,-17.206527,-8.621204,33.166301,-19.880337,13.975644
54.721741,-17.159143,-8.535615,33.195966,-19.646236,13.836445
54.730324,-17.142148,-8.505613,33.195315,-19.659656,13.816907
54.689455,-17.119956,-8.476313,33.199037,-19.888303,13.970502
54.686474,-17.084494,-8.410827,33.193554,-19.887135,13.982154
54.605269,-16.998722,-8.289463,33.190318,-19.858499,13.995251
54.583413,-17.041790,-8.370844,33.196841,-19.871731,13.992345
54.550467,-17.076335,-8.447507,33.211454,-19.864052,13.985872
54.540955,-17.085825,-8.468735,33.193650,-19.855177,13.986304
54.548735,-17.079315,-8.463489,33.196924,-19.881259,13.945685
54.567526,-17.123442,-8.534403,33.226082,-19.871720,13.972737
54.546556,-17.101052,-8.502593,33.243200,-19.880483,13.969960
54.554330,-16.906035,-8.647464,33.230953,-19.856564,13.996803
54.538573,-16.875235,-8.613054,33.244679,-19.841216,14.028781
54.532691,-16.870149,-8.613143,33.229259,-19.833964,14.031716
54.538335,-16.889660,-8.630041,33.206310,-19.856159,13.991246
54.548423,-16.872290,-8.593653,33.202881,-19.847958,13.986288
54.560520,-16.862028,-8.572544,33.194823,-19.865608,13.977371
54.552117,-16.878831,-8.602044,33.201464,-19.873536,13.960991
54.542538,-16.914824,-8.680566,33.202055,-19.884406,13.951041
54.479530,-16.937388,-8.743374,33.191910,-19.876138,13.946197
54.453847,-16.934651,-8.742606,33.176709,-19.856859,13.952263
54.454000,-16.937645,-8.738124,33.168752,-19.876137,13.938150
54.450012,-17.145821,-8.626547,33.159188,-19.879109,13.931867
54.481615,-17.146063,-8.602847,33.163512,-19.877924,13.937757
54.541856,-17.040652,-8.386186,33.164472,-19.854854,13.972204
54.592915,-17.015727,-8.325800,33.171462,-19.876889,13.949178
54.626193,-16.996574,-8.273032,33.176414,-19.887349,13.936941
54.686684,-17.025543,-8.303094,33.186299,-19.888992,13.958039
54.754144,-17.074045,-8.366847,33.186814,-19.883770,13.994984
54.734221,-17.065547,-8.358021,33.184132,-19.880835,13.964947
54.758498,-17.050831,-8.319239,33.177051,-19.870262,13.960647
54.836518,-17.041224,-8.270674,33.183241,-19.881403,13.938388
54.938168,-16.959474,-8.078131,33.193940,-19.869138,13.961641
55.082960,-16.773527,-7.667384,33.204360,-19.848734,13.992303
55.132417,-16.876390,-7.356169,33.206757,-19.847832,13.999347
55.131266,-16.881720,-7.321199,33.208434,-19.840555,14.005935
55.109163,-16.894458,-7.340747,33.222592,-19.807023,14.058962
55.118293,-16.874237,-7.334754,33.274954,-19.748808,14.171314
55.101560,-16.848355,-7.299622,33.304902,-19.738848,14.208577
55.153870,-16.359380,-7.320112,33.840565,-20.143644,12.955104
54.979713,-16.332791,-7.380988,34.258161,-20.711721,12.552080
54.788591,-16.319968,-7.424171,34.366172,-20.793593,12.462969
54.899084,-16.275839,-8.085455,34.381378,-20.808405,12.451114
54.766708,-16.128916,-8.311890,34.379829,-20.808347,12.462193
54.545655,-15.927085,-8.508466,34.311726,-20.761251,12.513133
54.365352,-15.956952,-8.635813,34.301130,-20.806309,12.450311
54.312233,-15.695773,-8.657316,34.280313,-20.812440,12.431990
54.273051,-15.718422,-8.721535,34.280501,-20.799030,12.451280
54.225103,-15.638007,-8.585463,34.263348,-20.769936,12.474021
54.263820,-15.439047,-8.678321,34.252983,-20.771139,12.470611
54.230359,-15.217703,-8.783557,34.292026,-20.749077,12.511833
54.042728,-15.170175,-8.795392,34.368023,-20.918620,12.726613
53.887784,-14.886314,-8.816703,34.510318,-20.803874,12.958833
53.381088,-14.686478,-8.591506,36.197692,-20.150899,14.697325
52.963858,-14.412957,-8.732394,37.057990,-19.201063,15.992363
52.661294,-14.461548,-8.919044,37.892719,-18.335777,17.121776
52.439678,-14.217961,-9.019842,38.510497,-17.329608,17.245584
52.269928,-14.196238,-9.038709,39.050363,-16.760640,17.568150
52.218672,-14.153250,-8.974029,38.958653,-17.158305,16.349370
52.312410,-14.161084,-8.966755,39.230944,-16.691315,15.881203
52.536670,-14.204014,-8.968652,38.529945,-16.555285,16.788504
52.862677,-14.228021,-8.892931,37.939285,-16.529425,15.686898
53.115149,-14.142041,-8.640816,37.598745,-16.437727,15.275953
53.423212,-14.092273,-8.417347,37.247366,-16.260811,15.067943
53.678030,-14.203600,-8.049877,36.958135,-16.011427,14.962869
53.894748,-14.009653,-7.405346,36.260618,-16.075801,13.111298
54.014971,-13.907903,-7.131882,34.978991,-17.846362,10.422464
54.133929,-13.863894,-7.015313,34.773356,-17.673374,10.223107
54.399083,-13.919009,-7.027878,34.525596,-17.477651,10.125565
