pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
365.872710,315.531889,549.804787,249.833133,269.151708,292.234048,439.586843,198.535943
366.350000,317.950000,549.590000,251.960000,268.890000,292.040000,445.063511,201.958860
367.720000,317.910000,550.230000,253.980000,269.660000,290.190000,445.280000,201.960000
368.790000,319.950000,550.640000,256.020000,270.870000,288.100000,448.700000,202.180000
368.170000,321.970000,553.227704,257.363551,271.800000,286.060000,450.160000,201.940000
375.456879,329.223559,552.543121,264.209386,273.440000,287.960000,452.770000,202.070000
378.900000,333.000000,553.010000,266.110000,276.560000,292.020000,464.916433,204.012611
381.618131,339.492312,554.596871,273.793555,278.810000,294.100000,471.077684,208.120112
384.710000,344.930000,557.090000,278.010000,279.870000,298.020000,469.023934,208.804695
389.450000,351.020000,561.970000,285.950000,281.710000,301.950000,478.608103,218.388864
391.202300,350.445648,564.865624,288.854392,284.964846,306.337658,478.608103,222.496365
393.850000,353.980000,567.110000,293.010000,284.964846,311.466243,485.453938,230.711367
394.850000,356.070000,568.900000,296.980000,291.375577,316.594829,494.353523,236.872619
396.350000,358.010000,571.320000,301.000000,293.939870,323.005560,494.353523,244.403037
399.630000,360.000000,576.503543,299.807728,295.920000,327.040000,494.353523,246.456788
404.120000,362.020000,580.350000,299.960000,296.660000,331.020000,497.091857,251.248872
407.760000,364.020000,575.134376,304.599813,297.480000,331.060000,502.568525,253.987206
410.100000,365.990000,573.765209,305.284396,297.690000,329.050000,502.568525,253.987206
412.850000,367.980000,575.070000,306.950000,298.641073,331.931655,504.110000,255.950000
416.531889,375.775237,573.080626,310.761064,300.300000,336.000000,502.568525,263.571375
419.270223,377.144404,574.340000,313.150000,300.600000,339.970000,502.490000,266.100000
418.740000,379.010000,573.560000,313.130000,300.777984,337.487622,502.240000,266.070000
419.260000,379.000000,573.900000,313.060000,300.450000,339.000000,503.050000,266.000000
419.450000,378.950000,573.410000,312.950000,299.590000,339.020000,503.180000,266.020000
419.080000,381.040000,572.396042,318.291483,298.420000,337.000000,502.640000,266.040000
418.900000,382.970000,571.900000,320.060000,297.090000,337.020000,502.000000,265.990000
418.632794,385.679458,571.970000,322.000000,300.777984,337.487622,500.900000,265.990000
419.610000,387.950000,570.970000,324.050000,300.350602,337.915004,502.568525,262.202208
421.675387,396.632794,571.711459,331.298569,299.575393,349.111935,500.514775,271.786377
422.750000,397.010000,580.120000,338.890000,299.005550,349.111935,499.830191,274.524711
428.369093,394.198719,579.926461,335.452643,299.390000,349.050000,499.830191,275.209295
429.586130,392.981682,579.040000,334.980000,300.030000,349.040000,504.622276,276.578462
429.920000,393.020000,576.710000,334.970000,299.730000,345.080000,506.676026,274.524711
430.050000,393.110000,580.020000,334.980000,300.200000,344.960000,508.740000,274.880000
429.880000,390.940000,582.100000,331.030000,300.730000,343.020000,510.820000,272.970000
429.770000,388.960000,584.680000,327.070000,300.170000,339.100000,511.990000,270.980000
426.543537,380.202790,587.120000,322.980000,300.000000,335.050000,511.468111,263.571375
427.760574,371.075010,594.987298,314.230554,300.390000,329.000000,515.575612,261.517625
