pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y,pt3_cam1_X,pt3_cam1_Y,pt3_cam2_X,pt3_cam2_Y
587.055221,382.417302,652.315416,335.832643,463.145608,326.966038,622.279885,283.496922,NaN,NaN,NaN,NaN
586.870000,381.990000,651.960000,335.980000,463.010000,327.000000,622.020000,283.000000,NaN,NaN,NaN,NaN
586.950000,382.000000,651.940000,335.980000,463.050000,327.000000,621.990000,283.010000,NaN,NaN,NaN,NaN
587.340000,382.010000,651.950000,336.010000,463.160000,326.990000,622.020000,282.980000,NaN,NaN,NaN,NaN
587.450000,382.020000,651.970000,336.010000,463.010000,326.990000,622.010000,283.010000,NaN,NaN,NaN,NaN
586.470000,381.990000,652.000000,336.000000,462.760000,327.000000,621.960000,283.020000,NaN,NaN,NaN,NaN
586.740000,381.990000,651.990000,336.010000,462.920000,326.980000,621.960000,282.980000,NaN,NaN,NaN,NaN
586.700000,381.990000,651.980000,336.020000,462.750000,327.000000,621.940000,283.030000,NaN,NaN,NaN,NaN
586.660000,381.990000,651.970000,336.010000,462.840000,326.980000,621.860000,283.020000,NaN,NaN,NaN,NaN
586.610000,381.990000,651.950000,336.000000,463.060000,326.980000,621.910000,283.000000,NaN,NaN,NaN,NaN
586.090000,381.980000,651.990000,336.000000,463.020000,326.990000,621.790000,282.920000,NaN,NaN,NaN,NaN
585.460000,381.990000,651.930000,335.970000,463.050000,326.990000,621.310000,282.920000,NaN,NaN,NaN,NaN
585.850000,381.980000,651.940000,335.970000,463.160000,326.980000,621.230000,282.870000,NaN,NaN,NaN,NaN
586.300000,384.000000,651.860000,335.970000,462.960000,327.000000,621.170000,282.890000,NaN,NaN,NaN,NaN
586.200000,384.010000,651.920000,335.980000,462.970000,326.990000,621.260000,282.940000,NaN,NaN,NaN,NaN
586.120000,383.970000,651.910000,335.980000,462.520000,329.040000,621.240000,282.870000,NaN,NaN,NaN,NaN
585.790000,383.960000,651.950000,336.000000,462.360000,329.030000,621.030000,285.020000,NaN,NaN,NaN,NaN
585.830000,383.980000,651.930000,336.010000,462.570000,329.020000,621.010000,284.980000,NaN,NaN,NaN,NaN
586.260000,383.990000,651.980000,336.010000,462.990000,329.020000,621.030000,284.960000,NaN,NaN,NaN,NaN
587.010000,383.990000,652.040000,336.000000,462.870000,329.030000,621.030000,284.980000,NaN,NaN,NaN,NaN
588.160000,383.990000,652.070000,335.960000,462.900000,329.050000,621.320000,285.000000,NaN,NaN,NaN,NaN
588.340000,384.000000,652.110000,335.940000,462.780000,329.060000,621.900000,284.980000,NaN,NaN,NaN,NaN
588.470000,384.010000,652.110000,335.940000,462.860000,329.050000,621.980000,285.010000,NaN,NaN,NaN,NaN
588.990000,384.010000,652.100000,335.960000,462.970000,329.060000,622.010000,285.020000,NaN,NaN,NaN,NaN
588.140000,384.000000,652.100000,335.950000,462.830000,329.050000,621.960000,285.020000,NaN,NaN,NaN,NaN
587.380000,383.990000,652.080000,335.950000,463.320000,327.040000,621.840000,284.920000,NaN,NaN,NaN,NaN
587.830000,383.980000,652.070000,335.960000,464.190000,327.010000,621.960000,284.950000,NaN,NaN,NaN,NaN
587.310000,383.980000,652.050000,335.950000,464.420000,327.050000,621.970000,284.970000,NaN,NaN,NaN,NaN
586.380000,383.990000,652.070000,335.990000,465.200000,325.070000,622.110000,282.910000,NaN,NaN,NaN,NaN
585.640000,383.980000,651.990000,336.000000,466.170000,325.020000,623.091243,280.657168,NaN,NaN,NaN,NaN
584.980000,384.000000,651.830000,336.040000,466.990000,325.040000,623.460000,280.930000,NaN,NaN,NaN,NaN
584.400000,384.010000,651.770000,335.990000,467.680000,325.050000,624.000000,281.020000,NaN,NaN,NaN,NaN
584.560000,385.960000,646.838748,339.027366,467.950000,325.050000,624.250000,280.970000,NaN,NaN,NaN,NaN
584.750000,387.940000,645.770000,339.000000,468.920000,323.040000,626.990000,280.990000,NaN,NaN,NaN,NaN
584.960000,389.980000,644.850000,340.990000,470.030000,323.020000,628.230000,280.990000,NaN,NaN,NaN,NaN
585.510000,391.980000,643.910000,341.020000,470.770000,323.040000,629.870000,280.900000,NaN,NaN,NaN,NaN
586.070000,393.990000,642.731247,342.678478,471.650000,323.060000,631.100000,280.920000,NaN,NaN,NaN,NaN
585.520000,394.010000,642.310000,342.990000,472.620000,323.040000,632.100000,280.890000,NaN,NaN,NaN,NaN
584.200000,393.980000,641.800000,342.980000,473.260000,323.040000,633.040000,280.920000,NaN,NaN,NaN,NaN
583.450000,393.970000,640.140000,345.000000,473.730000,323.040000,634.010000,280.930000,NaN,NaN,NaN,NaN
583.080000,393.980000,639.170000,345.020000,474.130000,323.030000,634.960000,280.950000,NaN,NaN,NaN,NaN
582.030000,394.030000,638.180000,346.990000,475.680000,321.070000,635.670000,280.970000,NaN,NaN,NaN,NaN
581.410000,394.010000,637.570000,347.040000,477.170000,321.040000,636.160000,281.000000,NaN,NaN,NaN,NaN
581.150000,394.010000,637.020000,346.990000,477.300000,323.000000,637.690000,282.950000,NaN,NaN,NaN,NaN
580.310000,394.000000,636.400000,346.980000,477.570000,323.020000,640.690000,284.920000,NaN,NaN,NaN,NaN
579.780000,394.020000,636.341801,344.047645,477.600000,323.000000,645.403594,286.336676,NaN,NaN,NaN,NaN
580.080000,395.950000,635.760000,343.960000,478.340000,321.030000,648.243348,281.468527,NaN,NaN,NaN,NaN
580.330000,397.910000,635.120000,343.950000,478.960000,321.010000,648.300000,280.940000,NaN,NaN,NaN,NaN
581.460000,399.960000,634.972634,347.242368,479.870000,321.010000,648.410000,280.950000,NaN,NaN,NaN,NaN
582.090000,401.990000,633.603467,349.980702,480.800000,321.020000,648.400000,280.990000,NaN,NaN,NaN,NaN
581.060000,401.990000,633.440000,350.020000,481.600000,321.020000,648.100000,281.010000,NaN,NaN,NaN,NaN
579.960000,401.970000,632.920000,350.040000,481.980000,321.020000,647.820000,281.000000,NaN,NaN,NaN,NaN
579.210000,401.940000,631.750000,351.990000,482.240000,321.010000,647.200000,281.000000,NaN,NaN,NaN,NaN
578.410000,401.940000,630.900000,352.020000,482.780000,321.050000,646.390000,280.990000,NaN,NaN,NaN,NaN
578.010000,401.960000,630.160000,351.990000,482.900000,321.070000,645.830000,280.990000,NaN,NaN,NaN,NaN
577.420000,401.990000,629.600000,352.000000,491.213531,326.281455,647.026311,289.987788,NaN,NaN,NaN,NaN
576.270000,402.040000,629.030000,351.960000,493.267282,330.388956,647.026311,293.233221,NaN,NaN,NaN,NaN
575.650000,402.040000,628.120000,353.980000,495.910000,331.960000,647.190000,292.970000,NaN,NaN,NaN,NaN
577.471052,406.377724,627.620000,354.010000,498.760000,334.060000,646.780000,294.970000,NaN,NaN,NaN,NaN
576.760000,406.010000,627.370000,353.990000,493.267282,330.388956,647.026311,293.233221,NaN,NaN,NaN,NaN
576.450000,406.040000,627.160000,353.980000,493.270000,330.000000,647.100000,292.930000,NaN,NaN,NaN,NaN
576.200000,405.960000,626.950000,353.970000,492.740000,329.920000,647.000000,292.870000,NaN,NaN,NaN,NaN
576.430000,405.960000,627.000000,353.950000,491.960000,331.980000,646.350000,294.930000,NaN,NaN,NaN,NaN
578.220000,405.980000,627.450000,354.000000,492.070000,337.930000,644.920000,296.970000,NaN,NaN,NaN,NaN
580.130000,405.980000,628.630000,353.940000,491.730000,342.020000,643.670000,298.990000,NaN,NaN,NaN,NaN
581.070000,405.980000,630.260000,353.990000,490.070000,342.000000,641.670000,301.000000,NaN,NaN,NaN,NaN
581.870000,405.980000,631.150000,354.020000,489.210000,344.000000,642.563840,302.158161,NaN,NaN,NaN,NaN
581.760000,406.000000,631.670000,353.980000,488.030000,345.970000,642.960000,302.040000,NaN,NaN,NaN,NaN
582.200000,405.990000,632.020000,353.990000,486.660000,346.000000,642.870000,302.020000,NaN,NaN,NaN,NaN
582.040000,406.010000,632.170000,353.970000,485.380000,345.930000,642.760000,302.030000,NaN,NaN,NaN,NaN
580.300000,406.000000,632.010000,353.950000,484.510000,345.960000,642.770000,302.020000,NaN,NaN,NaN,NaN
579.150000,406.010000,631.920000,353.990000,484.630000,345.980000,642.430000,302.020000,NaN,NaN,NaN,NaN
576.850000,405.980000,631.020000,354.000000,484.820000,346.020000,640.280000,303.970000,NaN,NaN,NaN,NaN
574.100000,405.970000,632.234300,354.544592,483.810000,347.950000,636.072975,304.186557,NaN,NaN,NaN,NaN
570.700000,406.020000,629.790000,354.980000,481.630000,348.020000,632.421863,302.969520,NaN,NaN,NaN,NaN
577.471052,411.854392,626.301243,359.108482,480.760000,346.020000,631.920000,302.990000,NaN,NaN,NaN,NaN
576.130000,412.000000,626.070000,358.980000,480.480000,344.050000,632.421863,302.969520,NaN,NaN,NaN,NaN
575.410000,412.030000,626.120000,359.000000,479.920000,341.980000,636.884333,302.969520,NaN,NaN,NaN,NaN
574.770000,411.950000,626.010000,358.990000,479.060000,343.920000,636.680000,302.980000,NaN,NaN,NaN,NaN
573.970000,413.950000,625.930000,359.010000,476.340000,345.920000,634.730000,304.940000,NaN,NaN,NaN,NaN
573.040000,416.010000,626.301243,359.108482,467.937692,350.241877,631.850000,306.930000,NaN,NaN,NaN,NaN
573.410000,416.030000,627.670410,360.477649,463.830191,349.557294,626.336676,312.300139,NaN,NaN,NaN,NaN
574.520000,416.040000,629.530000,360.020000,462.461024,353.664795,623.091243,311.083102,NaN,NaN,NaN,NaN
575.250000,416.030000,632.234300,363.215983,460.500000,357.970000,622.240000,312.970000,NaN,NaN,NaN,NaN
575.610000,415.980000,632.220000,363.030000,459.100000,360.060000,621.300000,314.920000,NaN,NaN,NaN,NaN
575.930000,418.070000,632.840000,363.000000,457.360000,362.100000,619.890000,317.010000,NaN,NaN,NaN,NaN
575.870000,418.100000,633.450000,363.020000,455.530000,363.980000,617.006056,318.791005,NaN,NaN,NaN,NaN
575.550000,418.040000,633.110000,362.990000,452.730000,367.980000,613.970000,321.010000,NaN,NaN,NaN,NaN
575.000000,418.040000,632.730000,363.000000,454.246022,372.148549,611.220000,323.010000,NaN,NaN,NaN,NaN
575.140000,416.080000,635.390000,363.040000,453.380000,372.060000,609.940000,325.020000,NaN,NaN,NaN,NaN
574.860000,416.040000,635.960000,363.030000,452.710000,372.180000,610.911438,323.793090,NaN,NaN,NaN,NaN
574.380000,416.010000,636.120000,363.030000,451.940000,372.040000,611.030000,323.990000,NaN,NaN,NaN,NaN
573.450000,416.010000,635.880000,363.010000,450.520000,372.000000,610.270000,324.050000,NaN,NaN,NaN,NaN
572.640000,416.000000,636.500000,365.000000,449.640000,371.930000,608.820000,324.020000,NaN,NaN,NaN,NaN
572.600000,416.070000,638.580000,367.000000,449.930000,372.030000,608.230000,324.020000,NaN,NaN,NaN,NaN
