pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z
45.160726,-20.009522,-5.722433,20.711507,-18.718840,12.012582,NaN,NaN,NaN
45.099450,-20.045761,-5.746859,20.652836,-18.788286,11.971836,NaN,NaN,NaN
45.111018,-20.057782,-5.766566,20.656524,-18.795359,11.958416,NaN,NaN,NaN
45.176122,-20.103998,-5.833532,20.674501,-18.810854,11.947828,NaN,NaN,NaN
45.195704,-20.115497,-5.848717,20.652124,-18.788998,11.970255,NaN,NaN,NaN
45.038472,-19.985337,-5.666564,20.610773,-18.760239,11.999216,NaN,NaN,NaN
45.081720,-20.021230,-5.716576,20.633124,-18.787470,11.974206,NaN,NaN,NaN
45.074774,-20.015763,-5.711976,20.607846,-18.759850,11.996302,NaN,NaN,NaN
45.067190,-20.012820,-5.707387,20.613671,-18.782938,11.964542,NaN,NaN,NaN
45.057198,-20.009675,-5.703490,20.650365,-18.808220,11.939798,NaN,NaN,NaN
44.975982,-19.936699,-5.601383,20.631418,-18.825029,11.918011,NaN,NaN,NaN
44.868527,-19.862344,-5.505886,20.593833,-18.880185,11.803130,NaN,NaN,NaN
44.932238,-19.914135,-5.571397,20.601523,-18.909946,11.767286,NaN,NaN,NaN
45.036473,-19.797254,-5.812055,20.567258,-18.886495,11.785098,NaN,NaN,NaN
45.025515,-19.774946,-5.780406,20.578110,-18.872800,11.804875,NaN,NaN,NaN
45.011028,-19.769095,-5.765960,20.539431,-18.643232,11.733825,NaN,NaN,NaN
44.961208,-19.718969,-5.697295,20.566660,-18.377931,11.717450,NaN,NaN,NaN
44.966799,-19.723461,-5.710645,20.594920,-18.412788,11.678931,NaN,NaN,NaN
45.040545,-19.774222,-5.774847,20.658978,-18.466838,11.614391,NaN,NaN,NaN
45.166426,-19.868738,-5.892326,20.641799,-18.448109,11.633490,NaN,NaN,NaN
45.353884,-20.023881,-6.087803,20.672685,-18.416695,11.693684,NaN,NaN,NaN
45.385763,-20.044985,-6.110447,20.705048,-18.341033,11.845570,NaN,NaN,NaN
45.407030,-20.061424,-6.134089,20.724860,-18.339862,11.851501,NaN,NaN,NaN
45.491220,-20.129494,-6.228320,20.744457,-18.348574,11.839632,NaN,NaN,NaN
45.352869,-20.018151,-6.077611,20.718936,-18.336917,11.851872,NaN,NaN,NaN
