pt1_dltres,pt2_dltres,pt3_dltres
0.727358,1.476507,NaN
0.264226,1.147947,NaN
0.265067,1.162152,NaN
0.240582,1.145526,NaN
0.247950,1.163658,NaN
0.269146,1.165319,NaN
0.252025,1.155795,NaN
0.244149,1.175920,NaN
0.250701,1.200725,NaN
0.255697,1.184282,NaN
0.271685,1.142834,NaN
0.307909,1.236564,NaN
0.291206,1.227044,NaN
1.664370,1.232667,NaN
1.678117,1.257692,NaN
1.650863,0.178602,NaN
1.646576,1.383965,NaN
1.648368,1.373241,NaN
1.651924,1.369241,NaN
1.648207,1.372675,NaN
1.648839,1.318502,NaN
1.672323,1.181876,NaN
1.675448,1.197049,NaN
1.643883,1.195293,NaN
1.669133,1.206977,NaN
1.680814,2.524228,NaN
1.651592,2.571714,NaN
1.670384,2.564851,NaN
1.679462,2.435291,NaN
1.672244,0.717400,NaN
1.647070,0.853162,NaN
1.695996,0.828717,NaN
0.056575,0.753966,NaN
1.138045,1.616888,NaN
0.946589,1.426999,NaN
2.130638,1.056430,NaN
2.103413,0.848050,NaN
1.831058,0.678732,NaN
1.761895,0.539004,NaN
0.014031,0.373587,NaN
0.160184,0.223472,NaN
1.698717,1.462103,NaN
1.842360,1.458567,NaN
1.899385,1.235082,NaN
1.988072,2.041415,NaN
0.148294,2.141565,NaN
1.445889,0.514292,NaN
2.700753,0.864790,NaN
1.698304,0.848726,NaN
0.875761,0.794116,NaN
0.846746,0.694950,NaN
0.755106,0.634890,NaN
0.865595,0.498991,NaN
1.018539,0.357094,NaN
1.105572,0.257468,NaN
1.176429,2.680881,NaN
1.182942,2.301935,NaN
2.789283,1.119685,NaN
0.091598,1.303433,NaN
0.177399,2.301935,NaN
0.178258,2.333223,NaN
0.258060,2.345836,NaN
0.241045,2.526190,NaN
0.232219,0.263912,NaN
0.029625,0.820882,NaN
0.201806,0.944771,NaN
0.318204,0.225121,NaN
0.457970,1.293366,NaN
0.494527,1.353685,NaN
0.554521,1.319043,NaN
0.581609,1.375432,NaN
0.575526,1.320830,NaN
0.449250,0.445767,NaN
0.344088,0.065762,NaN
0.279994,0.223016,NaN
0.019700,1.205323,NaN
0.210455,2.412150,NaN
0.245770,2.935538,NaN
0.194633,1.652460,NaN
1.593759,1.979509,NaN
3.061692,0.763378,NaN
2.319718,5.923751,NaN
2.957475,2.869824,NaN
1.103018,1.404100,NaN
1.190026,1.506579,NaN
2.779198,1.817347,NaN
2.895164,2.286016,NaN
2.823056,1.629472,NaN
2.763128,0.774759,NaN
1.827605,2.463795,NaN
1.915259,1.317735,NaN
1.935355,1.506951,NaN
1.931950,1.673048,NaN
0.621554,1.938122,NaN
0.401099,1.987065,NaN
2.632959,1.722316,NaN
0.030664,1.822590,NaN
0.264251,1.853737,NaN
0.299828,2.726632,NaN
0.242740,2.789928,NaN
0.070705,2.236573,NaN
0.065154,2.904844,NaN
0.269590,1.637469,NaN
0.712127,0.524308,NaN
1.857473,2.989835,NaN
1.812267,0.315269,NaN
1.803131,0.830193,NaN
0.118749,0.222045,NaN
1.318745,2.539331,NaN
2.891796,1.221348,NaN
2.367643,1.053576,NaN
0.603168,0.879890,NaN
0.716249,0.690827,NaN
0.848064,0.578352,NaN
0.220082,0.433040,NaN
2.968494,1.762043,NaN
0.995990,1.340824,NaN
2.435277,2.810038,NaN
1.506030,1.989315,NaN
1.918270,2.317973,NaN
0.788657,2.886621,NaN
0.663699,2.755527,NaN
1.848836,2.679595,NaN
0.257021,2.850506,NaN
2.932936,0.925474,NaN
2.733562,1.399023,NaN
3.213801,2.255589,NaN
3.148085,2.571239,NaN
2.105174,2.681565,NaN
2.851671,2.904792,NaN
3.097894,2.928882,NaN
2.101345,2.045778,NaN
0.286408,1.427385,NaN
2.115071,1.709941,NaN
0.409237,1.760318,NaN
0.026587,0.173209,NaN
0.714310,1.282358,NaN
1.415004,1.395615,NaN
1.726992,1.119385,NaN
0.420176,0.068445,NaN
1.223498,0.181474,NaN
0.340511,0.214954,NaN
0.207428,0.055414,NaN
0.876694,1.915827,NaN
0.576782,1.976860,NaN
1.918657,1.472530,NaN
1.266978,2.982806,NaN
1.483788,0.404873,NaN
1.403920,0.830285,NaN
1.287564,0.812792,NaN
2.353692,1.047328,NaN
1.073244,0.786715,NaN
0.514911,2.501063,NaN
0.143125,2.587605,NaN
1.397174,2.840589,NaN
2.968527,1.411834,NaN
1.715251,2.918259,NaN
1.120670,0.489734,NaN
1.138233,0.360541,NaN
1.219874,0.395892,NaN
0.217664,0.422825,NaN
0.332804,1.961599,NaN
0.364737,2.070350,NaN
0.385160,0.511083,NaN
0.759389,0.793546,NaN
0.394459,0.691651,NaN
0.543664,0.768801,NaN
1.014038,0.651470,NaN
0.778879,0.670651,NaN
0.851744,0.646982,NaN
0.755679,0.624812,NaN
0.967525,0.844698,NaN
0.980546,0.375118,NaN
1.444325,0.213727,NaN
0.412576,0.094493,NaN
0.112638,0.366944,NaN
0.156672,0.534245,NaN
2.241117,1.634763,NaN
2.335329,2.236130,NaN
2.377642,2.248994,NaN
1.546634,1.930284,NaN
1.024875,2.071602,NaN
0.379311,1.982145,NaN
1.532585,1.951953,NaN
0.097279,0.642014,NaN
0.162721,0.550475,NaN
0.205567,0.399987,NaN
1.420378,0.419844,NaN
1.322796,0.385844,NaN
0.353475,0.513919,NaN
0.431444,0.621763,NaN
0.455706,2.251534,NaN
2.034884,2.404950,NaN
0.129188,2.305552,NaN
1.610797,0.867339,NaN
0.393822,0.794960,NaN
0.653682,0.822313,NaN
0.506262,0.780651,NaN
1.661201,0.904865,NaN
1.483715,1.060425,NaN
1.683670,1.063331,NaN
0.107818,1.082943,NaN
0.394447,2.727853,NaN
0.626977,2.932479,NaN
0.773567,1.560051,NaN
1.923322,1.524619,NaN
2.525996,1.468095,NaN
2.035439,1.486322,NaN
2.966371,2.819335,NaN
2.336385,1.092912,NaN
1.297909,1.181156,NaN
1.242705,1.487265,NaN
1.164384,1.528450,NaN
0.100459,1.435629,NaN
0.283009,1.384912,NaN
0.250304,1.317369,NaN
1.245405,1.044954,NaN
1.199168,0.924580,NaN
1.246798,0.708032,NaN
1.227549,0.556279,NaN
1.202911,0.900689,NaN
1.645304,2.358105,NaN
2.700406,1.926669,NaN
1.308412,1.509529,NaN
0.283128,0.009061,NaN
1.362989,1.334313,NaN
1.551901,2.894101,NaN
1.345823,2.926944,NaN
1.424284,2.971450,NaN
1.070518,1.494082,NaN
0.951272,1.279887,NaN
0.617838,2.559743,NaN
2.318959,4.576633,NaN
2.570835,2.692377,NaN
2.344619,3.999508,NaN
4.728281,2.772809,NaN
4.731573,2.293423,NaN
2.759727,2.291254,NaN
3.085404,2.436760,NaN
2.962979,0.314330,NaN
1.314658,0.878368,NaN
2.901702,0.959555,NaN
1.476187,0.945765,NaN
0.176200,0.793887,NaN
1.732821,0.857986,NaN
1.545221,0.999245,NaN
1.506014,1.026927,NaN
3.354682,0.754192,NaN
0.112519,1.103739,NaN
2.066060,1.223810,NaN
1.797972,1.173238,NaN
1.534480,2.623917,NaN
1.285750,0.936247,NaN
2.736247,0.914225,NaN
2.526862,2.051602,NaN
0.544049,1.695645,NaN
2.467800,1.992990,NaN
2.027893,1.908278,NaN
0.406007,1.958247,NaN
0.808056,0.661226,NaN
1.108703,0.674877,NaN
1.498871,2.128487,NaN
1.203905,2.093892,NaN
2.315080,0.401225,NaN
1.008581,0.100864,NaN
1.238696,0.152475,NaN
0.691602,0.325096,NaN
2.021050,0.974884,NaN
1.338922,0.908328,NaN
3.445434,1.424304,NaN
3.107539,2.938482,NaN
1.756151,2.159723,NaN
4.697780,1.675467,NaN
8.300489,3.120533,NaN
4.514107,3.735302,NaN
1.600906,3.902800,NaN
1.430374,0.851794,NaN
1.124446,2.191059,NaN
0.865838,0.577147,NaN
0.728568,0.371477,NaN
0.195441,0.023424,NaN
0.409818,0.069108,NaN
4.618019,0.228023,NaN
6.438646,0.213574,NaN
6.077530,2.127326,NaN
5.101291,0.937076,NaN
5.430998,0.209877,NaN
5.384468,1.648958,NaN
5.222570,1.698446,NaN
2.827377,1.566645,NaN
1.180847,0.755890,NaN
0.931665,0.873892,NaN
0.537803,1.354626,NaN
2.652985,1.792433,NaN
1.972244,2.069848,NaN
1.791673,0.710047,NaN
1.810102,1.040976,NaN
1.798209,1.338045,NaN
1.725381,0.053299,NaN
