pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
647.407690,500.626762,576.505064,454.675437,620.328609,478.720090,492.470744,438.741329
647.030000,500.850000,576.505064,455.081116,620.328609,478.720090,493.913159,436.818110
647.060000,500.820000,576.910743,454.675437,618.807312,477.503053,495.355573,435.375695
647.050000,500.920000,576.910743,454.675437,619.720090,477.807312,495.355573,435.375695
647.090000,500.810000,576.910743,454.675437,619.690000,478.240000,493.432354,436.337305
647.060000,500.720000,577.316422,455.081116,620.010000,478.480000,493.432354,436.337305
647.060000,500.890000,578.939138,455.081116,619.920000,478.710000,493.432354,437.298915
647.040000,500.910000,576.910743,455.081116,619.840000,478.940000,493.432354,437.298915
647.020000,501.060000,576.910743,454.269758,619.700000,479.150000,492.951549,437.779719
647.020000,501.120000,576.910743,454.675437,619.660000,479.020000,492.470744,438.741329
647.050000,500.990000,576.910743,454.675437,619.650000,478.950000,492.470744,438.741329
647.100000,500.900000,576.910743,454.675437,619.780000,478.550000,492.470744,439.222134
647.180000,500.680000,576.505064,455.081116,619.780000,478.370000,492.470744,438.741329
646.980000,500.830000,577.722101,453.864079,619.920000,478.270000,492.951549,437.298915
646.950000,501.140000,575.693705,455.081116,619.930000,478.540000,492.951549,437.298915
646.800000,501.590000,576.099384,455.892474,620.150000,478.170000,492.951549,437.298915
646.910000,501.720000,576.910743,456.298153,620.550000,477.690000,492.951549,437.298915
646.940000,501.700000,577.316422,455.892474,621.580000,476.190000,492.951549,435.856500
646.930000,501.830000,577.316422,455.892474,623.120000,473.870000,491.509134,431.529256
646.740000,502.210000,575.693705,457.109512,623.675462,472.026385,491.028329,429.606037
645.582134,504.277874,575.693705,457.109512,624.820000,470.520000,491.028329,427.202012
645.250000,505.620000,573.665310,460.354944,625.610000,469.850000,491.509134,425.759598
641.931022,506.407690,573.259631,460.354944,626.070000,469.300000,492.470744,424.797988
639.496947,508.233246,570.825556,461.977661,626.780000,468.960000,492.951549,424.317183
639.496947,508.233246,569.202840,463.194698,626.960000,468.980000,494.393963,424.317183
638.640000,508.880000,569.202840,463.194698,627.300000,468.760000,495.355573,425.759598
639.192688,509.146024,569.608519,463.600377,627.860000,468.620000,496.317183,425.759598
638.279910,511.580098,568.391481,464.817415,628.240000,468.160000,496.797988,425.278793
638.100000,512.980000,566.768765,465.223094,629.456389,471.722126,497.278793,424.797988
637.975650,511.884358,566.768765,465.223094,629.320000,472.790000,496.797988,424.797988
638.330000,511.210000,568.391481,464.817415,628.730000,473.660000,496.797988,427.682817
640.190000,510.830000,570.014198,464.006056,626.109536,475.677497,496.797988,430.086841
641.860000,509.910000,572.042593,462.789019,624.250000,477.370000,497.278793,438.260524
642.780000,508.930000,575.693705,460.760624,620.937128,482.979721,497.759598,442.106963
643.060000,508.140000,576.505064,458.732228,618.440000,485.870000,496.797988,444.991792
