pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
632.024350,513.182511,618.376254,460.617641,636.533459,509.430004,548.548736,464.268753
632.210000,512.750000,617.463476,460.617641,637.380000,508.680000,548.092347,463.355975
632.380000,512.560000,616.094309,460.161252,638.561855,506.995929,550.374292,460.617641
631.111572,513.486770,616.094309,460.161252,641.401608,503.344817,549.005125,457.422918
631.050000,513.440000,615.637920,459.248474,643.100000,500.680000,547.635958,454.684584
632.024350,511.965474,615.637920,458.792085,645.580000,497.590000,547.635958,451.946249
631.940000,511.500000,616.550698,458.335696,646.900000,495.350000,548.092347,449.207915
632.030000,511.470000,616.094309,455.597362,647.830000,493.300000,549.005125,447.838748
631.880000,511.530000,616.094309,455.597362,647.486795,493.608519,549.005125,446.013192
631.920000,512.010000,614.725142,455.140973,647.670000,493.050000,549.005125,445.100414
631.950000,512.000000,614.725142,456.053751,647.810000,492.250000,549.005125,443.731247
631.950000,512.000000,614.725142,456.053751,647.960000,491.710000,549.461514,442.362080
631.980000,512.000000,615.181531,456.510140,648.010000,491.040000,549.461514,442.362080
632.000000,512.000000,615.637920,456.510140,648.100000,490.530000,549.461514,442.362080
632.030000,512.010000,617.007087,457.879307,648.130000,490.860000,549.461514,442.362080
632.030000,512.020000,617.007087,457.879307,648.170000,490.880000,549.461514,442.362080
632.000000,512.020000,617.007087,457.879307,648.150000,490.830000,549.461514,442.362080
632.000000,512.030000,617.007087,457.879307,648.200000,490.730000,549.461514,442.362080
632.020000,512.040000,617.007087,457.879307,648.190000,490.620000,549.461514,442.362080
632.050000,512.030000,617.007087,457.879307,648.220000,490.390000,549.461514,442.362080
632.050000,512.010000,617.007087,457.879307,648.180000,490.670000,549.461514,442.362080
632.140000,512.010000,617.007087,457.879307,648.080000,491.460000,549.461514,443.274858
632.210000,512.000000,617.007087,457.879307,647.880000,493.890000,552.656237,448.751526
632.300000,511.980000,617.007087,457.879307,645.864079,497.259631,550.830681,453.771805
632.370000,512.010000,617.007087,457.879307,643.720000,500.320000,550.830681,457.422918
632.570000,511.960000,617.007087,457.879307,644.241362,503.750496,552.199848,460.617641
633.100000,511.970000,617.007087,457.879307,641.807288,504.967534,552.199848,460.617641
633.240000,511.890000,615.637920,459.248474,640.590250,506.590250,552.199848,460.617641
633.240000,511.760000,615.637920,459.248474,640.680000,507.500000,552.199848,461.986808
633.400000,511.700000,615.637920,459.248474,640.760000,507.550000,552.199848,463.355975
633.480000,511.710000,615.637920,459.248474,640.650000,507.820000,551.287070,463.355975
633.340000,511.710000,615.637920,459.248474,640.080000,508.210000,552.199848,462.899586
633.180000,511.630000,615.181531,459.248474,639.960000,508.550000,552.199848,462.899586
633.170000,511.460000,615.181531,459.248474,636.939138,508.618646,549.461514,464.268753
633.400000,510.900000,615.181531,459.248474,636.200000,509.030000,549.461514,464.268753
634.320000,509.950000,615.181531,459.248474,635.830000,509.130000,549.005125,464.268753
634.700000,509.110000,615.181531,459.248474,635.600000,509.110000,549.005125,464.268753
634.458424,511.052696,615.181531,459.248474,635.420000,509.120000,549.005125,464.268753
634.030000,511.640000,614.725142,459.704863,635.350000,509.140000,549.005125,464.268753
633.940000,511.620000,614.725142,459.704863,635.250000,509.100000,547.635958,464.725142
633.890000,511.660000,614.725142,459.704863,635.210000,509.120000,547.635958,465.181531
633.840000,511.660000,614.725142,459.704863,635.190000,509.110000,547.635958,465.181531
633.660000,511.770000,614.725142,459.704863,634.505064,509.024325,547.635958,465.181531
633.440000,511.810000,614.725142,459.704863,634.510000,509.010000,547.635958,465.181531
633.120000,511.800000,614.725142,459.704863,634.430000,509.020000,547.635958,465.181531
633.110000,511.930000,614.725142,459.704863,634.360000,509.090000,547.635958,465.181531
632.980000,511.950000,614.725142,459.704863,634.300000,509.090000,547.635958,465.181531
632.810000,511.920000,614.725142,460.161252,634.270000,509.000000,547.635958,465.181531
630.198794,512.878252,614.725142,462.899586,634.099384,509.024325,547.635958,465.181531
629.620000,513.130000,614.725142,465.637920,634.010000,508.900000,547.635958,465.181531
629.550000,513.160000,614.725142,465.637920,634.050000,508.830000,544.897624,463.355975
629.500000,513.040000,614.725142,465.637920,633.990000,508.920000,544.441235,463.812364
629.370000,513.160000,614.725142,465.637920,633.860000,508.980000,542.615679,464.268753
