pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z
51.046564,-8.745164,-13.463555,30.021526,-12.527016,8.518696,NaN,NaN,NaN
51.103425,-8.446603,-13.329688,29.516342,-11.784184,9.246058,NaN,NaN,NaN
51.098990,-8.438267,-13.372744,29.635162,-11.770455,9.148712,NaN,NaN,NaN
51.033752,-8.488284,-13.622490,29.607463,-11.720817,9.001562,NaN,NaN,NaN
50.691221,-7.856652,-13.363628,29.639555,-11.237044,8.873637,NaN,NaN,NaN
50.406834,-7.586980,-13.435306,29.662293,-11.155592,8.847719,NaN,NaN,NaN
50.381089,-7.553311,-13.648875,29.689264,-11.022671,8.832842,NaN,NaN,NaN
49.810139,-7.096064,-13.621178,30.065351,-11.303994,8.294863,NaN,NaN,NaN
49.694427,-7.137155,-14.149440,30.188280,-11.261873,8.114724,NaN,NaN,NaN
50.348122,-7.656426,-15.196367,30.141107,-10.866978,8.126991,NaN,NaN,NaN
50.176356,-7.547797,-15.247228,30.129536,-10.736800,8.052550,NaN,NaN,NaN
49.852525,-7.287313,-14.705269,30.250532,-11.030900,8.094269,NaN,NaN,NaN
50.041555,-7.320771,-15.194696,31.080689,-10.647283,6.761964,NaN,NaN,NaN
49.960515,-7.390985,-15.479874,31.120860,-10.499911,6.706984,NaN,NaN,NaN
49.886730,-7.440023,-15.772334,31.032140,-10.293012,7.165733,NaN,NaN,NaN
49.692660,-7.030342,-16.111094,31.446099,-10.510653,6.580543,NaN,NaN,NaN
49.515381,-6.939503,-16.311361,31.860185,-10.274804,6.288120,NaN,NaN,NaN
49.509509,-6.706642,-16.526990,32.045534,-10.644091,6.499332,NaN,NaN,NaN
49.423896,-6.731639,-16.933533,32.271868,-10.626087,6.621468,NaN,NaN,NaN
49.376436,-6.690977,-17.113859,32.703162,-10.707459,6.524453,NaN,NaN,NaN
49.333101,-6.739481,-17.240413,32.670723,-10.740531,6.457052,NaN,NaN,NaN
49.809999,-7.058304,-17.815444,32.644918,-10.211409,6.927759,NaN,NaN,NaN
50.016823,-7.504844,-18.147399,33.129463,-9.543490,6.240819,NaN,NaN,NaN
50.207958,-7.540559,-17.998234,32.910449,-9.343378,5.858160,NaN,NaN,NaN
50.437069,-8.061210,-17.550490,31.565990,-9.102018,3.640131,NaN,NaN,NaN
