pt1_dltres,pt2_dltres
4.193784,2.102244
3.855069,2.508612
3.647424,2.284706
3.971717,2.322149
5.317681,2.306029
5.259816,2.282319
7.036826,2.381806
6.863683,2.240491
6.436003,2.343125
6.313568,2.107377
6.249195,2.065721
6.495946,2.406268
6.458733,2.341862
6.410400,2.455656
6.859360,2.496011
6.750945,2.694906
6.743928,2.595418
8.153682,2.546270
7.914712,2.755800
8.245183,2.802555
8.070267,2.905858
8.321989,2.585245
7.691066,2.616480
7.561495,2.870960
7.565670,2.596256
7.584885,2.722427
7.433635,2.700921
7.505329,2.148578
7.679833,1.267672
8.915325,1.298202
8.435139,1.590721
8.422990,3.011705
9.296423,2.681279
8.670566,2.345804
9.249525,2.337327
10.080039,1.908905
10.393950,1.766485
10.224374,2.360052
11.592388,3.446340
10.018695,2.798346
10.078408,2.318871
9.955989,5.775167
9.519000,4.654071
9.417486,3.233126
10.543075,2.577396
10.229148,2.696419
10.749821,2.677536
10.917222,2.423395
11.640375,1.992337
12.001218,3.339907
11.600540,2.502653
12.508496,2.313611
10.108538,1.746817
10.673785,1.570069
11.780086,2.580231
11.728981,2.355223
11.778511,2.281269
11.783236,1.981299
11.795560,2.295452
12.159389,2.588853
12.080590,2.666832
11.578975,2.603541
11.543921,2.711950
11.550424,2.702658
11.486803,2.071330
12.197548,2.447891
11.621758,2.785078
12.294607,5.409857
10.818388,3.125483
10.955386,3.681863
10.629152,2.879500
10.212598,2.456954
10.296776,2.463875
11.091488,2.521133
11.425199,2.502599
11.256822,3.797025
10.625131,3.820796
10.170047,3.483867
11.041016,3.660967
11.018712,1.821866
11.974728,1.123427
11.491646,1.048971
11.182179,3.549532
11.442403,1.998052
11.860622,2.416968
11.766459,2.608033
11.489006,2.776928
12.135552,2.439511
11.958395,3.441800
11.812211,4.233016
11.734782,3.699490
10.760326,3.962708
11.679716,3.961205
10.660356,4.891999
11.079845,5.640040
10.840137,6.364194
10.840730,7.100190
10.095947,6.278971
10.257096,6.120757
10.202833,6.034363
10.541732,5.628991
8.899051,5.739510
8.208793,6.024849
7.392814,5.993035
7.677664,5.897683
6.446855,5.962592
6.409798,6.128097
6.759591,6.313896
6.671417,6.048649
7.271286,4.817131
6.123619,5.134215
5.758130,5.423127
5.206125,5.552613
5.333505,5.477299
5.653433,5.849287
5.391928,5.691134
4.950525,5.720917
4.706610,4.975852
3.778066,4.522707
2.774241,4.650774
2.685823,4.891166
2.323060,4.758533
1.582931,4.745885
1.745384,4.206306
1.959396,4.370810
1.456444,5.035259
1.695385,5.038731
1.375355,7.609411
1.344522,7.524474
1.821084,7.238966
1.834349,9.260222
1.918234,8.676691
1.792091,6.696772
1.603786,4.191377
1.426687,4.503007
2.156786,3.238245
1.930880,5.845355
1.783438,5.394572
1.744207,5.311967
1.604170,6.693663
1.549317,6.228743
1.222737,5.537048
1.449583,5.783035
1.319301,5.964194
1.440721,5.622382
1.508675,5.745742
1.802187,5.495576
1.748608,5.724581
1.396570,6.790556
0.553330,6.516906
3.299460,6.292706
2.293988,5.830413
2.751661,5.439125
3.542638,5.825769
2.873796,6.183450
2.514833,6.428920
3.542461,6.226457
2.652639,6.757247
2.429955,6.918390
5.344136,6.883147
2.984837,6.898526
2.805070,6.909544
2.845147,6.696003
4.541721,7.893403
4.061676,6.789537
3.724917,6.195797
3.862293,5.588689
4.104186,5.508603
2.831723,6.106264
2.692332,6.176617
2.688586,7.296745
1.455398,7.105278
1.082862,7.270929
0.716965,7.028339
1.300586,7.139721
1.293504,6.737025
1.810498,5.803581
2.113044,5.904472
1.609325,4.482534
2.531246,4.442431
3.525855,4.957702
3.910424,4.750724
4.950632,5.502088
3.828508,4.521864
5.028060,5.038612
5.420569,4.155113
4.573444,5.145654
3.982728,5.653871
4.678117,6.119754
4.678498,5.448460
4.606715,4.223593
5.516668,4.278689
5.295478,4.282557
5.718578,3.616581
4.337934,3.705024
4.005649,3.999834
5.021493,4.082267
