pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
913.116043,624.380214,519.168093,547.215152,892.809447,577.675045,466.370945,514.724599
913.320000,623.610000,518.250000,546.510000,892.960000,577.730000,470.432264,512.693939
913.970000,623.160000,518.210000,545.990000,892.970000,577.290000,469.960000,512.110000
915.050000,622.230000,519.640000,545.010000,893.120000,576.810000,470.432264,510.663280
915.800000,621.860000,518.780000,544.710000,882.656150,578.690374,470.220000,508.990000
915.450000,621.050000,519.410000,543.970000,883.671480,579.705704,470.820000,507.840000
916.700000,620.700000,520.960000,543.180000,884.686809,578.690374,468.401604,509.647950
916.970000,620.000000,521.880000,542.590000,882.656150,581.736364,468.270000,509.100000
917.750000,619.370000,522.214082,541.123173,883.671480,581.736364,468.401604,509.647950
919.208021,617.272906,522.270000,540.150000,883.671480,579.705704,467.860000,509.390000
919.890000,616.250000,521.600000,539.780000,883.900000,579.120000,467.710000,508.910000
919.100000,615.410000,520.540000,539.340000,880.625490,577.675045,466.930000,506.820000
919.210000,615.090000,519.810000,539.120000,879.750000,577.850000,464.340285,508.632620
918.400000,614.730000,518.240000,538.890000,878.470000,577.080000,463.400000,508.410000
918.370000,614.100000,518.080000,538.340000,879.060000,577.140000,463.200000,508.980000
917.760000,614.080000,517.760000,538.660000,879.130000,577.070000,463.210000,509.160000
917.320000,614.240000,517.530000,539.000000,879.110000,578.060000,463.190000,509.580000
916.650000,614.150000,516.590000,539.110000,878.820000,576.940000,463.200000,508.570000
916.290000,614.220000,516.680000,538.960000,879.110000,576.530000,463.220000,508.660000
916.130000,614.210000,517.280000,539.020000,879.090000,577.050000,463.210000,509.590000
916.280000,614.290000,516.910000,539.280000,878.950000,577.220000,463.170000,509.130000
915.960000,614.200000,517.100000,539.190000,878.840000,576.670000,463.360000,509.000000
916.970000,614.330000,517.540000,539.030000,878.594831,578.690374,463.910000,509.510000
916.820000,614.530000,517.690000,539.660000,878.420000,579.450000,463.860000,510.170000
916.960000,615.290000,518.540000,539.990000,876.564171,578.690374,464.030000,512.840000
916.620000,616.070000,518.880000,540.460000,877.040000,579.460000,463.800000,514.810000
915.880000,617.080000,519.130000,541.380000,877.350000,580.370000,466.370945,514.724599
914.910000,618.100000,519.860000,542.220000,883.671480,581.736364,466.900000,517.110000
914.770000,619.110000,521.210000,542.970000,886.717469,582.751693,468.401604,513.709269
915.200000,620.040000,523.229412,544.169162,886.717469,585.797683,471.447594,521.831907
917.250000,620.800000,525.670000,544.010000,882.656150,589.859002,474.493583,520.816578
919.670000,621.340000,528.110000,543.860000,884.686809,594.935651,475.508913,525.893226
921.370000,621.440000,529.000000,544.210000,883.671480,594.935651,476.400000,526.290000
921.410000,621.560000,528.680000,544.270000,883.410000,595.480000,476.000000,526.470000
921.980000,621.190000,531.352050,542.138503,883.060000,595.850000,475.960000,527.200000
923.269340,621.334225,533.070000,540.130000,882.950000,596.120000,475.980000,528.200000
925.300000,619.303565,534.310000,538.930000,882.810000,596.180000,475.900000,528.890000
926.315330,620.318895,534.430000,538.850000,881.640820,598.996970,476.040000,529.610000
926.020000,620.580000,535.413369,542.138503,881.640820,595.950980,476.090000,529.870000
925.830000,620.650000,535.630000,542.260000,881.640820,595.950980,476.420000,530.230000
923.269340,621.334225,534.630000,543.850000,882.140000,595.430000,478.554902,526.908556
917.177362,622.349554,524.244742,544.169162,882.830000,595.020000,479.850000,524.190000
911.510000,623.640000,521.130000,544.750000,886.717469,590.874332,476.524242,522.847237
911.085383,626.410873,524.244742,548.230481,888.748128,588.843672,474.493583,519.801248
910.400000,626.090000,523.600000,548.130000,890.870000,586.300000,474.493583,517.770588
910.410000,625.880000,523.140000,548.030000,889.763458,583.767023,473.990000,516.150000
910.180000,625.830000,522.620000,547.900000,893.824777,578.690374,471.447594,514.724599
910.110000,625.810000,522.070000,547.980000,893.824777,579.705704,471.410000,513.530000
910.260000,626.020000,522.800000,548.160000,895.855437,579.705704,471.580000,514.110000
909.720000,626.200000,521.198752,549.245811,896.870766,580.721034,471.840000,514.100000
909.220000,626.160000,521.030000,549.090000,896.870766,580.721034,472.000000,514.050000
909.590000,626.190000,521.650000,548.880000,896.920000,581.270000,472.100000,514.840000
910.230000,626.050000,522.820000,548.540000,897.030000,582.220000,472.130000,515.780000
910.710000,625.800000,523.030000,548.070000,897.130000,583.090000,472.160000,515.820000
910.650000,625.750000,522.710000,548.090000,897.886096,582.751693,472.050000,515.110000
910.150000,625.810000,522.210000,548.090000,897.960000,582.810000,472.040000,514.800000
910.630000,625.610000,523.430000,547.810000,897.930000,583.130000,472.000000,515.620000
911.640000,624.970000,524.470000,547.280000,897.886096,582.751693,471.447594,513.709269
914.750000,623.900000,530.336720,545.184492,897.870000,583.440000,471.120000,514.200000
921.238681,621.334225,534.870000,543.000000,887.732799,592.904991,475.508913,523.862567
924.284670,620.318895,537.444029,541.123173,888.748128,597.981640,479.570232,529.954545
925.680000,619.140000,539.230000,540.020000,886.717469,600.012299,479.240000,532.070000
926.315330,620.318895,539.170000,540.070000,886.200000,601.630000,478.400000,532.860000
924.930000,621.100000,538.459358,542.138503,884.686809,605.088948,476.524242,529.954545
924.240000,622.000000,537.080000,542.220000,888.748128,602.042959,477.000000,529.790000
927.330660,620.318895,538.200000,540.900000,889.763458,603.058289,477.830000,530.490000
931.391979,618.288235,540.490018,541.123173,891.050000,603.030000,478.850000,529.570000
932.407308,619.303565,539.060000,540.970000,892.130000,602.070000,473.478253,530.969875
932.500000,619.110000,538.060000,540.110000,896.870766,591.889661,473.478253,525.893226
932.590000,618.480000,537.430000,539.200000,896.870766,591.889661,474.493583,526.908556
931.820000,618.090000,537.280000,539.200000,897.870000,590.840000,476.524242,522.847237
927.330660,619.303565,536.290000,539.990000,897.886096,589.859002,477.790000,522.820000
926.370000,618.980000,536.830000,539.800000,897.960000,589.760000,478.680000,522.930000
