pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
39.375019,-8.490944,-3.492921,23.540503,-12.521365,14.894544
39.337591,-8.233841,-3.162290,22.948756,-11.637641,15.806885
38.802554,-7.663172,-2.516177,22.892131,-11.716893,15.724784
39.041099,-7.942651,-3.250001,22.669632,-11.447664,15.931734
38.842297,-7.734431,-2.950026,22.563614,-11.531416,15.697689
38.728731,-7.872901,-3.164473,22.451349,-11.558402,15.774248
38.681132,-8.000577,-3.082465,22.241720,-11.883627,15.626772
38.442988,-7.859598,-2.782141,22.122861,-12.147645,15.768941
38.293404,-7.850663,-2.717211,21.890621,-12.233634,15.708533
38.293475,-7.853159,-2.711993,21.874650,-12.308307,15.746445
38.448337,-8.035585,-2.879256,21.995421,-12.446974,15.570167
38.708711,-8.205608,-2.880597,22.147258,-12.694519,15.506403
38.607754,-8.115244,-2.407464,22.268218,-13.082530,15.476297
38.817731,-8.246167,-2.435605,22.309115,-13.159755,15.470620
39.069169,-8.549520,-2.689197,22.356879,-13.299815,15.457567
38.936787,-8.451317,-2.192353,22.443852,-13.548275,15.604111
39.264132,-8.673595,-2.270334,22.612119,-13.507247,15.636426
39.234733,-8.467400,-1.903126,22.670655,-13.059117,15.990452
38.920513,-8.007789,-1.531488,22.807151,-12.872357,16.195323
38.862615,-7.811526,-1.672866,22.377492,-12.216526,16.653448
38.622065,-7.304367,-1.379187,22.231089,-12.223985,16.236338
38.268833,-7.182115,-1.439287,21.852060,-12.079048,16.098573
37.989675,-7.221225,-1.447152,21.575347,-12.225782,16.031992
37.900157,-7.284062,-1.417715,21.080807,-12.575055,15.464479
38.010592,-7.536688,-1.737646,21.160118,-12.509553,15.353001
37.976349,-7.543343,-1.788232,21.257007,-12.506415,15.190934
38.039946,-7.791571,-1.956057,21.451973,-12.665209,15.066726
38.194499,-7.920249,-2.061609,21.646328,-12.919587,15.004147
38.246678,-7.907179,-2.040579,21.743003,-12.802418,14.978109
37.838497,-7.547796,-1.596480,21.862210,-12.892947,15.172940
37.918000,-7.848406,-2.373911,22.304050,-12.528639,14.728961
37.850901,-7.779303,-2.751371,22.520628,-12.282035,15.104084
37.967528,-7.868794,-3.366974,23.008243,-12.172611,15.269435
38.221163,-7.983815,-3.942900,24.268907,-10.838373,14.599953
38.750224,-8.429022,-4.740808,24.522556,-10.609502,13.304569
38.953147,-8.542533,-4.685671,24.353627,-9.790899,13.367345
39.887786,-9.294584,-5.503502,24.082360,-9.399524,13.285674
40.359245,-9.236824,-4.926427,24.133893,-9.332300,12.302824
40.560659,-8.620482,-4.834292,23.915492,-9.255329,11.382917
40.102809,-8.835794,-5.393648,23.259011,-9.558242,9.789007
40.167175,-9.535750,-5.697902,22.906664,-9.353590,8.787181
39.954181,-9.626790,-6.002323,23.585442,-8.330728,9.495080
39.876588,-9.802242,-6.434304,24.422030,-8.075196,11.014286
39.789519,-9.731440,-6.657331,24.547471,-8.228747,10.832400
39.693018,-9.700327,-6.949895,24.688087,-8.102543,10.997714
39.368767,-9.456678,-6.766499,24.713523,-8.098914,10.994145
36.735111,-7.326391,-4.850445,24.063486,-7.249521,12.350117
35.041522,-6.816722,-5.087493,24.307663,-9.435819,12.472710
34.450397,-7.117826,-5.643742,25.021490,-10.884023,13.217343
35.501210,-8.092985,-7.050699,25.685078,-11.945644,13.877070
36.085868,-8.067419,-6.533803,26.717751,-11.013757,14.876035
36.538218,-8.137973,-6.109891,26.681586,-11.376396,14.264835
36.758626,-8.184010,-5.740696,26.737050,-11.472562,14.196745
36.885722,-8.386462,-5.686468,26.772158,-11.637352,14.219275
37.061009,-8.520031,-5.503002,26.892120,-11.872645,14.169188
