pt1_dltres,pt2_dltres
1.308044,1.602608
0.844462,1.746598
0.849105,1.760195
0.860185,1.775009
0.867147,1.750713
0.884890,1.726410
0.892051,1.714794
0.892615,1.706507
0.871679,1.697768
0.853684,1.690721
0.816820,1.699391
0.765084,1.721079
0.754135,1.702669
0.739835,1.685478
0.742521,1.658859
0.743749,1.638478
0.744310,1.541881
0.792993,1.566385
0.778098,1.367319
0.778059,1.245174
0.865294,1.421290
0.641655,1.424240
0.331471,1.670015
0.040777,1.671014
0.158942,1.734989
0.140074,1.560926
0.265587,2.389807
0.141513,2.475435
0.441295,2.587716
0.196655,2.639952
0.057367,2.613475
0.192045,2.563475
0.359625,2.697482
0.518784,2.985300
0.706383,2.283220
0.578739,1.993984
0.732988,1.808159
0.939544,1.993548
0.873171,2.351972
0.804749,2.468657
0.745014,2.665225
0.722088,2.580215
0.771032,1.569296
0.815328,0.844890
0.816427,0.755790
2.679010,0.754310
2.254154,0.637380
2.633825,0.306386
0.876315,0.666762
0.161613,0.414258
0.594263,0.244436
1.741273,0.192257
2.333931,0.017776
2.537184,0.187487
2.401796,0.253373
1.836200,0.892961
1.826384,1.280817
2.130722,1.280817
0.524873,3.532270
0.258554,0.846574
0.395248,1.194708
0.611586,1.609702
0.904440,2.060197
1.173931,2.616456
1.143872,2.487778
0.960088,2.145938
0.928538,1.661797
0.959709,1.654641
0.999592,1.703440
1.180666,1.651523
1.172466,1.575397
0.865854,1.607991
0.869116,1.747179
0.817820,1.961636
0.780891,2.223562
0.819997,2.187249
1.008413,1.742243
1.073278,1.396661
1.021977,1.220498
1.085367,1.107612
1.074267,1.081384
0.910757,1.104495
1.132521,1.226742
1.111776,1.415497
1.083972,1.453719
1.053064,1.458171
0.985722,1.441001
0.963202,1.349100
0.898172,1.024437
0.862054,0.890650
0.786211,1.295829
0.572640,1.541583
0.638967,1.841888
0.613514,1.986557
0.617620,2.133886
0.461798,2.435559
0.471021,2.269159
0.507600,2.198388
0.674416,2.110135
0.812862,1.893608
0.810912,1.938214
0.895226,1.694537
0.856446,1.799574
0.917938,1.755275
0.997488,1.732633
1.184184,1.642867
1.459177,1.603624
1.465578,1.883899
1.436344,1.941646
1.427417,1.860390
1.410062,2.148241
1.453734,2.535445
1.527883,2.677337
1.570236,2.774582
1.645280,2.976096
1.708524,2.895632
1.892817,1.503829
