pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
44.715046,-12.371254,-23.967660,29.126162,-12.065509,5.270650
44.564037,-12.364216,-23.899029,29.039808,-12.048828,5.205345
44.415808,-12.357211,-23.830632,28.953659,-12.032202,5.140236
44.270359,-12.350237,-23.762469,28.867717,-12.015632,5.075322
44.127688,-12.343297,-23.694539,28.781980,-11.999117,5.010602
43.987797,-12.336389,-23.626843,28.696449,-11.982658,4.946078
43.850686,-12.329513,-23.559380,28.611124,-11.966255,4.881750
43.716354,-12.322670,-23.492151,28.526005,-11.949907,4.817616
43.584801,-12.315860,-23.425156,28.441092,-11.933615,4.753678
43.456028,-12.309082,-23.358394,28.356384,-11.917378,4.689934
43.330034,-12.302337,-23.291866,28.271883,-11.901197,4.626386
43.206820,-12.295624,-23.225571,28.187588,-11.885072,4.563034
43.086386,-12.288943,-23.159510,28.103498,-11.869002,4.499876
42.968731,-12.282295,-23.093683,28.019615,-11.852988,4.436913
42.853856,-12.275680,-23.028089,27.935937,-11.837030,4.374146
42.741761,-12.269097,-22.962728,27.852466,-11.821127,4.311574
42.632447,-12.262547,-22.897602,27.769200,-11.805280,4.249197
42.525912,-12.256029,-22.832708,27.686140,-11.789488,4.187015
42.422158,-12.249544,-22.768049,27.603286,-11.773752,4.125028
42.321184,-12.243091,-22.703623,27.520638,-11.758072,4.063237
42.222990,-12.236671,-22.639430,27.438196,-11.742447,4.001640
42.127576,-12.230283,-22.575471,27.355960,-11.726878,3.940239
42.034942,-12.223928,-22.511746,27.273930,-11.711365,3.879033
41.945088,-12.217605,-22.448254,27.192106,-11.695907,3.818022
41.858013,-12.211315,-22.384996,27.110488,-11.680504,3.757207
41.773716,-12.205058,-22.321972,27.029075,-11.665158,3.696586
41.692198,-12.198833,-22.259181,26.947869,-11.649867,3.636161
41.613456,-12.192640,-22.196623,26.866869,-11.634631,3.575931
41.537490,-12.186480,-22.134299,26.786074,-11.619452,3.515896
41.464298,-12.180352,-22.072209,26.705486,-11.604328,3.456056
41.393879,-12.174257,-22.010353,26.625104,-11.589259,3.396412
41.326229,-12.168195,-21.948729,26.544927,-11.574246,3.336962
41.261346,-12.162165,-21.887340,26.464957,-11.559289,3.277708
41.199227,-12.156167,-21.826184,26.385193,-11.544387,3.218649
41.139869,-12.150202,-21.765262,26.305635,-11.529541,3.159785
41.083266,-12.144270,-21.704573,26.226282,-11.514751,3.101117
41.029415,-12.138370,-21.644118,26.147136,-11.500016,3.042643
40.978308,-12.132503,-21.583896,26.068196,-11.485337,2.984365
40.929941,-12.126668,-21.523908,25.989463,-11.470713,2.926281
40.884305,-12.120865,-21.464154,25.910935,-11.456145,2.868393
40.841393,-12.115096,-21.404633,25.832614,-11.441633,2.810701
40.801195,-12.109358,-21.345345,25.754498,-11.427176,2.753203
40.763702,-12.103654,-21.286292,25.676589,-11.412775,2.695900
40.728903,-12.097981,-21.227471,25.598887,-11.398430,2.638793
40.696786,-12.092342,-21.168885,25.521390,-11.384140,2.581881
40.667338,-12.086734,-21.110532,25.444100,-11.369906,2.525164
40.640545,-12.081160,-21.052412,25.367016,-11.355727,2.468642
