pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
4.264166,5.153588,7.818399,4.409602,5.273918,7.985594
3.861541,5.268819,8.345672,4.382984,5.026689,7.950206
4.145927,5.278077,8.845509,4.044299,5.350310,7.861501
4.282594,5.425753,8.176639,4.319633,5.056445,7.508593
4.412684,5.468368,7.774706,4.203681,5.042040,8.810595
4.210888,5.226994,7.864444,4.437476,4.947798,7.553996
4.173433,5.144469,8.011515,4.284068,5.297002,7.770638
3.786606,5.311477,8.127615,4.115312,5.075120,7.531985
3.919449,4.745961,8.245774,4.109004,5.160758,7.335586
4.242468,5.109934,8.047033,4.196412,5.309975,8.180756
4.232691,5.101861,8.177816,4.196296,5.172973,7.734447
4.154399,5.079494,8.050568,4.254900,5.220432,7.418007
4.101977,5.225547,8.158957,4.561027,5.431671,8.315198
4.217617,5.187700,7.957100,4.003113,5.248201,8.133672
3.899015,5.287208,8.156661,4.164049,5.518466,8.026270
3.966689,5.444773,8.382760,4.153408,5.443314,8.191435
3.894084,4.991861,7.813756,4.310151,5.159568,7.592293
4.173353,4.904785,8.216906,4.534057,5.502529,7.866947
4.215376,5.377549,8.690696,4.039591,5.430367,7.714827
3.985794,4.878347,8.385331,3.830078,4.989352,7.674554
4.449513,5.296565,7.859804,4.402769,5.637553,8.627408
4.180943,4.986456,8.267891,4.061107,5.108664,7.654493
4.187734,5.141961,7.615425,4.174368,5.285646,7.907219
4.122261,5.369603,7.965940,4.177824,4.818089,7.461658
3.836758,5.468969,8.479351,4.547095,5.364624,7.855147
4.004030,5.263519,7.916644,4.613556,4.956443,7.991026
3.880402,5.060644,8.380270,4.273008,5.251631,7.446078
3.761758,5.072463,8.223596,3.985226,5.230910,7.727532
3.880359,4.916947,7.872409,4.102254,5.274090,8.526412
4.074921,5.306325,7.839658,3.988089,5.294069,7.771898
3.995026,5.263651,8.206567,4.305216,5.261754,8.236577
4.537683,5.007731,8.202885,4.183113,5.347784,8.032095
4.062268,5.248044,8.118173,4.065149,5.222639,8.707505
4.015893,5.186117,8.065579,4.372022,5.419147,8.356052
4.336398,5.104966,8.443427,3.904845,4.805481,7.395413
3.976313,4.955580,7.887108,4.013506,5.403839,8.153374
3.987619,5.445124,8.508262,3.875112,5.130027,8.010943
3.966701,5.029121,7.789140,4.076844,5.163982,8.054294
4.317973,5.314842,8.292077,4.274371,4.919674,8.356211
4.345381,5.128716,8.657663,4.372572,5.046113,7.886962
4.401057,4.817768,8.041554,3.680818,5.169579,8.384633
4.179920,5.109434,8.186965,3.882541,4.842810,7.471452
4.042318,5.182952,8.044685,4.376573,5.312900,8.018681
4.081529,5.109048,8.283403,4.330325,5.325233,8.323214
3.597258,5.176233,8.284557,4.091080,5.505925,7.616079
4.385434,5.200536,9.267175,4.276610,5.154802,7.950422
4.263931,5.011769,7.627993,3.901143,5.167631,7.815888
4.157475,4.827701,7.928928,4.101977,5.020399,7.366531
3.918517,5.256839,8.121785,4.384380,5.090141,8.101170
4.320459,4.737410,8.123649,3.994361,5.209319,7.934683
