pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
4.027381,4.792985,7.682002,4.539481,6.036697,8.832956
3.542169,4.750998,7.146867,4.442084,5.527357,8.427198
3.361806,4.806517,7.692453,4.958570,6.257678,9.174687
3.627627,4.891905,7.952114,4.517014,5.559086,8.274504
3.559907,4.896082,7.584696,4.574629,5.774105,9.335381
3.560454,4.603370,7.380819,4.357375,6.041454,8.278247
3.535730,4.448766,7.411191,4.929419,5.748998,8.724812
3.957043,4.735064,7.901729,4.652690,5.439992,9.009982
3.810080,4.670007,7.475315,4.353639,5.868319,8.746087
3.803376,4.897600,7.832578,4.931103,5.665287,8.307699
4.004655,4.806251,6.850812,4.564936,5.730224,8.553401
3.371731,4.405461,7.579011,4.756900,5.918125,8.453059
3.588797,4.845450,7.328108,4.710976,5.907452,8.198877
4.126586,5.224457,7.835779,4.683873,6.029041,8.815115
3.748194,4.558612,7.564533,4.983007,5.376177,8.577149
3.983931,4.748324,7.604541,4.473814,5.941503,9.334829
3.654688,4.717734,7.519947,4.470843,5.265994,8.721297
3.864697,4.998370,8.176523,4.607145,5.636166,8.824192
3.836942,4.313220,7.883523,4.343823,5.783470,8.436016
3.492501,4.618870,7.421880,4.942892,5.783578,8.348034
3.438129,4.832515,7.215259,4.696824,5.579319,8.407932
3.818525,4.376477,7.354162,4.479600,5.617057,8.382223
3.602026,4.446445,7.391790,4.578172,5.732255,8.934468
3.537531,4.899965,7.897874,5.023386,5.306125,8.705932
3.577295,4.435781,7.466784,4.584593,5.574713,7.838030
3.967461,4.844381,8.332153,4.382748,5.670238,8.093448
3.488492,5.206426,8.304207,4.837060,5.065946,8.543252
3.545558,4.793028,7.333851,4.560279,5.549260,8.618442
3.824973,4.869629,7.666446,4.653547,5.709087,9.159300
3.414616,4.661575,7.542819,4.470431,5.650519,8.961675
4.141489,4.767597,7.705850,4.761502,5.474158,8.554251
3.752658,4.747768,7.008858,4.794976,6.078408,8.889505
3.809190,4.533826,7.691635,4.494963,6.126031,9.002662
3.821222,4.735302,7.464641,4.580448,5.830276,8.739492
3.592378,4.889643,7.279309,4.769294,5.220165,8.724107
3.719005,4.669899,7.576339,5.128989,6.193755,9.380309
3.709223,4.748440,7.350904,4.705733,5.268852,8.287194
3.638068,4.724055,7.048243,4.698839,5.632672,8.970711
3.665229,4.559506,7.778350,4.571847,5.675609,8.883774
3.834039,4.337562,7.370565,4.507246,5.875277,8.841649
3.658756,4.128286,7.529055,4.419867,5.394997,8.872502
3.699469,4.776054,7.789836,4.713577,6.157574,9.048730
3.543777,4.310163,6.877823,4.886637,5.402135,9.036695
3.698518,4.558819,7.069525,4.623043,5.385152,8.422964
3.515387,4.799520,7.056678,4.785551,5.723606,7.881336
3.664240,4.683172,7.020072,4.615270,5.593998,9.228284
3.858014,4.656558,7.820647,4.415731,5.477891,8.803663
3.602848,4.680214,6.979089,4.933630,5.680864,9.312818
3.516870,4.490053,7.098914,4.402745,5.483092,8.628270
3.765887,4.970413,7.547415,4.636479,5.567410,8.928987
3.542367,4.667972,6.851126,4.657311,5.078097,8.611733
3.797416,4.559741,7.269147,4.784437,5.854649,9.293981
3.447682,4.695319,7.423410,4.629639,6.132164,8.752683
3.476888,4.817429,7.665909,4.806335,5.877663,8.485289
