pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
47.806783,-18.213195,-11.103260,24.592382,-15.731697,4.040463
47.899317,-18.352482,-11.413526,24.525270,-15.716603,3.975469
47.912091,-18.308161,-11.306603,24.493553,-15.670989,4.047178
47.920793,-18.306663,-11.305037,24.494141,-15.692207,4.015462
47.863741,-18.297475,-11.288874,24.486798,-15.746698,3.929884
47.790288,-18.274287,-11.251926,24.422432,-15.747858,3.915849
47.614498,-18.187967,-11.122782,24.284123,-15.759380,3.840912
47.684140,-18.214183,-11.167958,24.132888,-15.735471,3.840928
47.884748,-18.305796,-11.310203,24.182357,-15.723500,3.873842
47.893518,-18.282940,-11.256559,24.242360,-15.729003,3.880864
47.845208,-18.281969,-11.265144,24.301853,-15.809655,3.720356
47.817338,-18.283243,-11.267540,24.264165,-15.795241,3.749854
47.763990,-18.261908,-11.237613,24.260332,-15.839292,3.665250
47.709769,-18.223047,-11.188381,24.214758,-15.857818,3.614056
47.628336,-18.174418,-11.102654,24.105165,-15.825009,3.637654
47.657167,-18.210103,-11.172203,24.002819,-15.863732,3.524091
47.676858,-18.203955,-11.152261,24.007842,-15.892843,3.479762
47.628751,-18.179689,-11.109305,24.012081,-15.892995,3.480783
47.621176,-18.187871,-11.125276,24.022144,-15.937362,3.404165
47.625151,-18.182924,-11.117616,23.963398,-14.998076,3.409520
47.619399,-18.161145,-11.071345,23.859156,-14.919296,3.521978
47.569487,-18.138494,-11.032539,23.861830,-14.880208,3.595131
47.436928,-18.030016,-10.835926,23.810547,-14.868043,3.630477
47.340657,-18.009811,-10.808069,23.816877,-14.917624,3.546102
47.318447,-18.016161,-10.824408,23.829617,-14.977884,3.454213
46.751693,-18.068008,-10.284306,23.795112,-14.996520,3.401382
46.823284,-18.208056,-10.444992,23.867384,-15.070502,3.284349
46.861936,-18.139746,-10.267260,23.965724,-15.183340,3.074879
46.833314,-18.093193,-10.192747,23.975992,-14.778724,2.978956
46.923418,-18.060087,-10.095705,24.070499,-14.061796,2.658814
46.917462,-18.002145,-9.964383,24.071666,-14.238942,2.269605
46.931147,-18.018880,-10.001825,24.060492,-14.450251,1.820429
47.037411,-17.992573,-9.919470,24.107573,-14.313012,1.239849
47.001818,-17.916136,-9.742533,24.081541,-13.969402,0.997715
46.801249,-17.801134,-9.561802,23.983027,-13.952978,0.987196
46.842541,-17.348159,-9.440871,24.071759,-13.672154,0.719125
46.929637,-17.342775,-9.465009,24.017116,-13.230170,0.681329
46.944208,-17.296766,-9.353798,24.029273,-13.262555,0.592952
47.039582,-17.046326,-9.730555,23.943790,-13.388656,0.324784
46.839517,-16.967801,-9.621645,23.894649,-13.511243,0.046795
46.447010,-16.821356,-9.419611,23.928164,-13.562479,-0.060903
46.197771,-16.494379,-9.773431,23.900662,-13.482397,0.102767
45.799675,-15.847557,-10.303530,23.830373,-13.278328,0.527427
