cam1_X,cam1_Y,cam2_X,cam2_Y
553.420956,519.205843,444.755181,464.804185
573.414850,521.944177,466.423519,466.619602
632.789032,531.528346,533.643535,470.673352
651.544592,535.179458,555.419374,472.042519
550.182622,498.668338,450.993515,443.843763
570.220127,501.906672,472.769354,445.766680
629.594309,511.403619,538.804787,449.505014
649.219036,514.098342,560.711459,451.427932
532.252618,490.996947,471.128798,434.606483
660.169756,481.184553,556.567911,416.524226
530.318212,470.854764,473.047260,414.663622
549.243295,475.251620,494.044083,418.466640
568.902872,478.100835,515.180302,418.769658
657.068465,461.159266,563.558777,394.748610
556.415816,424.549641,459.401906,367.342732
575.790472,428.228488,480.201747,369.285147
594.785232,431.267650,502.395552,370.506354
603.003241,452.862934,532.328119,384.784998
654.168955,441.004103,569.549643,373.751787
553.613977,403.783753,463.974583,346.591342
574.425629,407.385722,486.571000,348.373268
592.635312,411.887363,507.649634,349.617024
651.367150,420.592943,574.057821,352.821463
