cam1_X,cam1_Y,cam2_X,cam2_Y
833.917903,624.752507,420.615679,555.208896
852.173463,629.316397,442.522351,557.490841
910.591256,642.095289,502.765700,563.423898
927.021260,646.659179,522.390427,565.249454
830.723180,604.671391,426.548736,536.496947
849.435129,609.235281,447.086241,537.409725
906.483755,621.101395,506.873201,543.342782
925.652093,627.947230,527.867095,545.624727
810.642064,596.912778,442.978740,526.912778
937.061818,594.174444,528.779873,514.590275
811.369167,581.217037,445.260685,511.395552
830.233246,585.172409,464.885412,514.133886
849.401584,590.040558,485.422918,516.415831
932.225080,573.395552,533.847870,494.087222
838.918884,534.450357,436.849980,468.989873
855.957407,538.101469,457.945294,471.423948
872.995929,542.158260,478.634928,471.829627
877.053415,562.729547,505.004071,486.839754
929.521247,554.886418,541.109512,473.452343
835.527403,513.038390,442.935167,449.111596
853.797988,518.808049,463.219122,452.762708
870.626158,523.135293,484.720115,453.168388
926.399524,534.193805,543.840710,458.454428
